Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
05/01/2020;25;90;56,67;0;53,33;46,88;37,5;29,17;34,38;44;27;30;8;14;9;7;11;7;25;8;11;11;3;13;4;4;5;0;15;0;3;0;0;0;0;4;0;0;0;0;0;0;0
12/01/2020;41;66,63;51,25;5,13;47,83;45,32;39,92;42,08;37,76;20;26;26;21;5;14;15;11;5;9;17;9;9;14;10;0;0;8;4;4;0;0;0;0;0;0;0;6;3;7;0;0;0;0
19/01/2020;53;85,48;71,81;11,97;44,45;57,24;43,46;28,62;30,74;33;21;30;21;8;6;14;12;11;10;0;16;23;9;6;9;0;6;9;0;4;0;6;0;4;0;0;0;15;0;0;0;0;0
26/01/2020;30;85;31,67;0;43,33;54,64;27,86;36,43;27,86;40;24;21;22;25;8;3;12;7;0;0;6;5;0;15;0;9;0;4;3;0;0;4;0;9;0;0;8;0;0;3;3;0;0
02/02/2020;46;85,19;49,41;0;44,3;40,65;33,16;22,47;34,23;38;36;26;8;11;14;15;14;14;8;10;10;4;4;7;6;9;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;3;0
09/02/2020;40;62,61;41,74;0;50,43;44,32;34,59;17,3;31,35;31;23;16;8;19;21;13;6;19;12;5;6;4;6;0;4;3;9;6;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0
16/02/2020;41;71,75;44,42;0;44,42;56,77;35,74;27,33;37,85;29;28;16;17;15;8;9;9;16;10;9;4;9;5;13;9;3;5;0;0;5;7;7;0;0;0;0;0;0;0;0;0;0;7
23/02/2020;40;55;38,33;0;46,67;36,84;33,68;20;17,89;19;22;24;20;15;14;7;10;5;3;7;14;0;0;10;3;6;0;6;0;9;7;7;0;0;0;11;0;3;0;3;0;0;0
01/03/2020;30;56,47;40,59;0;47,65;22,5;26,79;22,5;17,14;25;23;18;18;10;13;9;8;9;3;0;12;0;7;6;4;0;3;4;7;0;0;0;6;0;0;0;5;0;7;3;0;0;0
08/03/2020;100;37,93;31,03;0;37,93;31,18;29,03;13,98;12,9;11;20;12;20;7;8;19;8;9;11;6;3;4;9;7;6;9;3;3;0;3;0;0;0;0;0;0;5;0;0;0;0;0;0
15/03/2020;22;35,54;20,31;0;22;15,4;13,2;9,9;8,8;0;10;10;8;0;4;4;0;0;7;4;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
22/03/2020;13;22,75;24,38;0;9,75;7;7;10;15;9;3;0;0;2;4;5;9;3;5;0;5;3;3;4;0;0;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0
29/03/2020;8;11,2;16;0;9,6;9;5;6;7;14;11;8;3;5;4;5;6;6;13;0;9;0;0;0;0;3;2;0;0;5;0;0;3;4;0;0;0;0;9;0;0;3;0
05/04/2020;6;20;28;0;12;9;10;8;0;16;0;4;0;8;5;0;3;0;9;0;9;16;0;10;0;0;3;0;4;4;3;0;0;6;0;0;0;0;4;0;0;0;4
12/04/2020;11;11;20,17;0;14,67;5,5;12,1;7,7;4,4;17;10;9;3;8;9;4;0;6;4;0;3;3;0;0;0;5;0;4;0;0;0;0;0;0;7;0;0;0;8;0;0;0;0
19/04/2020;7;15,75;14;0;12,25;8;17;9;6;11;4;0;0;7;0;0;4;0;5;0;6;7;0;4;3;4;0;0;0;0;0;0;3;7;5;0;0;0;0;0;0;0;0
