Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
05/01/2020;37;56,59;30,47;56,59;52,24;45,46;49,69;33,83;0;24;34;38;27;10;33;13;37;0;0;37;18;0;19;23;0;0;19;0;18;0;7;0;0;0;11;0;0;0;6;0;0;0;0;0
12/01/2020;54;43,2;49,68;47,52;49,68;56,08;32,19;41,54;27;30;7;17;31;29;36;26;38;18;0;23;18;0;25;14;0;15;16;0;21;13;9;0;10;11;0;0;10;25;0;12;8;0;0;6
19/01/2020;33;57,75;57,75;57,75;47,44;40,22;43,31;24,75;29,91;72;45;25;30;22;28;25;34;24;12;15;21;0;0;9;25;41;13;0;12;6;26;15;0;0;10;0;10;0;0;0;0;0;0;0
26/01/2020;33;96,8;94,6;66;59,4;51,1;81,97;64,94;41,52;61;44;17;45;33;16;19;32;18;11;19;0;18;21;6;6;0;17;20;14;13;9;0;6;0;10;23;13;0;6;0;17;0;0;0
02/02/2020;41;64,74;69,05;53,95;47,47;19,97;47,31;48,36;34,69;22;29;26;17;13;22;36;45;18;11;13;30;0;8;17;0;14;11;16;8;9;10;25;0;0;0;0;0;0;0;0;0;0;0;12
09/02/2020;25;41,67;37,5;35,42;33,33;41,67;19,79;69,79;10,42;6;34;23;29;16;35;17;36;15;9;21;17;7;12;9;0;19;9;0;0;20;17;13;10;0;0;0;0;0;20;7;14;0;0;0
16/02/2020;21;73,5;71,4;46,2;29,4;53,55;52,5;55,65;31,5;28;26;24;13;31;25;34;31;20;24;19;11;6;20;19;0;24;17;10;13;11;0;0;11;11;9;12;6;0;7;0;0;0;0;0
23/02/2020;65;48,23;33,55;56,61;31,45;58,71;66,05;57,66;39,84;15;80;31;19;21;0;19;19;0;20;14;22;0;20;11;6;26;23;12;0;8;23;11;0;13;0;0;0;14;17;0;0;0;0;7
01/03/2020;25;54,17;62,5;79,17;39,58;59,38;72,92;57,29;31,25;35;49;23;19;19;17;30;53;12;14;34;22;0;11;0;0;0;19;9;23;0;7;0;0;0;0;0;14;0;0;0;0;0;0;0
08/03/2020;25;110,42;91,67;75;208,33;44,79;80,21;53,13;40,63;29;52;39;17;44;7;35;38;0;9;11;21;25;16;24;0;12;13;0;18;19;0;12;0;0;9;13;0;0;8;0;0;0;0;0
