Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-01-05;25,00;280,00;230,00;155,00;100,00;113,64;63,64;68,18;88,64;66,67;51,39;43,06;91,67;60,00;50,00;57,50;15,00;29,00;40,00;25,00;23,00;15,00;17,00;17,00;17,00;26,00;19,00;8,00;11,00;8,00;6,00;7,00;6,00;13,00;5,00;0,00
2020-01-12;41,00;333,13;271,63;199,88;112,75;107,06;82,00;102,50;93,39;65,03;82,00;60,79;67,86;50,65;38,59;55,47;21,71;33,00;42,00;26,00;27,00;30,00;17,00;14,00;13,00;21,00;29,00;18,00;7,00;14,00;8,00;9,00;6,00;0,00;0,00;0,00
2020-01-19;53,00;344,50;243,80;180,20;137,80;108,30;78,35;96,78;106,00;83,08;95,97;68,76;84,51;55,41;53,00;240,91;24,09;34,00;44,00;16,00;26,00;47,00;25,00;12,00;15,00;18,00;27,00;13,00;7,00;14,00;13,00;8,00;5,00;13,00;11,00;0,00
2020-01-26;30,00;320,00;245,00;160,00;105,00;117,69;80,77;94,62;101,54;62,86;60,00;62,86;75,71;82,50;52,50;105,00;17,50;41,00;33,00;21,00;26,00;29,00;16,00;7,00;20,00;16,00;12,00;23,00;12,00;10,00;17,00;4,00;11,00;8,00;6,00;0,00
2020-02-02;46,00;311,78;230,00;158,44;102,22;103,50;82,80;110,40;103,50;87,69;61,81;69,00;90,56;58,11;41,16;55,68;21,79;33,00;39,00;33,00;25,00;33,00;19,00;16,00;20,00;17,00;22,00;31,00;15,00;12,00;9,00;6,00;7,00;18,00;4,00;0,00
2020-02-09;40,00;305,00;230,00;165,00;115,00;120,00;72,94;91,76;91,76;67,14;64,29;60,00;75,71;72,50;60,00;57,50;20,00;47,00;59,00;24,00;26,00;31,00;25,00;17,00;15,00;21,00;15,00;22,00;7,00;8,00;13,00;12,00;3,00;9,00;14,00;7,00
2020-02-16;41,00;353,63;220,38;174,25;97,38;129,83;82,00;93,39;104,78;83,41;84,83;53,72;79,17;50,65;72,35;38,59;33,76;42,00;55,00;25,00;25,00;38,00;25,00;26,00;24,00;22,00;23,00;11,00;28,00;12,00;13,00;7,00;9,00;8,00;0,00;3,00
2020-02-23;40,00;325,00;200,00;170,00;115,00;105,88;58,82;103,53;87,06;72,86;54,29;74,29;82,86;65,00;77,50;32,50;32,50;28,00;48,00;26,00;23,00;36,00;24,00;20,00;22,00;17,00;11,00;14,00;14,00;10,00;5,00;5,00;6,00;0,00;0,00;8,00
2020-03-01;30,00;270,00;180,00;125,00;105,00;103,85;48,46;96,92;76,15;58,57;38,57;31,43;67,14;50,00;32,50;35,00;35,00;31,00;24,00;15,00;10,00;30,00;15,00;9,00;7,00;15,00;13,00;7,00;7,00;3,00;16,00;0,00;9,00;6,00;9,00;0,00
2020-03-08;100,00;326,32;157,89;94,74;94,74;69,77;44,19;125,58;76,74;64,29;35,71;41,43;64,29;42,50;25,00;22,50;20,00;32,00;36,00;19,00;27,00;12,00;14,00;11,00;11,00;19,00;19,00;0,00;6,00;10,00;8,00;6,00;4,00;0,00;8,00;0,00
2020-03-15;22,00;198,00;93,50;71,50;44,00;39,11;19,56;70,89;29,33;22,00;22,00;24,93;20,53;19,56;78,22;4,89;17,11;24,00;17,00;14,00;18,00;30,00;7,00;0,00;0,00;10,00;0,00;0,00;4,00;8,00;11,00;0,00;0,00;7,00;0,00;0,00
2020-03-22;13,00;95,33;52,00;30,33;26,00;23,83;2,17;32,50;13,00;10,11;15,89;18,78;23,11;13,00;44,20;10,40;7,80;10,00;11,00;6,00;13,00;13,00;4,00;3,00;0,00;3,00;5,00;0,00;0,00;10,00;6,00;6,00;0,00;0,00;0,00;9,00
2020-03-29;8,00;84,00;44,00;24,00;20,00;29,33;5,33;32,00;18,67;12,00;18,67;6,67;18,67;16,00;24,00;5,33;2,67;14,00;0,00;10,00;7,00;12,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;6,00;9,00;0,00;9,00;6,00;0,00;4,00
2020-04-05;6,00;114,00;66,00;30,00;36,00;20,00;0,00;22,00;16,00;21,00;16,50;15,00;21,00;12,00;27,00;9,00;9,00;11,00;5,00;7,00;10,00;16,00;7,00;0,00;6,00;9,00;4,00;11,00;3,00;0,00;7,00;3,00;0,00;0,00;4,00;0,00
2020-04-12;11,00;104,50;38,50;27,50;22,00;19,80;8,80;19,80;13,20;19,25;13,75;13,75;26,13;8,25;16,50;5,50;5,50;8,00;7,00;6,00;20,00;0,00;5,00;14,00;0,00;6,00;0,00;5,00;3,00;0,00;3,00;7,00;0,00;0,00;0,00;8,00
2020-04-19;7,00;112,00;63,00;42,00;21,00;14,00;4,67;23,33;21,00;19,60;15,40;11,20;22,40;16,33;18,67;9,33;2,33;15,00;13,00;4,00;18,00;8,00;9,00;12,00;0,00;8,00;7,00;16,00;3,00;4,00;5,00;2,00;4,00;0,00;0,00;9,00
2020-04-26;13,00;82,33;43,33;21,67;13,00;28,17;10,83;30,33;28,17;24,56;4,33;18,78;11,56;13,00;39,00;5,20;5,20;14,00;10,00;6,00;8,00;8,00;0,00;8,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00
2020-05-03;9,00;72,00;45,00;27,00;18,00;42,75;9,00;20,25;13,50;14,14;10,29;6,43;15,43;15,75;22,50;11,25;9,00;5,00;10,00;7,00;6,00;12,00;6,00;13,00;8,00;7,00;3,00;3,00;0,00;3,00;9,00;0,00;9,00;0,00;0,00;0,00
2020-05-10;8,00;120,00;88,00;32,00;32,00;24,00;16,00;18,67;26,67;11,20;8,00;17,60;28,80;13,33;26,67;5,33;10,67;18,00;25,00;12,00;4,00;14,00;10,00;7,00;3,00;4,00;0,00;7,00;3,00;7,00;0,00;11,00;0,00;0,00;0,00;5,00
2020-05-17;12,00;96,00;54,00;42,00;18,00;38,40;7,20;28,80;24,00;9,00;19,50;22,50;18,00;14,40;12,00;4,80;4,80;15,00;5,00;6,00;18,00;5,00;0,00;4,00;13,00;11,00;4,00;7,00;6,00;0,00;10,00;0,00;3,00;3,00;3,00;0,00
2020-05-24;23,00;92,00;46,00;40,25;28,75;25,30;13,80;18,40;27,60;8,63;24,44;25,88;20,13;12,78;28,11;12,78;7,67;17,00;15,00;10,00;11,00;16,00;11,00;0,00;11,00;11,00;6,00;20,00;9,00;8,00;12,00;0,00;6,00;8,00;4,00;3,00
2020-05-31;17,00;119,00;51,00;62,33;39,67;38,25;29,75;27,63;36,13;12,75;24,08;15,58;21,25;17,00;21,86;12,14;7,29;26,00;13,00;10,00;22,00;28,00;3,00;6,00;4,00;15,00;10,00;9,00;5,00;13,00;8,00;4,00;7,00;0,00;9,00;3,00
2020-06-07;37,00;142,71;58,14;63,43;37,00;41,63;39,31;23,13;34,69;17,08;32,73;22,77;32,73;17,27;32,07;14,80;14,80;19,00;19,00;23,00;21,00;35,00;0,00;9,00;6,00;17,00;0,00;0,00;7,00;6,00;10,00;9,00;14,00;15,00;6,00;5,00
2020-06-14;51,00;163,20;56,10;117,30;45,90;39,41;67,23;48,68;46,36;33,51;26,23;21,86;32,06;21,86;19,43;17,00;9,71;20,00;13,00;21,00;18,00;42,00;7,00;5,00;0,00;30,00;6,00;7,00;0,00;9,00;16,00;10,00;19,00;6,00;7,00;8,00
2020-06-21;52,00;161,20;46,80;119,60;57,20;35,45;63,82;26,00;85,09;20,22;36,11;31,78;33,22;24,76;34,67;27,24;17,33;23,00;11,00;23,00;15,00;38,00;5,00;14,00;5,00;25,00;16,00;11,00;8,00;11,00;12,00;9,00;15,00;16,00;8,00;6,00
