Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-01-05;55,00;64,39;6,71;36,22;5,37;26,00
2020-01-12;53,00;72,88;0,00;34,45;0,00;18,00
2020-01-19;32,00;61,33;9,33;29,33;0,00;6,00
2020-01-26;45,00;68,82;10,59;41,03;5,29;12,00
2020-02-02;28,00;72,00;10,67;30,67;0,00;4,00
2020-02-09;47,00;83,26;0,00;13,43;0,00;17,00
2020-02-16;42,00;63,68;0,00;24,39;0,00;6,00
2020-02-23;18,00;54,00;0,00;31,85;0,00;10,00
2020-03-01;43,00;67,19;5,38;16,13;6,72;10,00
2020-03-08;23,00;69,00;10,82;29,76;0,00;0,00
2020-03-15;10,00;28,75;0,00;25,00;0,00;14,00
2020-03-22;11,00;34,38;0,00;15,13;0,00;12,00
2020-03-29;29,00;14,50;10,55;5,27;0,00;0,00
2020-04-05;12,00;33,33;5,33;10,67;0,00;6,00
2020-04-12;24,00;25,33;0,00;12,00;8,00;14,00
2020-04-19;11,00;23,38;0,00;13,75;5,50;0,00
2020-04-26;5,00;16,25;0,00;23,75;0,00;6,00
2020-05-03;0,00;14,00;0,00;14,00;0,00;7,00
2020-05-10;14,00;11,20;0,00;8,40;4,20;5,00
2020-05-17;12,00;8,00;0,00;17,33;0,00;17,00
2020-05-24;9,00;30,00;9,00;4,50;0,00;5,00
2020-05-31;17,00;31,38;0,00;10,46;6,54;0,00
2020-06-07;16,00;18,67;0,00;17,33;8,00;0,00
2020-06-14;18,00;42,43;3,86;11,57;6,43;0,00
2020-06-21;16,00;17,33;6,67;16,00;0,00;4,00
2020-06-28;13,00;22,10;0,00;6,50;0,00;6,00
2020-07-05;42,00;44,71;6,77;20,32;0,00;0,00
2020-07-12;23,00;56,82;0,00;16,24;0,00;5,00
2020-07-19;16,00;32,00;0,00;12,00;0,00;8,00
2020-07-26;0,00;34,00;9,00;4,00;0,00;6,00
2020-08-02;19,00;67,86;0,00;13,57;0,00;16,00
