Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2020-01-05;44,00;8,00;70,00;33,00;26,00;15,00
2020-01-12;36,00;5,00;53,00;44,00;24,00;0,00
2020-01-19;59,00;5,00;67,00;27,00;23,00;18,00
2020-01-26;39,00;0,00;72,00;47,00;37,00;20,00
2020-02-02;37,00;0,00;69,00;23,00;34,00;18,00
2020-02-09;49,00;0,00;42,00;23,00;16,00;12,00
2020-02-16;69,00;0,00;64,00;37,00;21,00;16,00
2020-02-23;56,00;10,00;43,00;32,00;24,00;13,00
2020-03-01;31,00;0,00;38,00;21,00;0,00;13,00
2020-03-08;66,00;5,00;67,00;26,00;11,00;8,00
2020-03-15;54,00;0,00;45,00;16,00;0,00;17,00
2020-03-22;37,00;9,00;38,00;34,00;9,00;4,00
2020-03-29;34,00;9,00;16,00;25,00;12,00;9,00
2020-04-05;42,00;13,00;0,00;26,00;5,00;9,00
2020-04-12;57,00;4,00;38,00;9,00;6,00;0,00
2020-04-19;48,00;10,00;16,00;10,00;0,00;8,00
2020-04-26;31,00;8,00;33,00;19,00;7,00;0,00
2020-05-03;30,00;18,00;26,00;13,00;4,00;19,00
2020-05-10;43,00;7,00;23,00;0,00;9,00;0,00
2020-05-17;24,00;0,00;30,00;16,00;6,00;9,00
2020-05-24;33,00;13,00;23,00;20,00;0,00;0,00
2020-05-31;34,00;11,00;32,00;20,00;0,00;8,00
2020-06-07;19,00;7,00;23,00;0,00;12,00;0,00
2020-06-14;30,00;17,00;22,00;14,00;9,00;10,00
2020-06-21;40,00;8,00;30,00;14,00;12,00;0,00
2020-06-28;31,00;4,00;36,00;13,00;8,00;0,00
2020-07-05;36,00;9,00;30,00;8,00;0,00;0,00
2020-07-12;30,00;0,00;23,00;15,00;8,00;0,00
2020-07-19;40,00;8,00;18,00;24,00;5,00;8,00
2020-07-26;36,00;13,00;17,00;11,00;8,00;0,00
2020-08-02;41,00;0,00;57,00;14,00;13,00;4,00
2020-08-09;29,00;11,00;71,00;22,00;0,00;0,00
2020-08-16;55,00;8,00;29,00;5,00;28,00;10,00
2020-08-23;52,00;7,00;39,00;11,00;9,00;9,00
2020-08-30;47,00;0,00;28,00;5,00;7,00;8,00
2020-09-06;35,00;7,00;43,00;0,00;7,00;7,00
2020-09-13;29,00;7,00;21,00;16,00;0,00;0,00
2020-09-20;32,00;0,00;26,00;17,00;5,00;0,00
2020-09-27;35,00;0,00;4,00;16,00;0,00;10,00
2020-10-04;46,00;0,00;18,00;28,00;10,00;0,00
2020-10-11;71,00;7,00;15,00;11,00;8,00;0,00
2020-10-18;51,00;9,00;30,00;13,00;8,00;7,00
2020-10-25;77,00;0,00;13,00;9,00;5,00;0,00
2020-11-01;30,00;0,00;35,00;9,00;23,00;0,00
2020-11-08;32,00;6,00;28,00;6,00;9,00;10,00
2020-11-15;43,00;4,00;25,00;11,00;11,00;8,00
2020-11-22;53,00;9,00;22,00;20,00;19,00;7,00
2020-11-29;47,00;12,00;32,00;13,00;11,00;4,00
2020-12-06;61,00;0,00;28,00;0,00;15,00;11,00
2020-12-13;48,00;19,00;22,00;17,00;19,00;13,00
2020-12-20;39,00;21,00;26,00;5,00;22,00;0,00
2020-12-27;49,00;25,00;31,00;28,00;33,00;13,00
2021-01-03;53,00;9,00;36,00;25,00;39,00;7,00
2021-01-10;74,00;8,00;34,00;26,00;13,00;10,00
2021-01-17;79,00;0,00;30,00;0,00;24,00;7,00
2021-01-24;58,00;0,00;32,00;16,00;15,00;9,00
2021-01-31;49,00;8,00;22,00;14,00;14,00;7,00
2021-02-07;45,00;0,00;19,00;22,00;11,00;9,00
2021-02-14;44,00;0,00;30,00;30,00;12,00;14,00
2021-02-21;46,00;17,00;29,00;14,00;13,00;8,00
2021-02-28;36,00;6,00;20,00;18,00;9,00;7,00
2021-03-07;44,00;5,00;9,00;24,00;53,00;5,00
2021-03-14;53,00;0,00;28,00;20,00;15,00;5,00
2021-03-21;45,00;0,00;11,00;20,00;20,00;7,00
2021-03-28;43,00;0,00;21,00;26,00;11,00;5,00
2021-04-04;18,00;9,00;27,00;28,00;15,00;0,00
2021-04-11;55,00;0,00;48,00;30,00;28,00;5,00
2021-04-18;31,00;7,00;24,00;24,00;19,00;0,00
2021-04-25;33,00;0,00;43,00;12,00;35,00;8,00
2021-05-02;39,00;0,00;13,00;62,00;4,00;8,00
2021-05-09;40,00;11,00;21,00;49,00;14,00;8,00
2021-05-16;25,00;5,00;28,00;51,00;19,00;6,00
2021-05-23;36,00;0,00;16,00;56,00;22,00;12,00
2021-05-30;37,00;11,00;6,00;49,00;22,00;0,00
2021-06-06;39,00;0,00;26,00;31,00;20,00;11,00
2021-06-13;45,00;0,00;33,00;33,00;19,00;0,00
2021-06-20;35,00;17,00;31,00;29,00;19,00;12,00
2021-06-27;39,00;6,00;47,00;23,00;22,00;7,00
2021-07-04;44,00;10,00;30,00;46,00;22,00;10,00
2021-07-11;39,00;0,00;17,00;33,00;15,00;7,00
2021-07-18;42,00;5,00;17,00;37,00;21,00;15,00
2021-07-25;43,00;11,00;31,00;16,00;28,00;0,00
2021-08-01;35,00;27,00;56,00;35,00;33,00;6,00
2021-08-08;58,00;12,00;43,00;42,00;42,00;14,00
2021-08-15;35,00;0,00;38,00;55,00;47,00;12,00
2021-08-22;49,00;0,00;51,00;44,00;38,00;17,00
2021-08-29;45,00;10,00;30,00;29,00;29,00;0,00
2021-09-05;32,00;22,00;55,00;39,00;24,00;20,00
2021-09-12;42,00;9,00;53,00;40,00;23,00;24,00
2021-09-19;29,00;5,00;63,00;53,00;29,00;13,00
2021-09-26;38,00;0,00;43,00;42,00;17,00;0,00
2021-10-03;63,00;14,00;50,00;27,00;20,00;20,00
2021-10-10;47,00;0,00;53,00;38,00;26,00;0,00
2021-10-17;51,00;6,00;51,00;18,00;18,00;6,00
2021-10-24;62,00;18,00;47,00;25,00;31,00;0,00
2021-10-31;69,00;6,00;63,00;43,00;36,00;12,00
2021-11-07;52,00;16,00;38,00;47,00;35,00;7,00
2021-11-14;61,00;5,00;60,00;15,00;32,00;0,00
2021-11-21;41,00;6,00;56,00;25,00;49,00;15,00
2021-11-28;38,00;12,00;78,00;35,00;33,00;10,00
2021-12-05;48,00;12,00;40,00;19,00;11,00;0,00
2021-12-12;48,00;0,00;36,00;30,00;24,00;6,00
2021-12-19;62,00;6,00;43,00;43,00;25,00;0,00
2021-12-26;67,00;8,00;59,00;51,00;39,00;14,00
2022-01-02;71,00;9,00;65,00;38,00;43,00;12,00
2022-01-09;51,00;0,00;54,00;52,00;42,00;19,00
2022-01-16;71,00;14,00;44,00;36,00;49,00;6,00
2022-01-23;57,00;0,00;38,00;30,00;37,00;27,00
2022-01-30;100,00;0,00;50,00;53,00;18,00;0,00
2022-02-06;58,00;0,00;46,00;58,00;32,00;11,00
2022-02-13;54,00;0,00;48,00;33,00;49,00;7,00
2022-02-20;70,00;6,00;48,00;33,00;42,00;14,00
2022-02-27;58,00;0,00;50,00;31,00;28,00;12,00
2022-03-06;42,00;0,00;49,00;32,00;29,00;12,00
2022-03-13;51,00;5,00;45,00;38,00;20,00;14,00
2022-03-20;58,00;0,00;43,00;41,00;27,00;10,00
2022-03-27;69,00;4,00;61,00;40,00;31,00;10,00
2022-04-03;91,00;0,00;57,00;46,00;23,00;9,00
2022-04-10;61,00;14,00;66,00;53,00;43,00;10,00
2022-04-17;61,00;18,00;43,00;47,00;26,00;9,00
2022-04-24;77,00;15,00;51,00;20,00;24,00;11,00
2022-05-01;50,00;7,00;54,00;47,00;23,00;0,00
2022-05-08;48,00;0,00;47,00;30,00;31,00;9,00
2022-05-15;53,00;0,00;35,00;32,00;14,00;16,00
2022-05-22;36,00;0,00;41,00;35,00;41,00;11,00
2022-05-29;42,00;10,00;32,00;24,00;0,00;8,00
2022-06-05;49,00;4,00;39,00;30,00;22,00;13,00
2022-06-12;44,00;7,00;21,00;23,00;41,00;10,00
2022-06-19;58,00;5,00;50,00;35,00;39,00;6,00
2022-06-26;48,00;10,00;46,00;38,00;26,00;14,00
2022-07-03;65,00;5,00;42,00;65,00;41,00;0,00
2022-07-10;73,00;0,00;63,00;57,00;30,00;16,00
2022-07-17;53,00;0,00;56,00;38,00;33,00;14,00
2022-07-24;60,00;7,00;53,00;48,00;33,00;8,00
2022-07-31;63,00;0,00;47,00;33,00;37,00;10,00
2022-08-07;58,00;8,00;53,00;34,00;22,00;17,00
2022-08-14;35,00;5,00;42,00;35,00;38,00;7,00
2022-08-21;46,00;7,00;55,00;15,00;23,00;24,00
2022-08-28;41,00;0,00;44,00;25,00;20,00;6,00
2022-09-04;51,00;9,00;33,00;34,00;26,00;10,00
2022-09-11;54,00;0,00;42,00;25,00;31,00;13,00
2022-09-18;67,00;6,00;43,00;22,00;24,00;11,00
2022-09-25;37,00;0,00;40,00;31,00;31,00;12,00
2022-10-02;51,00;15,00;41,00;32,00;15,00;6,00
2022-10-09;54,00;11,00;31,00;25,00;27,00;10,00
2022-10-16;47,00;12,00;50,00;16,00;19,00;6,00
2022-10-23;54,00;8,00;35,00;20,00;23,00;5,00
2022-10-30;51,00;12,00;54,00;38,00;35,00;0,00
2022-11-06;36,00;8,00;43,00;29,00;25,00;7,00
2022-11-13;41,00;11,00;36,00;28,00;29,00;17,00
