Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2020-01-05;66,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;12,00;13,00;13,00;16,00;0,00;0,00;0,00;14,00;0,00;0,00;79,44;14,67;17,11;4,89;0,00;0,00;0,00;7,00;10,70;46,38;5,35;7,14;145,66;13,66;43,24;25,03;37,00;7,00;7,00;13,00;71,00;18,00;0,00;23,00
2020-01-12;52,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;5,00;6,00;7,00;0,00;0,00;58,19;14,86;22,29;11,14;8,00;0,00;0,00;0,00;7,17;62,76;8,97;7,17;198,96;15,83;33,91;20,35;26,00;4,00;0,00;27,00;68,00;15,00;0,00;0,00
2020-01-19;56,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;7,00;6,00;0,00;0,00;10,00;0,00;0,00;0,00;35,30;15,83;21,91;4,87;5,00;0,00;9,00;10,00;14,00;68,25;12,25;12,25;181,44;0,00;33,60;0,00;32,00;0,00;0,00;33,00;59,00;0,00;6,00;13,00
2020-01-26;69,00;0,00;0,00;7,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;11,00;0,00;52,98;11,09;22,18;11,09;11,00;4,00;0,00;4,00;21,23;53,08;14,15;0,00;163,30;16,10;27,60;13,80;26,00;12,00;0,00;19,00;66,00;33,00;0,00;17,00
2020-02-02;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;76,76;17,33;22,29;22,29;15,00;0,00;14,00;0,00;10,76;71,72;12,55;0,00;178,61;13,57;36,17;9,04;37,00;11,00;30,00;28,00;53,00;9,00;5,00;19,00
2020-02-09;35,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;11,00;0,00;9,00;0,00;7,00;68,75;0,00;52,50;7,50;12,00;0,00;0,00;0,00;7,37;62,63;0,00;0,00;165,67;32,67;18,67;11,67;23,00;12,00;8,00;31,00;68,00;15,00;0,00;21,00
2020-02-16;79,00;0,00;0,00;7,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;6,00;0,00;0,00;8,00;5,00;0,00;5,00;66,66;17,28;33,33;18,52;21,00;5,00;13,00;5,00;8,98;59,25;12,57;0,00;151,03;25,56;20,91;23,24;17,00;11,00;6,00;27,00;60,00;14,00;0,00;7,00
2020-02-23;37,00;5,00;0,00;6,00;0,00;0,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;16,00;6,00;50,57;16,03;28,37;6,17;11,00;8,00;5,00;0,00;5,29;51,10;5,29;7,05;164,19;39,31;27,75;6,94;18,00;5,00;6,00;28,00;67,00;13,00;0,00;6,00
2020-03-01;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;11,00;5,00;6,00;0,00;13,00;0,00;0,00;33,00;11,00;17,11;9,78;16,00;0,00;0,00;7,00;0,00;44,00;9,17;0,00;129,80;8,80;37,40;19,80;18,00;0,00;0,00;19,00;71,00;35,00;11,00;14,00
2020-03-08;27,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;14,73;0,00;7,36;7,36;6,00;0,00;0,00;0,00;0,00;28,80;5,40;0,00;63,00;9,00;20,25;11,25;11,00;6,00;12,00;13,00;54,00;33,00;0,00;11,00
