Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2020-01-05;50,00;0,00;13,04;0,00;0,00;23,00;0,00;0,00;0,00;21,00;0,00;13,00;17,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,16;19,74;0,00;20,51;0,00;30,77;0,00;0,00;0,00;0,00;0,00;22,00;0,00;33,00;61,00;0,00;0,00;0,00;0,00;62,00;0,00;0,00;0,00
2020-01-12;54,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;30,00;16,00;0,00;0,00;0,00;0,00;0,00;24,00;23,71;131,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;24,00;36,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;70,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;17,00;0,00;14,00;0,00;18,49;14,53;0,00;0,00;0,00;49,64;0,00;0,00;0,00;16,00;16,00;0,00;0,00;35,00;74,00;0,00;0,00;0,00;25,00;22,00;25,00;0,00;14,00
2020-01-26;32,00;34,13;0,00;0,00;0,00;0,00;0,00;19,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;16,00;32,00;29,44;0,00;0,00;0,00;0,00;29,54;17,23;0,00;0,00;0,00;0,00;0,00;0,00;21,00;76,00;0,00;26,00;20,00;0,00;17,00;0,00;12,00;14,00
2020-02-02;51,00;37,98;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,38;0,00;18,31;11,77;0,00;53,49;13,68;0,00;0,00;17,00;0,00;0,00;14,00;28,00;30,00;42,00;0,00;0,00;45,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;76,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,72;0,00;0,00;26,60;0,00;0,00;20,00;36,00;0,00;0,00;0,00;16,00;51,00;23,00;14,00;37,00;0,00;39,00;0,00;0,00;0,00
2020-02-16;45,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,21;0,00;0,00;14,14;0,00;41,14;11,57;57,00;22,00;0,00;0,00;0,00;0,00;0,00;42,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;64,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42,00;0,00;0,00;0,00;14,00;13,00;0,00;0,00;23,00;0,00;0,00;13,06;0,00;34,56;0,00;33,28;0,00;29,00;0,00;0,00;0,00;20,00;21,00;18,00;17,00;0,00;15,00;15,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;20,00;36,84;32,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;12,00;0,00;0,00;0,00;0,00;11,25;0,00;27,50;0,00;0,00;0,00;19,00;0,00;0,00;0,00;13,00;47,00;26,00;11,00;28,00;0,00;12,00;0,00;13,00;0,00
2020-03-08;23,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;19,00;41,00;0,00;0,00;0,00;72,00;0,00;0,00;0,00;0,00;0,00;0,00;25,56;20,44;0,00;15,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;25,00;36,00;0,00;44,00;0,00;39,00
2020-03-15;0,00;19,00;13,00;0,00;24,00;0,00;13,00;0,00;0,00;20,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;19,00;11,00;20,00;0,00;40,00;0,00;12,00;0,00;19,00;0,00;0,00;16,00;0,00;24,00;0,00;11,00;0,00
2020-03-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;17,00;0,00;21,00;67,00;11,00;14,00;20,00;14,00;0,00;0,00;0,00;14,00;0,00;16,00;14,00;30,00
2020-03-29;16,00;10,67;14,93;0,00;10,00;0,00;0,00;0,00;27,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;23,38;0,00;11,08;0,00;9,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;18,00;0,00;0,00;0,00;26,00;15,00;0,00
2020-04-05;21,00;12,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;10,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;32,00;0,00;0,00;23,00;0,00;18,00
