Semaine;Nice (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Bordeaux (FR);Tours (FR);Hamburg (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES)
2020-01-05;70,00;17,00;5,00;0,00;16,00;6,00;7,00;8,00;39,00;47,00;37,00;42,00;66,00;42,00;35,00;129,23;242,31;51,15;102,31;95,00;185,00;70,00;25,00;145,00;105,00;90,00;190,00;396,67;0,00;233,33;186,67;571,67;781,67;140,00;315,00
2020-01-12;46,00;30,00;0,00;0,00;13,00;14,00;12,00;5,00;26,00;39,00;34,00;39,00;77,00;50,00;45,00;148,82;238,12;16,24;132,59;97,11;311,78;61,33;30,67;143,11;122,67;86,89;194,22;414,00;0,00;207,00;184,00;621,00;793,50;184,00;310,50
2020-01-19;45,00;18,00;24,00;24,00;8,00;5,00;18,00;14,00;29,00;52,00;49,00;37,00;71,00;50,00;39,00;193,24;201,18;21,18;100,59;110,00;245,00;85,00;20,00;140,00;90,00;95,00;205,00;382,50;22,50;157,50;202,50;596,25;798,75;191,25;315,00
2020-01-26;72,00;16,00;4,00;0,00;18,00;0,00;13,00;0,00;20,00;49,00;24,00;44,00;56,00;33,00;34,00;128,00;157,33;26,67;88,00;108,00;205,71;66,86;15,43;124,80;67,20;67,20;187,20;336,00;12,00;168,00;168,00;540,00;696,00;144,00;276,00
2020-02-02;58,00;12,00;7,00;0,00;13,00;12,00;9,00;11,00;32,00;36,00;31,00;40,00;54,00;36,00;41,00;143,62;198,86;35,90;69,05;110,73;216,18;63,27;15,82;116,00;87,00;82,17;280,33;309,33;0,00;444,67;135,33;533,60;719,20;150,80;278,40
2020-02-09;44,00;16,00;0,00;7,00;10,00;14,00;7,00;0,00;32,00;42,00;11,00;37,00;57,00;37,00;50,00;173,25;203,50;41,25;110,00;78,22;220,00;34,22;19,56;107,56;78,22;83,11;185,78;374,00;11,00;198,00;154,00;506,00;781,00;154,00;297,00
2020-02-16;66,00;23,00;11,00;15,00;14,00;0,00;13,00;0,00;26,00;32,00;31,00;29,00;55,00;14,00;39,00;162,25;258,50;27,50;90,75;96,46;238,62;91,38;20,31;150,86;89,57;94,29;198,00;396,00;11,00;176,00;176,00;539,00;792,00;165,00;319,00
2020-02-23;39,00;10,00;0,00;0,00;5,00;15,00;6,00;5,00;60,00;23,00;35,00;31,00;64,00;30,00;47,00;150,43;208,93;33,43;75,21;97,50;234,00;53,63;19,50;131,63;82,88;102,38;185,25;312,00;19,50;156,00;136,50;637,00;845,00;169,00;299,00
2020-03-01;45,00;27,00;0,00;0,00;5,00;0,00;9,00;0,00;29,00;37,00;18,00;35,00;72,00;32,00;32,00;105,88;156,18;29,12;87,35;120,00;195,00;55,00;30,00;140,00;100,00;90,00;180,00;270,00;11,25;157,50;90,00;483,75;675,00;112,50;213,75
2020-03-08;30,00;6,00;8,00;0,00;16,00;10,00;13,00;0,00;23,00;7,00;22,00;23,00;45,00;29,00;52,00;98,18;188,18;24,55;98,18;75,00;175,00;55,00;25,00;105,00;80,00;130,00;170,00;420,00;15,00;270,00;120,00;430,00;570,00;110,00;160,00
2020-03-15;14,00;11,00;9,00;0,00;6,00;6,00;20,00;13,00;10,00;0,00;23,00;23,00;58,00;22,00;19,00;56,00;168,00;14,00;112,00;46,67;466,67;37,33;18,67;65,33;79,33;74,67;144,67;112,00;14,00;98,00;56,00;448,00;588,00;98,00;154,00
2020-03-22;7,00;17,00;0,00;0,00;13,00;0,00;0,00;0,00;14,00;11,00;14,00;10,00;54,00;35,00;23,00;35,00;93,33;0,00;35,00;70,00;336,00;42,00;21,00;70,00;63,00;84,00;175,00;98,00;0,00;84,00;28,00;140,00;182,00;42,00;56,00
2020-03-29;0,00;4,00;4,00;0,00;9,00;6,00;0,00;9,00;17,00;17,00;0,00;13,00;25,00;15,00;10,00;17,00;37,00;3,00;17,00;6,00;30,00;6,00;0,00;10,00;10,00;6,00;23,00;6,00;0,50;4,00;2,00;16,00;21,00;5,00;8,00
2020-04-05;11,00;7,00;0,00;0,00;9,00;3,00;0,00;17,00;21,00;12,00;29,00;10,00;39,00;19,00;21,00;66,00;85,25;8,25;41,25;44,00;148,50;16,50;16,50;55,00;44,00;33,00;99,00;132,00;11,00;88,00;44,00;209,00;220,00;44,00;77,00
2020-04-12;18,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;12,00;8,00;13,00;10,00;30,00;22,00;6,00;46,29;79,71;12,86;28,29;40,50;99,00;18,00;13,50;54,00;54,00;58,50;81,00;90,00;9,00;54,00;36,00;135,00;162,00;36,00;54,00
2020-04-19;10,00;14,00;11,00;0,00;0,00;4,00;4,00;0,00;10,00;22,00;20,00;4,00;16,00;24,00;17,00;60,00;57,50;15,00;30,00;40,00;135,00;30,00;10,00;55,00;50,00;40,00;90,00;100,00;10,00;80,00;20,00;150,00;210,00;50,00;60,00
2020-04-26;23,00;8,00;0,00;0,00;12,00;12,00;6,00;0,00;17,00;7,00;0,00;12,00;18,00;20,00;14,00;51,11;63,89;5,11;30,67;41,40;115,00;18,40;9,20;46,00;36,80;41,40;87,40;115,00;0,00;92,00;46,00;184,00;230,00;46,00;103,50
2020-05-03;10,00;0,00;0,00;7,00;18,00;0,00;5,00;0,00;11,00;15,00;17,00;12,00;28,00;25,00;16,00;60,00;62,50;7,50;27,50;35,00;120,00;25,00;5,00;65,00;35,00;40,00;120,00;100,00;0,00;80,00;40,00;170,00;240,00;40,00;90,00
2020-05-10;12,00;13,00;8,00;6,00;12,00;9,00;0,00;0,00;7,00;6,00;16,00;15,00;28,00;17,00;30,00;43,20;69,60;21,60;36,00;72,00;114,00;36,00;12,00;44,00;48,00;36,00;80,00;60,00;0,00;36,00;24,00;216,00;276,00;60,00;96,00
2020-05-17;23,00;19,00;0,00;0,00;12,00;5,00;0,00;0,00;5,00;10,00;7,00;16,00;23,00;33,00;21,00;89,13;80,50;8,63;25,88;28,75;120,75;28,75;5,75;55,20;36,80;32,20;96,60;138,00;0,00;92,00;23,00;195,50;287,50;34,50;80,50
2020-05-24;17,00;12,00;0,00;0,00;12,00;10,00;9,00;0,00;11,00;10,00;25,00;17,00;6,00;33,00;29,00;51,00;70,83;11,33;51,00;56,67;90,67;17,00;11,33;42,50;38,25;25,50;76,50;85,00;17,00;51,00;17,00;110,50;178,50;34,00;59,50
2020-05-31;20,00;8,00;0,00;4,00;0,00;8,00;0,00;7,00;22,00;21,00;8,00;7,00;29,00;23,00;21,00;60,00;105,71;8,57;51,43;50,00;85,00;15,00;0,00;60,00;50,00;45,00;90,00;120,00;10,00;80,00;40,00;170,00;230,00;40,00;80,00
2020-06-07;16,00;18,00;0,00;0,00;0,00;16,00;5,00;0,00;7,00;0,00;14,00;16,00;17,00;21,00;10,00;61,33;80,00;8,00;58,67;48,00;90,67;21,33;10,67;42,67;58,67;42,67;80,00;80,00;0,00;32,00;16,00;320,00;352,00;64,00;112,00
2020-06-14;32,00;14,00;6,00;0,00;12,00;5,00;0,00;10,00;0,00;0,00;22,00;21,00;29,00;20,00;36,00;82,67;66,67;18,67;45,33;48,00;96,00;42,67;16,00;64,00;54,86;32,00;100,57;224,00;0,00;96,00;32,00;213,33;245,33;53,33;96,00
2020-06-21;28,00;17,00;6,00;0,00;15,00;0,00;0,00;0,00;11,00;12,00;21,00;20,00;23,00;14,00;11,00;81,20;61,60;8,40;47,60;32,67;84,00;4,67;0,00;42,00;37,33;46,67;107,33;168,00;0,00;112,00;56,00;252,00;322,00;56,00;126,00
2020-06-28;34,00;21,00;0,00;0,00;9,00;4,00;4,00;9,00;8,00;5,00;21,00;21,00;27,00;20,00;19,00;70,62;91,54;10,46;49,69;48,57;68,00;24,29;9,71;72,86;53,43;38,86;87,43;170,00;17,00;102,00;68,00;192,67;317,33;56,67;68,00
2020-07-05;15,00;8,00;0,00;5,00;6,00;0,00;10,00;6,00;10,00;15,00;19,00;18,00;13,00;28,00;14,00;93,00;126,00;15,00;48,00;65,00;120,00;25,00;15,00;50,00;50,00;45,00;130,00;75,00;7,50;60,00;30,00;285,00;360,00;75,00;120,00
2020-07-12;9,00;14,00;0,00;13,00;6,00;6,00;50,00;0,00;7,00;11,00;0,00;13,00;13,00;0,00;19,00;66,00;111,00;30,00;63,00;31,50;81,00;22,50;13,50;54,00;40,50;31,50;126,00;90,00;18,00;54,00;36,00;153,00;216,00;54,00;90,00
2020-07-19;12,00;7,00;11,00;6,00;8,00;0,00;32,00;0,00;4,00;20,00;14,00;16,00;27,00;9,00;12,00;52,80;88,80;12,00;38,40;54,00;138,00;12,00;12,00;36,00;36,00;36,00;92,00;72,00;0,00;36,00;24,00;216,00;288,00;60,00;72,00
2020-07-26;24,00;7,00;0,00;0,00;11,00;15,00;19,00;11,00;18,00;24,00;16,00;12,00;28,00;25,00;18,00;69,33;74,67;18,67;45,33;33,60;96,00;19,20;9,60;62,40;52,80;52,80;120,00;168,00;0,00;96,00;48,00;192,00;312,00;72,00;108,00
2020-08-02;11,00;11,00;16,00;4,00;0,00;20,00;0,00;0,00;7,00;15,00;0,00;11,00;10,00;33,00;23,00;55,00;99,00;13,75;38,50;60,50;121,00;22,00;11,00;66,00;38,50;55,00;148,50;132,00;11,00;44,00;44,00;209,00;297,00;44,00;77,00
2020-08-09;13,00;25,00;0,00;8,00;11,00;7,00;13,00;7,00;13,00;17,00;22,00;24,00;26,00;46,00;31,00;67,60;96,20;10,40;44,20;78,00;110,50;45,50;19,50;60,67;47,67;47,67;104,00;91,00;6,50;52,00;13,00;260,00;351,00;65,00;143,00
2020-08-16;29,00;12,00;0,00;5,00;9,00;0,00;6,00;8,00;14,00;9,00;26,00;10,00;33,00;30,00;28,00;76,45;105,45;10,55;55,36;53,17;96,67;29,00;24,17;58,00;62,83;58,00;106,33;203,00;14,50;87,00;58,00;183,67;270,67;67,67;87,00
2020-08-23;14,00;5,00;6,00;0,00;0,00;0,00;11,00;17,00;10,00;17,00;27,00;25,00;32,00;29,00;30,00;53,20;92,40;19,60;25,20;46,67;102,67;23,33;4,67;56,00;56,00;56,00;121,33;84,00;7,00;42,00;14,00;280,00;420,00;70,00;112,00
2020-08-30;14,00;11,00;0,00;0,00;0,00;0,00;10,00;5,00;38,00;0,00;22,00;8,00;33,00;11,00;34,00;70,00;67,20;5,60;28,00;42,00;74,67;23,33;0,00;65,33;51,33;46,67;107,33;84,00;7,00;56,00;14,00;210,00;364,00;84,00;112,00
2020-09-06;29,00;15,00;0,00;0,00;5,00;11,00;0,00;0,00;21,00;14,00;12,00;6,00;30,00;42,00;30,00;84,36;87,00;7,91;39,55;38,67;96,67;24,17;9,67;67,67;53,17;38,67;207,83;145,00;14,50;116,00;58,00;174,00;280,33;58,00;67,67
2020-09-13;11,00;21,00;0,00;0,00;22,00;18,00;8,00;8,00;10,00;16,00;25,00;19,00;17,00;27,00;18,00;63,25;101,75;11,00;44,00;55,00;99,00;33,00;16,50;77,00;44,00;55,00;236,50;154,00;0,00;88,00;44,00;187,00;264,00;66,00;88,00
2020-09-20;7,00;11,00;0,00;0,00;0,00;12,00;11,00;0,00;13,00;10,00;21,00;11,00;23,00;23,00;32,00;44,33;70,00;9,33;39,67;35,00;91,00;28,00;28,00;77,00;98,00;56,00;182,00;70,00;0,00;42,00;28,00;112,00;182,00;42,00;63,00
2020-09-27;26,00;20,00;0,00;0,00;11,00;14,00;5,00;0,00;5,00;10,00;28,00;9,00;41,00;15,00;23,00;54,60;85,80;18,20;41,60;41,60;109,20;36,40;5,20;57,20;57,20;57,20;104,00;156,00;13,00;130,00;26,00;286,00;364,00;52,00;104,00
2020-10-04;19,00;11,00;4,00;0,00;7,00;0,00;0,00;11,00;8,00;7,00;30,00;9,00;24,00;21,00;22,00;62,43;70,57;16,29;51,57;33,25;71,25;23,75;14,25;47,50;47,50;33,25;133,00;76,00;9,50;76,00;19,00;171,00;285,00;38,00;66,50
2020-10-11;8,00;20,00;7,00;23,00;8,00;10,00;0,00;0,00;12,00;9,00;27,00;19,00;38,00;28,00;25,00;61,33;74,67;18,67;42,67;44,00;80,00;32,00;20,00;32,00;48,00;40,00;124,00;96,00;0,00;64,00;32,00;160,00;200,00;56,00;64,00
2020-10-18;23,00;6,00;0,00;0,00;7,00;9,00;12,00;0,00;24,00;12,00;9,00;16,00;23,00;30,00;21,00;48,56;86,89;17,89;38,33;41,40;69,00;23,00;0,00;59,80;50,60;50,60;96,60;115,00;0,00;92,00;46,00;218,50;299,00;46,00;92,00
2020-10-25;31,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;16,00;7,00;31,00;21,00;26,00;45,09;87,36;11,27;28,18;41,33;72,33;20,67;5,17;62,00;56,83;41,33;108,50;124,00;0,00;93,00;31,00;206,67;217,00;31,00;72,33
2020-11-01;16,00;6,00;0,00;7,00;12,00;0,00;0,00;0,00;12,00;11,00;24,00;26,00;17,00;18,00;18,00;29,33;64,00;10,67;24,00;32,00;64,00;69,33;16,00;48,00;58,67;32,00;106,67;48,00;0,00;48,00;32,00;272,00;368,00;48,00;96,00
2020-11-08;0,00;13,00;0,00;4,00;0,00;0,00;7,00;5,00;14,00;9,00;13,00;17,00;16,00;15,00;13,00;9,00;33,00;2,00;12,00;8,00;16,00;4,00;3,00;9,00;10,00;9,00;27,00;4,00;0,00;3,00;1,00;13,00;27,00;6,00;7,00
2020-11-15;15,00;14,00;6,00;8,00;5,00;6,00;5,00;0,00;0,00;12,00;19,00;11,00;31,00;23,00;15,00;42,50;80,00;0,00;35,00;35,00;80,00;25,00;0,00;60,00;35,00;35,00;130,00;90,00;0,00;45,00;15,00;255,00;435,00;60,00;120,00
2020-11-22;28,00;8,00;6,00;0,00;11,00;0,00;0,00;0,00;12,00;0,00;20,00;7,00;19,00;21,00;17,00;47,60;86,80;16,80;28,00;61,60;61,60;16,80;22,40;42,00;42,00;37,33;98,00;112,00;0,00;84,00;28,00;210,00;350,00;56,00;98,00
2020-11-29;17,00;0,00;7,00;0,00;0,00;0,00;6,00;0,00;8,00;7,00;22,00;10,00;27,00;13,00;21,00;51,00;79,33;17,00;45,33;56,67;68,00;22,67;5,67;51,00;29,75;29,75;93,50;85,00;8,50;51,00;34,00;127,50;212,50;42,50;59,50
2020-12-06;5,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;8,00;10,00;27,00;12,00;28,00;27,00;21,00;55,00;60,00;12,50;45,00;35,00;80,00;25,00;15,00;40,00;45,00;30,00;110,00;40,00;5,00;30,00;10,00;180,00;230,00;30,00;80,00
2020-12-13;20,00;9,00;0,00;0,00;11,00;9,00;0,00;0,00;17,00;6,00;18,00;14,00;19,00;37,00;26,00;37,50;70,00;22,50;25,00;25,00;75,00;25,00;5,00;55,00;45,00;40,00;120,00;80,00;0,00;60,00;20,00;140,00;250,00;50,00;50,00
2020-12-20;15,00;9,00;0,00;0,00;11,00;6,00;0,00;0,00;14,00;11,00;29,00;11,00;43,00;23,00;32,00;60,00;102,00;21,00;45,00;35,00;75,00;25,00;20,00;75,00;50,00;45,00;115,00;60,00;0,00;45,00;30,00;270,00;435,00;60,00;90,00
2020-12-27;14,00;15,00;0,00;0,00;6,00;0,00;0,00;0,00;8,00;11,00;22,00;12,00;49,00;22,00;17,00;61,60;98,00;0,00;42,00;51,33;70,00;18,67;0,00;93,33;51,33;42,00;102,67;70,00;7,00;56,00;28,00;238,00;350,00;42,00;112,00
2021-01-03;12,00;9,00;0,00;0,00;8,00;10,00;8,00;0,00;15,00;0,00;10,00;9,00;22,00;26,00;18,00;38,40;79,20;12,00;48,00;60,00;90,00;24,00;18,00;48,00;36,00;32,00;84,00;60,00;0,00;60,00;12,00;180,00;300,00;36,00;72,00
2021-01-10;17,00;9,00;6,00;6,00;0,00;0,00;8,00;0,00;4,00;8,00;0,00;0,00;26,00;33,00;15,00;56,67;62,33;14,17;39,67;56,67;90,67;28,33;11,33;62,33;73,67;51,00;130,33;85,00;8,50;136,00;17,00;272,00;391,00;68,00;136,00
2021-01-17;21,00;7,00;9,00;0,00;22,00;0,00;0,00;0,00;11,00;11,00;0,00;9,00;35,00;18,00;29,00;47,25;89,25;13,13;31,50;26,25;84,00;26,25;5,25;57,75;52,50;42,00;126,00;105,00;0,00;168,00;42,00;157,50;252,00;31,50;84,00
2021-01-24;16,00;16,00;0,00;0,00;0,00;0,00;0,00;4,00;10,00;18,00;17,00;5,00;24,00;21,00;24,00;18,67;82,67;13,33;48,00;37,33;85,33;5,33;0,00;74,67;37,33;42,67;128,00;64,00;8,00;48,00;16,00;224,00;304,00;64,00;144,00
2021-01-31;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;14,00;8,00;8,00;35,00;12,00;19,00;52,00;49,40;13,00;46,80;26,00;39,00;17,33;4,33;39,00;21,67;13,00;78,00;52,00;6,50;13,00;13,00;156,00;234,00;52,00;65,00
2021-02-07;13,00;6,00;0,00;0,00;0,00;9,00;13,00;0,00;9,00;10,00;15,00;0,00;28,00;26,00;12,00;31,20;54,60;18,20;41,60;39,00;97,50;26,00;0,00;39,00;26,00;30,33;86,67;52,00;0,00;39,00;13,00;156,00;234,00;52,00;52,00
2021-02-14;14,00;13,00;0,00;0,00;14,00;0,00;6,00;0,00;12,00;18,00;12,00;0,00;15,00;10,00;19,00;75,60;72,80;0,00;44,80;51,33;65,33;18,67;9,33;46,67;28,00;37,33;65,33;84,00;0,00;42,00;28,00;182,00;322,00;56,00;98,00
2021-02-21;5,00;16,00;0,00;0,00;14,00;0,00;12,00;0,00;5,00;24,00;12,00;0,00;6,00;13,00;9,00;32,50;60,00;12,50;35,00;35,00;75,00;15,00;10,00;40,00;45,00;25,00;100,00;50,00;10,00;30,00;10,00;160,00;180,00;40,00;50,00
2021-02-28;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;16,00;14,00;7,00;5,00;0,00;21,00;45,00;66,00;15,00;9,00;18,00;67,50;9,00;13,50;22,50;18,00;31,50;90,00;72,00;9,00;54,00;18,00;99,00;180,00;18,00;45,00
2021-03-07;20,00;12,00;0,00;17,00;0,00;5,00;0,00;6,00;6,00;15,00;8,00;6,00;32,00;54,00;10,00;60,00;62,86;5,71;34,29;35,00;65,00;15,00;15,00;45,00;30,00;45,00;105,00;80,00;0,00;60,00;20,00;170,00;220,00;40,00;60,00
2021-03-14;15,00;11,00;0,00;0,00;8,00;12,00;10,00;0,00;0,00;9,00;7,00;11,00;20,00;26,00;14,00;33,00;72,00;9,00;30,00;35,00;60,00;10,00;5,00;35,00;30,00;35,00;120,00;60,00;7,50;30,00;15,00;210,00;285,00;45,00;90,00
2021-03-21;8,00;11,00;0,00;0,00;7,00;0,00;0,00;0,00;6,00;10,00;9,00;9,00;13,00;19,00;14,00;66,67;64,00;13,33;16,00;16,00;64,00;12,00;12,00;36,00;20,00;28,00;80,00;64,00;8,00;32,00;16,00;112,00;152,00;40,00;48,00
2021-03-28;18,00;10,00;4,00;0,00;0,00;0,00;8,00;0,00;6,00;22,00;0,00;5,00;27,00;14,00;8,00;41,14;51,43;10,29;15,43;27,00;63,00;18,00;18,00;22,50;31,50;27,00;81,00;72,00;0,00;36,00;18,00;117,00;144,00;36,00;54,00
2021-04-04;6,00;0,00;8,00;0,00;6,00;9,00;0,00;8,00;0,00;10,00;0,00;24,00;23,00;6,00;11,00;45,00;33,00;0,00;15,00;24,00;60,00;18,00;6,00;36,00;24,00;12,00;108,00;36,00;0,00;24,00;12,00;168,00;204,00;24,00;72,00
2021-04-11;16,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;10,00;0,00;14,00;45,33;58,67;0,00;21,33;21,33;64,00;26,67;5,33;53,33;10,67;32,00;101,33;48,00;0,00;48,00;16,00;208,00;288,00;32,00;112,00
2021-04-18;7,00;13,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;13,00;5,00;0,00;15,00;7,00;13,00;58,33;42,00;9,33;30,33;56,00;70,00;21,00;0,00;24,50;10,50;17,50;73,50;56,00;0,00;42,00;14,00;84,00;140,00;21,00;42,00
2021-04-25;10,00;16,00;0,00;0,00;0,00;11,00;0,00;4,00;4,00;10,00;6,00;7,00;0,00;0,00;12,00;57,50;50,00;10,00;40,00;25,00;50,00;10,00;5,00;25,00;15,00;10,00;95,00;80,00;0,00;120,00;20,00;120,00;210,00;40,00;40,00
2021-05-02;16,00;15,00;0,00;15,00;0,00;8,00;0,00;0,00;5,00;10,00;7,00;14,00;0,00;0,00;0,00;56,00;58,67;0,00;26,67;26,67;64,00;16,00;5,33;42,67;16,00;21,33;117,33;64,00;0,00;512,00;16,00;192,00;272,00;48,00;96,00
2021-05-09;16,00;11,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;6,00;11,00;6,00;0,00;0,00;53,33;74,67;10,67;24,00;26,67;69,33;16,00;0,00;26,67;16,00;37,33;128,00;96,00;8,00;112,00;16,00;192,00;320,00;32,00;144,00
2021-05-16;8,00;19,00;0,00;0,00;10,00;5,00;0,00;0,00;11,00;16,00;0,00;6,00;20,00;0,00;10,00;61,33;61,33;5,33;24,00;24,00;64,00;12,00;8,00;32,00;20,00;28,00;88,00;48,00;8,00;32,00;16,00;104,00;168,00;16,00;40,00
2021-05-23;16,00;19,00;7,00;0,00;5,00;15,00;0,00;6,00;5,00;16,00;10,00;8,00;33,00;21,00;9,00;66,67;77,33;5,33;24,00;16,00;85,33;16,00;32,00;32,00;26,67;21,33;133,33;64,00;8,00;32,00;32,00;240,00;336,00;64,00;96,00
2021-05-30;20,00;7,00;0,00;6,00;0,00;6,00;0,00;0,00;6,00;22,00;7,00;21,00;8,00;17,00;0,00;71,43;71,43;0,00;40,00;35,00;80,00;15,00;15,00;25,00;30,00;30,00;100,00;80,00;0,00;40,00;20,00;180,00;200,00;40,00;60,00
2021-06-06;21,00;14,00;0,00;8,00;0,00;12,00;0,00;0,00;19,00;22,00;0,00;10,00;25,00;9,00;4,00;86,63;76,13;0,00;23,63;31,50;78,75;5,25;10,50;36,75;26,25;15,75;136,50;84,00;0,00;42,00;42,00;189,00;294,00;31,50;94,50
2021-06-13;7,00;11,00;0,00;0,00;7,00;7,00;19,00;0,00;13,00;17,00;6,00;11,00;10,00;0,00;21,00;60,67;60,67;7,00;32,67;154,00;126,00;21,00;7,00;56,00;35,00;28,00;189,00;84,00;0,00;42,00;28,00;140,00;203,00;35,00;49,00
