Semaine;Martinique (LC);Barbade (BB);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC)
2020-01-05;19,00;80,75;24,00;14,00;89,00;27,00
2020-01-12;22,00;60,50;24,00;16,00;74,00;31,00
2020-01-19;22,00;68,20;22,00;14,00;82,00;29,00
2020-01-26;20,00;62,22;22,00;10,00;66,00;22,00
2020-02-02;17,00;56,67;18,00;9,00;76,00;24,00
2020-02-09;16,00;69,71;21,00;10,00;65,00;24,00
2020-02-16;13,00;61,75;17,00;10,00;65,00;27,00
2020-02-23;7,00;65,33;16,00;9,00;65,00;21,00
2020-03-01;11,00;53,90;15,00;9,00;74,00;14,00
2020-03-08;13,00;55,25;23,00;6,00;100,00;18,00
2020-03-15;6,00;52,80;11,00;8,00;55,00;7,00
2020-03-22;3,00;46,50;3,00;2,00;19,00;4,00
2020-03-29;4,00;23,00;6,00;1,00;16,00;5,00
2020-04-05;3,00;24,00;4,00;3,00;13,00;5,00
2020-04-12;0,00;20,00;5,00;1,00;14,00;5,00
2020-04-19;3,00;21,00;4,00;2,00;12,00;4,00
2020-04-26;6,00;25,20;6,00;6,00;14,00;5,00
2020-05-03;7,00;23,33;9,00;2,00;15,00;6,00
2020-05-10;2,00;18,00;5,00;2,00;12,00;5,00
2020-05-17;3,00;20,00;4,00;1,00;13,00;5,00
2020-05-24;3,00;25,50;4,00;3,00;12,00;4,00
2020-05-31;4,00;29,33;8,00;3,00;23,00;10,00
2020-06-07;3,00;19,00;9,00;3,00;17,00;7,00
2020-06-14;3,00;33,00;7,00;2,00;17,00;6,00
2020-06-21;3,00;23,00;7,00;2,00;14,00;5,00
2020-06-28;1,00;18,00;6,00;5,00;15,00;8,00
2020-07-05;3,00;27,00;5,00;2,00;16,00;3,00
2020-07-12;5,00;43,75;2,00;4,00;16,00;5,00
2020-07-19;4,00;45,33;4,00;2,00;20,00;5,00
2020-07-26;3,00;63,00;8,00;5,00;18,00;8,00
2020-08-02;2,00;28,00;9,00;2,00;18,00;5,00
2020-08-09;3,00;28,00;6,00;2,00;19,00;7,00
2020-08-16;4,00;30,00;6,00;3,00;18,00;3,00
2020-08-23;5,00;23,00;7,00;4,00;13,00;5,00
2020-08-30;4,00;23,00;3,00;1,00;15,00;6,00
2020-09-06;4,00;25,00;6,00;4,00;13,00;4,00
2020-09-13;1,00;37,00;7,00;4,00;16,00;7,00
2020-09-20;3,00;30,00;5,00;0,00;17,00;7,00
2020-09-27;3,00;25,00;4,00;0,00;17,00;3,00
2020-10-04;4,00;26,00;6,00;4,00;10,00;6,00
2020-10-11;4,00;38,67;7,00;3,00;18,00;5,00
2020-10-18;2,00;29,00;7,00;4,00;17,00;6,00
2020-10-25;5,00;24,00;4,00;4,00;17,00;7,00
2020-11-01;2,00;23,00;3,00;2,00;17,00;5,00
2020-11-08;4,00;27,00;4,00;5,00;15,00;4,00
2020-11-15;3,00;45,00;6,00;2,00;23,00;5,00
2020-11-22;5,00;31,25;5,00;1,00;19,00;5,00
2020-11-29;4,00;35,00;7,00;3,00;18,00;7,00
2020-12-06;3,00;26,00;7,00;4,00;19,00;6,00
2020-12-13;4,00;44,00;6,00;4,00;18,00;4,00
2020-12-20;4,00;40,00;6,00;4,00;20,00;5,00
2020-12-27;6,00;70,80;7,00;5,00;30,00;12,00
2021-01-03;8,00;54,86;7,00;1,00;21,00;6,00
2021-01-10;4,00;41,33;4,00;5,00;19,00;6,00
2021-01-17;3,00;32,00;6,00;4,00;14,00;6,00
2021-01-24;3,00;49,50;5,00;6,00;16,00;2,00
2021-01-31;4,00;30,67;2,00;2,00;16,00;3,00
2021-02-07;4,00;30,67;5,00;2,00;17,00;8,00
2021-02-14;2,00;22,00;7,00;2,00;17,00;3,00
2021-02-21;1,00;22,00;6,00;1,00;12,00;5,00
2021-02-28;2,00;22,00;3,00;3,00;16,00;3,00
2021-03-07;2,00;26,00;4,00;4,00;11,00;3,00
2021-03-14;3,00;39,00;5,00;2,00;15,00;5,00
2021-03-21;2,00;24,00;7,00;4,00;19,00;7,00
2021-03-28;3,00;17,00;4,00;3,00;18,00;7,00
2021-04-04;6,00;28,00;3,00;2,00;19,00;7,00
2021-04-11;4,00;34,67;4,00;3,00;12,00;6,00
2021-04-18;0,00;17,00;5,00;2,00;17,00;4,00
2021-04-25;6,00;26,40;4,00;4,00;15,00;7,00
2021-05-02;4,00;25,00;4,00;6,00;16,00;4,00
2021-05-09;4,00;22,00;6,00;3,00;16,00;8,00
2021-05-16;5,00;28,75;7,00;2,00;19,00;8,00
2021-05-23;4,00;26,67;4,00;5,00;17,00;7,00
2021-05-30;3,00;21,00;3,00;3,00;19,00;8,00
2021-06-06;5,00;28,75;4,00;3,00;26,00;9,00
