Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2020-01-05;16,00;94,22;5,33;0,00;3,56;18,00;13,00;8,00;17,00;36,00;12,00;10,00;4,00;8,00;24,00;3,20;0,00;3,00;8,00;6,00;0,00;11,00;6,00;8,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-01-12;15,00;73,33;5,00;0,00;15,00;24,00;24,00;5,00;20,00;28,00;10,00;7,00;0,00;6,00;19,50;6,00;4,50;7,00;0,00;0,00;3,00;0,00;0,00;11,00;7,00;2,00;0,00;0,00;0,00;3,00;0,00;0,00;9,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;27,00;104,40;5,40;0,00;14,40;26,00;9,00;5,00;19,00;30,00;12,00;6,00;14,00;6,00;19,50;4,50;0,00;9,00;2,00;3,00;0,00;0,00;5,00;2,00;5,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;6,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;21,00;97,36;9,55;0,00;15,27;32,00;9,00;9,00;5,00;29,00;8,00;8,00;7,00;8,08;30,69;6,46;6,46;5,00;10,00;0,00;0,00;8,00;0,00;4,00;6,00;0,00;0,00;0,00;2,00;3,00;3,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00
2020-02-02;30,00;86,47;7,06;5,29;17,65;16,00;14,00;5,00;20,00;32,00;3,00;11,00;5,00;4,74;18,95;9,47;4,74;4,00;8,00;4,00;0,00;7,00;4,00;14,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00
2020-02-09;33,00;66,00;3,47;0,00;10,42;21,00;0,00;4,00;18,00;19,00;10,00;16,00;9,00;6,29;22,00;0,00;3,14;0,00;4,00;0,00;0,00;8,00;3,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2020-02-16;17,00;94,44;9,44;0,00;13,22;15,00;18,00;14,00;12,00;35,00;7,00;20,00;7,00;9,27;29,36;6,18;0,00;5,00;5,00;14,00;0,00;8,00;4,00;5,00;4,00;0,00;0,00;3,00;0,00;4,00;5,00;0,00;2,00;6,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;22,00;66,00;3,67;0,00;14,67;18,00;15,00;6,00;4,00;20,00;6,00;11,00;4,00;0,00;20,43;7,86;4,71;5,00;7,00;7,00;0,00;3,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-03-01;20,00;50,91;1,82;3,64;7,27;20,00;7,00;14,00;7,00;18,00;3,00;5,00;3,00;6,15;13,85;6,15;0,00;3,00;0,00;0,00;0,00;3,00;0,00;2,00;5,00;0,00;2,00;3,00;2,00;0,00;5,00;0,00;3,00;0,00;0,00;3,00;0,00;2,00;5,00;0,00;0,00;5,00;12,00
2020-03-08;23,00;47,77;12,38;0,00;0,00;16,00;10,00;0,00;6,00;15,00;4,00;0,00;5,00;4,60;10,73;7,67;1,53;3,00;0,00;0,00;0,00;2,00;2,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;5,00
