Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-05;59,00;10,62;0,00;3,54;36,58;6,00;7,00;0,00;0,00;13,00;4,00;21,00;4,00;13,00;12,00;5,00;9,00;19,00;0,00;6,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;20,00;6,00;0,00;9,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2020-01-12;50,00;4,65;0,00;0,00;34,88;0,00;3,00;3,00;5,00;16,00;0,00;33,00;31,00;7,00;3,00;15,00;9,00;5,00;0,00;0,00;3,00;0,00;0,00;4,00;13,00;7,00;0,00;16,00;5,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;39,00;0,00;0,00;0,00;26,38;3,00;0,00;8,00;3,00;17,00;0,00;32,00;0,00;6,00;9,00;5,00;7,00;20,00;3,00;4,00;0,00;3,00;6,00;5,00;5,00;5,00;6,00;6,00;17,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;4,00
2020-01-26;54,00;7,04;4,70;3,52;21,13;12,00;0,00;7,00;0,00;4,00;0,00;10,00;0,00;7,00;4,00;8,00;8,00;17,00;0,00;5,00;0,00;3,00;0,00;5,00;4,00;0,00;6,00;13,00;9,00;3,00;6,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00
2020-02-02;65,00;11,61;8,13;3,48;24,38;19,00;3,00;8,00;3,00;16,00;0,00;23,00;0,00;15,00;0,00;5,00;9,00;10,00;0,00;5,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;10,00;4,00;9,00;0,00;0,00;0,00;0,00;3,00
2020-02-09;72,00;6,97;0,00;0,00;16,26;0,00;8,00;88,00;0,00;14,00;4,00;28,00;0,00;18,00;7,00;10,00;13,00;16,00;0,00;10,00;0,00;3,00;0,00;10,00;0,00;3,00;8,00;21,00;5,00;0,00;5,00;5,00;0,00;6,00;0,00;0,00;7,00;0,00;0,00;0,00
2020-02-16;47,00;9,17;4,59;12,61;33,24;0,00;5,00;8,00;0,00;20,00;0,00;15,00;4,00;7,00;4,00;3,00;6,00;6,00;0,00;10,00;0,00;0,00;0,00;7,00;8,00;3,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;3,00
2020-02-23;43,00;3,49;5,81;0,00;25,57;6,00;3,00;4,00;0,00;13,00;0,00;14,00;0,00;8,00;0,00;0,00;0,00;17,00;0,00;10,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;44,00;0,00;0,00;0,00;31,26;0,00;0,00;4,00;4,00;5,00;0,00;19,00;0,00;13,00;9,00;3,00;7,00;6,00;0,00;8,00;6,00;0,00;4,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-03-08;36,00;12,77;8,13;5,81;116,13;8,00;7,00;3,00;0,00;20,00;7,00;37,00;0,00;5,00;4,00;9,00;0,00;9,00;0,00;3,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;13,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-03-15;14,00;0,00;0,00;3,50;42,00;5,00;0,00;2,00;0,00;4,00;6,00;6,00;6,00;0,00;11,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
