Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-01-05;16,00;163,20;137,60;64,00;99,20;70,00;6,00;80,00;72,00;45,33;88,00;149,33;66,67;44,44;51,56;51,56;26,67;29,00;50,00;26,00;46,00;3,00;44,00;28,00;22,00;7,00;6,00;62,00;5,00;3,00;3,00;0,00;4,00;3,00;0,00
2020-01-12;15,00;144,00;141,00;72,00;99,00;63,75;0,00;73,13;73,13;42,50;72,50;147,50;72,50;41,25;58,13;52,50;20,63;33,00;44,00;28,00;38,00;13,00;50,00;18,00;15,00;8,00;7,00;57,00;6,00;13,00;0,00;0,00;10,00;0,00;0,00
2020-01-19;27,00;138,00;123,00;78,00;108,00;65,57;7,71;61,71;52,07;51,55;78,55;147,27;54,00;45,00;32,40;50,40;23,40;33,00;34,00;28,00;30,00;5,00;49,00;17,00;21,00;6,00;4,00;67,00;3,00;7,00;2,00;5,00;9,00;3,00;2,00
2020-01-26;21,00;123,00;126,00;72,00;93,00;89,73;0,00;59,18;63,00;31,50;94,50;160,13;73,50;42,00;51,55;55,36;22,91;33,00;29,00;24,00;34,00;3,00;42,00;20,00;16,00;9,00;5,00;50,00;2,00;2,00;0,00;3,00;9,00;3,00;2,00
2020-02-02;30,00;126,00;129,00;63,00;99,00;70,00;6,00;94,00;64,00;70,00;77,50;130,00;82,50;54,38;52,50;43,13;22,50;41,00;39,00;16,00;42,00;14,00;39,00;25,00;15,00;10,00;0,00;48,00;0,00;3,00;0,00;3,00;4,00;0,00;0,00
2020-02-09;33,00;147,00;135,00;72,00;111,00;77,65;3,88;71,82;54,35;43,15;73,62;157,38;58,38;51,33;49,50;42,17;23,83;37,00;27,00;32,00;59,00;6,00;46,00;18,00;11,00;14,00;2,00;70,00;0,00;4,00;2,00;0,00;6,00;14,00;0,00
2020-02-16;17,00;153,00;136,00;59,50;87,83;77,44;3,78;68,00;66,11;55,86;82,57;162,71;48,57;51,00;51,00;51,00;28,33;35,00;39,00;30,00;36,00;11,00;49,00;13,00;18,00;21,00;5,00;57,00;7,00;9,00;0,00;7,00;8,00;12,00;0,00
2020-02-23;22,00;157,14;110,00;53,43;94,29;66,00;0,00;72,00;62,00;44,00;85,56;124,67;51,33;44,00;55,00;34,83;33,00;30,00;27,00;27,00;38,00;13,00;51,00;20,00;9,00;10,00;2,00;44,00;6,00;0,00;0,00;3,00;7,00;0,00;0,00
2020-03-01;20,00;122,86;91,43;42,86;71,43;66,00;2,00;52,00;58,00;40,00;70,00;95,00;52,50;42,00;48,00;32,00;30,00;28,00;29,00;21,00;40,00;15,00;39,00;13,00;8,00;12,00;3,00;34,00;0,00;8,00;2,00;0,00;5,00;4,00;4,00
2020-03-08;23,00;97,75;80,50;31,63;69,00;46,00;5,75;74,75;36,42;48,56;51,11;84,33;40,89;36,42;47,92;38,33;15,33;22,00;21,00;18,00;53,00;4,00;37,00;10,00;7,00;6,00;0,00;38,00;4,00;6,00;7,00;2,00;3,00;0,00;0,00
