Semaine;Tahiti (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2020-01-05;62,00;0,00;45,00;0,00;0,00
2020-01-12;63,00;0,00;43,00;0,00;19,00
2020-01-19;58,00;19,00;80,00;0,00;14,00
2020-01-26;38,00;0,00;71,00;0,00;0,00
2020-02-02;88,00;22,00;43,00;0,00;22,00
2020-02-09;58,00;0,00;36,00;15,00;0,00
2020-02-16;42,00;17,00;82,00;0,00;0,00
2020-02-23;41,00;0,00;52,00;0,00;0,00
2020-03-01;30,00;22,00;35,00;0,00;0,00
2020-03-08;47,00;0,00;68,00;21,00;0,00
2020-03-15;38,00;0,00;51,00;33,00;14,00
2020-03-22;22,00;0,00;22,00;0,00;0,00
2020-03-29;32,00;0,00;32,00;30,00;0,00
2020-04-05;54,00;38,00;35,00;0,00;0,00
2020-04-12;24,00;12,00;19,00;0,00;17,00
2020-04-19;31,00;0,00;29,00;17,00;16,00
2020-04-26;22,00;12,00;48,00;12,00;0,00
2020-05-03;28,00;0,00;0,00;0,00;23,00
2020-05-10;14,00;16,00;35,00;0,00;0,00
2020-05-17;41,00;0,00;38,00;0,00;0,00
2020-05-24;16,00;0,00;30,00;0,00;28,00
2020-05-31;0,00;0,00;12,00;0,00;0,00
2020-06-07;51,00;0,00;34,00;0,00;0,00
2020-06-14;33,00;38,00;24,00;0,00;0,00
2020-06-21;38,00;24,00;0,00;0,00;0,00
2020-06-28;40,00;0,00;56,00;0,00;12,00
2020-07-05;41,00;0,00;22,00;0,00;0,00
2020-07-12;47,00;0,00;0,00;0,00;0,00
2020-07-19;66,00;0,00;39,00;0,00;0,00
2020-07-26;37,00;24,00;20,00;0,00;12,00
2020-08-02;37,00;29,00;16,00;0,00;27,00
2020-08-09;27,00;0,00;0,00;0,00;30,00
2020-08-16;56,00;22,00;21,00;19,00;0,00
2020-08-23;18,00;13,00;71,00;13,00;0,00
2020-08-30;45,00;0,00;27,00;17,00;15,00
2020-09-06;25,00;0,00;22,00;0,00;0,00
2020-09-13;32,00;0,00;0,00;12,00;16,00
2020-09-20;28,00;0,00;18,00;0,00;0,00
2020-09-27;27,00;19,00;29,00;0,00;0,00
2020-10-04;32,00;16,00;57,00;0,00;0,00
2020-10-11;53,00;21,00;0,00;0,00;0,00
2020-10-18;17,00;0,00;34,00;0,00;0,00
2020-10-25;17,00;36,00;18,00;0,00;13,00
2020-11-01;0,00;0,00;17,00;0,00;13,00
2020-11-08;17,00;0,00;39,00;25,00;32,00
2020-11-15;41,00;0,00;40,00;17,00;19,00
2020-11-22;36,00;26,00;0,00;0,00;0,00
2020-11-29;0,00;0,00;12,00;0,00;16,00
2020-12-06;21,00;0,00;52,00;0,00;0,00
2020-12-13;36,00;0,00;0,00;0,00;11,00
2020-12-20;50,00;0,00;21,00;0,00;0,00
2020-12-27;39,00;0,00;0,00;26,00;0,00
2021-01-03;35,00;0,00;37,00;0,00;0,00
2021-01-10;36,00;0,00;0,00;0,00;0,00
2021-01-17;40,00;0,00;34,00;0,00;0,00
2021-01-24;46,00;0,00;19,00;0,00;0,00
2021-01-31;22,00;0,00;24,00;0,00;24,00
2021-02-07;21,00;0,00;23,00;0,00;15,00
2021-02-14;13,00;0,00;22,00;0,00;0,00
2021-02-21;33,00;18,00;39,00;11,00;0,00
2021-02-28;38,00;0,00;20,00;15,00;15,00
2021-03-07;28,00;0,00;27,00;18,00;12,00
2021-03-14;24,00;0,00;0,00;0,00;0,00
2021-03-21;53,00;0,00;21,00;0,00;0,00
2021-03-28;38,00;0,00;0,00;37,00;0,00
2021-04-04;72,00;29,00;0,00;0,00;12,00
