Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2020-01-05;88,00;30,25;275,00;189,75;22,00;29,00
2020-01-12;62,00;19,73;250,82;256,45;19,73;33,00
2020-01-19;75,00;0,00;238,89;219,44;22,22;19,00
2020-01-26;67,00;19,54;270,79;145,17;36,29;40,00
2020-02-02;59,00;0,00;233,19;157,33;14,05;14,00
2020-02-09;16,00;13,33;248,00;176,00;18,67;35,00
2020-02-16;57,00;19,95;242,25;239,40;14,25;42,00
2020-02-23;23,00;0,00;181,13;178,25;14,38;11,00
2020-03-01;53,00;8,37;114,37;159,00;16,74;0,00
2020-03-08;43,00;0,00;212,13;143,33;0,00;31,00
2020-03-15;26,00;8,67;147,33;86,67;0,00;43,00
2020-03-22;24,00;0,00;85,33;64,00;0,00;18,00
2020-03-29;52,00;0,00;62,95;49,26;0,00;0,00
2020-04-05;55,00;24,75;60,50;71,50;0,00;12,00
2020-04-12;55,00;13,75;88,00;57,75;13,75;0,00
2020-04-19;45,00;8,44;45,00;53,44;0,00;15,00
2020-04-26;48,00;8,47;50,82;33,88;14,12;27,00
2020-05-03;83,00;22,13;49,80;49,80;8,30;20,00
2020-05-10;44,00;19,25;60,50;22,00;0,00;15,00
2020-05-17;8,00;21,33;77,33;58,67;8,00;13,00
2020-05-24;28,00;0,00;72,80;72,80;0,00;0,00
2020-05-31;57,00;8,55;74,10;54,15;11,40;22,00
2020-06-07;46,00;20,13;89,13;54,63;0,00;0,00
2020-06-14;52,00;0,00;76,63;49,26;0,00;10,00
2020-06-21;45,00;0,00;92,81;56,25;0,00;15,00
2020-06-28;40,00;0,00;100,00;42,86;0,00;20,00
2020-07-05;50,00;11,11;55,56;66,67;0,00;10,00
2020-07-12;43,00;8,06;45,69;72,56;0,00;19,00
2020-07-19;51,00;0,00;85,00;62,33;0,00;11,00
2020-07-26;24,00;8,00;144,00;72,00;0,00;18,00
2020-08-02;38,00;8,14;122,14;92,29;0,00;9,00
2020-08-09;43,00;0,00;215,00;77,40;0,00;11,00
2020-08-16;89,00;0,00;97,34;94,56;13,91;13,00
2020-08-23;35,00;0,00;72,69;70,00;0,00;12,00
2020-08-30;30,00;16,36;84,55;90,00;0,00;14,00
2020-09-06;64,00;0,00;80,70;122,43;0,00;16,00
2020-09-13;38,00;0,00;62,43;92,29;10,86;15,00
2020-09-20;25,00;0,00;58,33;69,44;0,00;18,00
2020-09-27;17,00;0,00;70,83;113,33;17,00;32,00
2020-10-04;51,00;0,00;42,50;136,00;8,50;0,00
2020-10-11;59,00;11,24;47,76;140,48;50,57;9,00
2020-10-18;26,00;0,00;57,78;135,78;14,44;0,00
2020-10-25;48,00;16,94;48,00;110,12;0,00;0,00
2020-11-01;20,00;0,00;37,14;128,57;0,00;7,00
2020-11-08;36,00;8,31;44,31;121,85;8,31;18,00
2020-11-15;33,00;0,00;68,75;104,50;22,00;22,00
2020-11-22;45,00;25,31;50,63;67,50;33,75;11,00
2020-11-29;41,00;0,00;35,53;82,00;16,40;11,00
2020-12-06;59,00;0,00;64,62;64,62;47,76;0,00
2020-12-13;40,00;34,29;51,43;97,14;22,86;20,00
2020-12-20;31,00;0,00;73,27;129,64;0,00;0,00
2020-12-27;70,00;14,00;67,20;198,80;61,60;0,00
2021-01-03;52,00;16,42;93,05;106,74;10,95;18,00
2021-01-10;99,00;22,00;57,75;107,25;0,00;0,00
2021-01-17;58,00;0,00;80,10;88,38;41,43;16,00
2021-01-24;67,00;0,00;86,54;72,58;16,75;17,00
2021-01-31;85,00;0,00;79,52;85,00;49,35;30,00
2021-02-07;37,00;0,00;79,69;182,15;17,08;13,00
2021-02-14;12,00;9,00;105,00;81,00;33,00;7,00
2021-02-21;45,00;0,00;87,19;84,38;87,19;0,00
2021-02-28;42,00;22,40;50,40;78,40;25,20;0,00
2021-03-07;48,00;22,59;73,41;67,76;76,24;13,00
2021-03-14;38,00;0,00;46,14;95,00;27,14;0,00
2021-03-21;30,00;0,00;43,64;98,18;51,82;19,00
2021-03-28;23,00;0,00;37,38;103,50;0,00;0,00
2021-04-04;25,00;0,00;63,89;86,11;0,00;0,00
2021-04-11;22,00;19,25;38,50;57,75;0,00;8,00
2021-04-18;55,00;11,00;68,75;96,25;22,00;24,00
2021-04-25;34,00;8,50;51,00;65,17;8,50;9,00
2021-05-02;0,00;6,00;25,00;47,00;3,00;0,00
2021-05-09;51,00;0,00;76,50;184,17;17,00;0,00
2021-05-16;47,00;0,00;71,88;107,82;24,88;19,00
2021-05-23;49,00;13,61;89,83;78,94;0,00;26,00
2021-05-30;58,00;0,00;104,95;80,10;11,05;18,00
2021-06-06;37,00;0,00;65,46;96,77;8,54;0,00
2021-06-13;59,00;11,24;42,14;98,33;0,00;30,00
2021-06-20;28,00;0,00;39,20;92,40;0,00;17,00
2021-06-27;20,00;0,00;62,86;134,29;0,00;11,00
2021-07-04;55,00;24,75;57,75;112,75;19,25;17,00
2021-07-11;49,00;0,00;92,56;141,56;19,06;0,00
2021-07-18;46,00;0,00;100,63;152,38;31,63;0,00
2021-07-25;56,00;19,60;53,20;184,80;36,40;24,00
2021-08-01;66,00;19,25;96,25;176,00;30,25;0,00
2021-08-08;53,00;0,00;145,05;181,32;16,74;10,00
2021-08-15;43,00;18,81;77,94;129,00;24,19;19,00
