Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
05/01/2020;10;145;2,5;1,25;12,5;19;8;8;36;26;5;13;4;8;9;2;2;2;1;1;2;4;1;6;1;0;0,5;0;0;1;1;1;0;1;1;0;0;0;0;0,5;1;0;0
12/01/2020;11;165;2,75;0;13,75;18;10;8;36;23;4;12;4;9;14;3;1;2;1;1;0;5;2;5;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0,5
19/01/2020;11;184,25;2,75;0;13,75;18;9;7;36;24;5;11;4;10;11;2;1;1;2;1;0,5;3;2;5;1;0,5;1;0;0;1;1;0;0;1;0;0;0;0,5;0;0;0;0;1
26/01/2020;12;134,4;2,4;1,2;9,6;18;6;7;32;23;5;16;4;7;11;2;1;1;1;1;1;4;2;5;1;0;0,5;1;0;1;1;0;0;0;0;0;0;0,5;0,5;0,5;1;0;0
02/02/2020;12;132;2,4;0;12;17;7;7;28;21;4;12;3;9;10;1;1;2;0;2;0;4;2;4;1;0;0;0;0;1;0;0,5;1;1;1;0;0,5;0;0;0,5;0;0;0
09/02/2020;10;130;2,5;0;12,5;14;6;5;28;18;4;11;3;8;12;1;1;1;1;1;1;4;1;5;2;1;1;0;0;0,5;0,5;1;0;1;0;1;0;0,5;0;0;0;0;0
16/02/2020;12;122,4;2,4;0;12;17;7;6;26;22;5;13;2;7;36;2;1;1;1;2;2;11;2;6;1;0;0,5;0,5;0;2;0;0,5;1;1;0;0;1;1;0;0;0;0;0
23/02/2020;10;107,5;2,5;0;10;13;6;5;26;18;4;11;3;8;8;1;1;1;0;1;1;3;1;4;1;0;1;0,5;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0
01/03/2020;11;99;2,2;0;8,8;13;6;6;20;15;3;11;3;7;7;2;0,5;2;1;1;0;4;2;3;2;0;1;0;0;0;1;1;0;0,5;1;0;0;0;0;0;0;0,5;0
08/03/2020;10;150;2,5;0;7,5;12;6;4;14;9;2;8;4;6;4;1;0,5;1;0,5;2;1;3;1;2;1;0;0,5;0;0;1;0;0,5;0;0,5;0;0,5;0,5;0,5;0;0,5;0;0;0
15/03/2020;5;82,5;2,5;0;5;6;3;2;6;5;2;4;2;2;3;1;0;1;1;0,5;0,5;2;0,5;2;0;1;0;0;0,5;0,5;0;0,5;1;0,5;0;0,5;0;0;0;0;1;0;1
22/03/2020;3;42;3;0;3;3;2;2;6;7;1;2;2;3;4;1;0,5;1;1;1;2;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0,5;0;0;0
29/03/2020;3;39;3;0;3;5;1;3;11;9;1;2;0,5;3;3;1;0,5;1;1;0;1;4;0;1;0,5;0;0,5;0;0;0;1;0;0;0,5;0;0;0;0;0;0;0,5;0;0
05/04/2020;3;42;3;1,5;3;7;2;2;18;10;1;3;0,5;2;4;1;1;1;1;0;1;3;1;2;0;0,5;0;1;1;0,5;0;0,5;0;0;0;0;0,5;0;0;0;1;0,5;1
12/04/2020;3;51;3;0;3;4;1;2;12;8;1;1;1;4;4;1;0;1;1;0,5;1;2;0;1;0;0;0,5;0;0,5;0;0;1;0;0,5;0;0;0;1;0;0;1;0;0
19/04/2020;4;28;1;0;2;6;1;3;8;9;1;2;0;2;3;0,5;1;1;0;1;0;4;1;0;0;0;0;0;0;0,5;0,5;1;0;0,5;0;0;0;0;0,5;1;0;0;0
26/04/2020;4;52;4;0;2;5;2;2;10;7;1;2;1;3;3;1;1;1;0;1;0,5;2;1;0;1;0;0;0;0,5;0;0,5;0;0;0;0;0;0;0;0;1;0;0;0
03/05/2020;4;60;2;0;4;5;2;2;9;9;2;2;1;2;4;1;0;1;1;1;0;2;0,5;1;0;0;1;0,5;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0,5;0
10/05/2020;4;36;1;0;2;6;3;3;9;10;1;3;0,5;3;4;2;0;1;0,5;1;0;4;1;2;0,5;0;0;0;0;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0
17/05/2020;5;57,5;2,5;0;2,5;11;2;4;15;14;2;3;1;5;8;1;1;1;0,5;1;1;3;1;2;1;0;1;1;0;1;1;0,5;0;0,5;0;1;0;0;0;0;0;0;0
24/05/2020;6;46;1;1;2;11;2;4;16;17;2;5;1;4;8;1;1;1;0,5;1;1;5;1;3;1;0;0;1;0,5;0;0,5;1;0;0,5;0;1;0;0;0;0;0;0;0
31/05/2020;8;69,33;2,67;0;2,67;11;3;5;17;17;2;5;1;5;10;2;1;1;1;1;0;5;1;5;1;0;0;0;0;0;0;0,5;0;0;0;0;0,5;0;0;0;0;0;0
07/06/2020;10;82,5;2,5;1,25;2,5;13;3;5;24;21;2;5;2;6;10;2;2;2;1;1;1;5;1;4;1;0;0,5;0,5;0;0,5;1;1;0,5;0;0;0;0,5;0;0;0;0;0;0
14/06/2020;9;90;2,25;0;2,25;14;3;4;23;19;1;5;1;6;8;3;1;2;1;1;2;2;1;4;1;0,5;0;0;0,5;0;0,5;1;0;0,5;0,5;0;0,5;0;0;0;0;0;0
21/06/2020;12;86,4;2,4;0;2,4;15;3;6;24;19;2;8;1;7;12;4;2;3;1;1;1;6;2;8;1;0;0;0;0;0,5;0;2;0;1;0,5;0;0,5;0;0;0;0;0;0
28/06/2020;13;119,6;2,6;0;2,6;16;3;7;29;23;2;8;2;7;15;3;3;4;2;1;1;5;3;6;2;1;0;0;0;1;0,5;3;0;0,5;0;1;0,5;0;0;0;0;0;0
05/07/2020;17;140,86;2,43;1,21;2,43;26;5;11;38;36;2;12;2;7;21;3;3;3;0;1;2;6;3;5;3;0,5;1;1;0,5;1;1;3;0,5;1;1;0;1;0;0;0;0;0;0
12/07/2020;23;176,33;5,11;0;2,56;25;3;10;41;39;4;6;1;9;23;5;3;4;2;1;2;6;3;7;2;1;0;1;1;1;1;3;0,5;0;0,5;0,5;0,5;0,5;0;1;0;0,5;1
