Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
05/01/2020;10;96;98;76;68;56;1;30;44;90;27,5;70;35;48,75;65;27,5;25;33;4;7;18;13;3;4;2;3;2;1;0,5;2;0;0,5
12/01/2020;11;82,5;99;71,5;67,83;53,17;0,92;33;44;77;26,4;59,4;35,44;62,33;59,89;26,89;26;35;3;5;16;12;2;3;2;2;1;1;1;2;0,5;2
19/01/2020;11;75,17;89,83;73,33;73,33;49,5;1,83;31,17;40,33;72,6;24,2;63,8;31,78;46,44;59,89;19,56;26;31;3;7;19;13;4;5;1;1;2;1;2;3;0;0
26/01/2020;12;66,86;78,86;60;60;52;1;32;44;86,4;28,8;64,8;34,67;45,33;62,67;24;23;32;4;5;15;9;3;6;2;2;1;1;1;1;0;1
02/02/2020;12;68,57;82,29;61,71;63,43;54;1;50;44;93,6;28,8;86,4;36;50,67;53,33;26,67;26;34;3;5;15;9;3;4;1;1;1;2;1;3;0,5;0
09/02/2020;10;86;106;78;72;52;2;36;46;90;30;65;37,5;47,5;57,5;26,25;23;33;3;7;16;12;3;6;3;2;1;1;0,5;2;0,5;1
16/02/2020;12;80,57;85,71;63,43;63,43;52;2;36;44;93,6;28,8;72;36;56;69,33;32;23;34;4;6;15;12;3;6;2;2;3;1;0;2;0;1
23/02/2020;10;76;80;68;70;50;2;34;38;87,5;35;72,5;32,5;62,5;55;26,25;23;29;3;4;13;10;2;6;1;1;3;2;0,5;2;0;0
01/03/2020;11;67,83;66;55;58,67;40,33;0,92;33;38,5;70,4;19,8;59,4;28,11;45,22;42,78;24,44;23;27;4;5;12;10;3;6;2;2;1;1;0,5;2;0;0
08/03/2020;10;55;58,33;45;55;44;1;60;34;87,5;25;80;25;47,5;56,25;21,25;19;25;2;4;10;8;2;3;2;2;2;1;2;2;1;0
15/03/2020;5;33,33;40;23,33;25;20;0,83;30;15;20;12,5;32,5;12,5;125;16,25;8,75;10;16;1;3;5;4;1;2;2;2;1;1;0;1;0;0
