Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-01-05;24,00;31,00;7,00;78,00;10,00;61,50
2020-01-12;21,00;30,00;4,00;77,00;15,00;66,00
2020-01-19;26,00;32,00;2,00;54,00;10,00;56,59
2020-01-26;15,00;34,00;3,00;57,00;5,00;45,00
2020-02-02;14,00;25,00;3,00;57,00;6,00;45,11
2020-02-09;10,00;23,00;0,00;57,00;4,00;50,00
2020-02-16;14,00;26,00;3,00;58,00;10,00;43,56
2020-02-23;11,00;43,00;5,00;47,00;6,00;42,43
2020-03-01;11,00;27,00;2,00;42,00;2,00;39,29
2020-03-08;11,00;23,00;0,00;66,00;10,00;61,29
2020-03-15;13,00;29,00;4,00;41,00;3,00;89,56
2020-03-22;8,00;10,00;0,00;12,00;3,00;35,20
2020-03-29;8,00;15,00;11,00;15,00;0,00;22,40
2020-04-05;0,00;11,00;5,00;16,00;5,00;19,00
2020-04-12;5,00;3,00;0,00;20,00;6,00;23,33
2020-04-19;5,00;10,00;3,00;12,00;3,00;13,33
2020-04-26;2,00;12,00;6,00;16,00;0,00;11,00
2020-05-03;7,00;7,00;2,00;12,00;5,00;16,80
2020-05-10;7,00;7,00;2,00;17,00;5,00;19,25
2020-05-17;5,00;12,00;2,00;20,00;2,00;16,67
2020-05-24;4,00;13,00;0,00;16,00;0,00;13,33
2020-05-31;6,00;13,00;2,00;18,00;0,00;27,00
2020-06-07;2,00;13,00;4,00;19,00;2,00;26,00
2020-06-14;6,00;9,00;2,00;26,00;0,00;15,00
2020-06-21;8,00;7,00;0,00;13,00;3,00;32,00
2020-06-28;4,00;14,00;5,00;19,00;2,00;18,00
2020-07-05;4,00;13,00;2,00;17,00;0,00;10,67
2020-07-12;2,00;9,00;3,00;8,00;0,00;26,00
2020-07-19;4,00;8,00;2,00;16,00;0,00;16,00
2020-07-26;6,00;7,00;5,00;23,00;3,00;24,00
2020-08-02;4,00;6,00;2,00;27,00;0,00;16,00
2020-08-09;5,00;5,00;2,00;21,00;0,00;16,67
2020-08-16;6,00;15,00;2,00;18,00;0,00;18,00
2020-08-23;2,00;16,00;0,00;23,00;2,00;6,00
2020-08-30;5,00;18,00;0,00;17,00;2,00;13,75
2020-09-06;6,00;16,00;5,00;11,00;6,00;16,50
2020-09-13;7,00;14,00;2,00;13,00;6,00;26,60
2020-09-20;0,00;15,00;2,00;12,00;4,00;13,00
2020-09-27;4,00;13,00;3,00;19,00;2,00;17,33
2020-10-04;5,00;10,00;3,00;12,00;0,00;26,67
2020-10-11;4,00;9,00;3,00;20,00;4,00;24,00
2020-10-18;2,00;12,00;4,00;13,00;0,00;12,00
2020-10-25;4,00;8,00;0,00;11,00;0,00;16,00
2020-11-01;4,00;9,00;0,00;15,00;0,00;12,00
2020-11-08;0,00;5,00;3,00;13,00;4,00;12,00
2020-11-15;5,00;6,00;3,00;16,00;4,00;20,00
2020-11-22;9,00;9,00;0,00;17,00;3,00;12,00
2020-11-29;10,00;4,00;0,00;16,00;5,00;21,67
2020-12-06;6,00;11,00;0,00;15,00;2,00;7,50
2020-12-13;5,00;17,00;12,00;17,00;3,00;20,00
2020-12-20;8,00;23,00;7,00;21,00;9,00;27,20
2020-12-27;19,00;17,00;0,00;29,00;4,00;34,83
2021-01-03;11,00;9,00;2,00;33,00;8,00;25,14
2021-01-10;8,00;17,00;0,00;20,00;3,00;20,80
2021-01-17;6,00;12,00;0,00;28,00;3,00;24,00
2021-01-24;7,00;13,00;3,00;32,00;3,00;54,60
2021-01-31;7,00;18,00;4,00;27,00;5,00;12,60
2021-02-07;4,00;21,00;0,00;25,00;2,00;12,00
2021-02-14;7,00;16,00;2,00;19,00;3,00;22,75
2021-02-21;8,00;12,00;2,00;26,00;2,00;16,00
2021-02-28;6,00;10,00;2,00;28,00;0,00;12,00
2021-03-07;9,00;9,00;2,00;28,00;4,00;21,00
2021-03-14;5,00;10,00;3,00;20,00;2,00;18,33
2021-03-21;4,00;7,00;3,00;27,00;6,00;12,00
2021-03-28;0,00;6,00;5,00;26,00;7,00;6,00
2021-04-04;6,00;11,00;6,00;31,00;2,00;28,50
2021-04-11;5,00;13,00;0,00;23,00;2,00;26,67
