Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2020-01-05;71,00;0,00;291,10;291,10;0,00;35,00
2020-01-12;72,00;0,00;244,80;273,60;0,00;36,00
2020-01-19;96,00;7,38;265,85;280,62;0,00;35,00
2020-01-26;55,00;20,63;268,13;226,88;0,00;30,00
2020-02-02;52,00;14,86;260,00;237,71;0,00;28,00
2020-02-09;57,00;3,56;199,50;249,38;3,56;29,00
2020-02-16;66,00;0,00;220,00;374,00;0,00;22,00
2020-02-23;52,00;7,43;178,29;260,00;0,00;21,00
2020-03-01;51,00;14,57;160,29;247,71;0,00;26,00
2020-03-08;57,00;3,56;142,50;199,50;0,00;14,00
2020-03-15;26,00;13,00;78,00;123,50;3,25;12,00
2020-03-22;30,00;7,50;52,50;105,00;0,00;18,00
2020-03-29;27,00;0,00;40,50;81,00;0,00;15,00
2020-04-05;31,00;7,75;46,50;85,25;0,00;12,00
2020-04-12;42,00;7,00;42,00;84,00;0,00;11,00
2020-04-19;23,00;7,67;46,00;69,00;0,00;24,00
2020-04-26;14,00;7,00;35,00;77,00;0,00;10,00
2020-05-03;36,00;14,40;36,00;93,60;3,60;20,00
2020-05-10;45,00;7,50;60,00;82,50;0,00;12,00
2020-05-17;31,00;7,75;69,75;116,25;7,75;15,00
2020-05-24;31,00;7,75;77,50;85,25;7,75;16,00
2020-05-31;44,00;7,33;58,67;95,33;0,00;15,00
2020-06-07;34,00;6,80;54,40;74,80;0,00;12,00
2020-06-14;40,00;6,67;46,67;66,67;3,33;9,00
2020-06-21;33,00;8,25;49,50;99,00;0,00;5,00
2020-06-28;34,00;6,80;54,40;81,60;0,00;6,00
2020-07-05;41,00;6,83;54,67;68,33;0,00;19,00
2020-07-12;40,00;0,00;53,33;53,33;0,00;20,00
2020-07-19;27,00;6,75;47,25;81,00;0,00;13,00
2020-07-26;34,00;6,80;47,60;74,80;0,00;9,00
2020-08-02;31,00;7,75;62,00;85,25;0,00;8,00
2020-08-09;45,00;3,75;97,50;97,50;0,00;11,00
2020-08-16;44,00;0,00;58,67;73,33;0,00;9,00
2020-08-23;48,00;0,00;41,14;68,57;0,00;10,00
2020-08-30;45,00;0,00;37,50;67,50;0,00;11,00
2020-09-06;61,00;7,63;30,50;83,88;3,81;10,00
