Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
05/01/2020;46;24;29;23;1;27;22;0;13;16;15;1;3;1;27;3;1;14;8;2;17;1;13;0;0;15;12;6;11;7;11;1;14;1;0;8;0;2;0,5;18;9;2;6;6
12/01/2020;45;27;36;23;1;24;22;1;15;16;12;0;4;1;29;3;0;17;7;2;17;1;12;0;0;15;14;7;12;8;13;0;13;0,5;0;9;0;1;0,5;22;13;1;8;8
19/01/2020;52;22;38;27;1;28;25;0;16;15;13;0,5;4;0;32;3;0;16;6;2;18;2;13;0;0;18;14;7;13;7;10;0;10;0;0;9;0,5;0,5;1;49;19;2;12;12
26/01/2020;55;26;42;31;1;34;30;1;18;18;13;0;3;0,5;28;3;0;18;9;1;18;2;12;0;0;18;12;9;11;7;12;0,5;15;0;1;9;0;2;1;27;16;2;10;8
02/02/2020;56;26;38;32;1;32;29;0;22;19;13;1;3;0,5;28;4;0,5;16;14;2;20;2;14;1;0;19;12;8;13;14;15;1;14;0;0;10;0;1;2;29;14;2;10;8
09/02/2020;69;27;40;31;1;31;32;2;21;20;15;1;3;0;27;6;0,5;17;10;1;24;3;16;1;0;19;16;7;13;12;14;0,5;14;0;0,5;9;0;2;1;31;18;1;10;10
16/02/2020;57;28;41;34;2;31;30;0;20;21;15;0;3;1;35;3;0;19;12;3;23;3;16;0;1;21;15;6;16;9;14;0;15;0;0,5;7;0;1;2;28;16;3;9;13
23/02/2020;58;29;39;32;1;31;29;0,5;23;18;13;0,5;4;0,5;31;4;1;17;12;1;20;2;13;0;0;20;16;7;16;13;13;0;17;0,5;0;9;0;3;1;28;22;2;13;12
01/03/2020;48;27;40;28;0,5;28;25;0;20;16;11;1;3;0;26;3;0,5;14;10;1;17;2;11;0;0,5;18;11;7;14;10;11;0;14;0;0,5;7;0;1;1;21;15;3;12;11
08/03/2020;43;27;35;26;1;30;33;1;21;19;13;1;3;0;23;3;1;14;8;1;17;1;11;1;1;16;14;7;12;10;9;0;11;0;0;5;0;2;1;14;9;2;5;6
15/03/2020;16;8;11;8;1;12;9;1;7;5;4;0;0,5;0;6;1;0;5;2;0,5;3;1;5;0;0;3;3;1;5;5;3;0;4;0;0;2;0;0;0;3;1;0;1;1
