Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-01-05;0,00;0,00;0,00;31,00;0,00;82,00;20,00;11,00;16,00;19,00;17,00;7,00;0,00;11,00;0,00;36,00;8,00;0,00;44,00;23,00;0,00
2020-01-12;18,00;0,00;17,00;0,00;17,00;34,62;0,00;0,00;30,46;0,00;84,86;95,14;0,00;0,00;0,00;82,29;20,57;0,00;44,18;0,00;0,00
2020-01-19;30,00;22,00;0,00;0,00;0,00;32,61;44,35;0,00;0,00;0,00;95,45;54,55;0,00;0,00;0,00;69,23;0,00;0,00;51,00;0,00;0,00
2020-01-26;30,00;0,00;23,00;20,00;0,00;57,39;32,61;0,00;24,78;0,00;90,00;46,36;0,00;0,00;0,00;87,69;0,00;19,50;24,00;27,00;0,00
2020-02-02;30,00;0,00;14,00;59,00;0,00;48,26;40,43;0,00;0,00;24,55;62,73;46,36;0,00;0,00;0,00;60,00;0,00;18,00;18,00;0,00;0,00
2020-02-09;0,00;29,00;0,00;63,00;0,00;11,00;14,00;0,00;0,00;0,00;31,00;23,00;0,00;0,00;5,00;14,00;0,00;0,00;38,00;0,00;0,00
2020-02-16;76,00;31,00;0,00;30,00;0,00;48,48;31,45;30,14;20,97;13,57;105,86;92,29;0,00;61,75;0,00;42,75;14,25;0,00;66,88;0,00;12,16
2020-02-23;25,00;0,00;17,00;0,00;0,00;47,37;28,95;22,37;0,00;0,00;66,67;47,22;0,00;0,00;0,00;13,64;11,36;0,00;32,35;0,00;0,00
2020-03-01;46,00;0,00;37,00;0,00;0,00;27,60;0,00;0,00;0,00;0,00;0,00;48,71;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;32,20
2020-03-08;52,00;26,00;26,00;0,00;37,00;27,30;19,50;0,00;0,00;0,00;31,20;31,20;0,00;14,18;16,55;11,82;0,00;45,88;12,24;0,00;0,00
2020-03-15;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00
2020-03-22;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;13,00;0,00;0,00;0,00;28,00;0,00;0,00;8,00;0,00;0,00
2020-03-29;0,00;15,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;18,00;16,00;0,00
2020-04-05;0,00;18,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;11,00;11,00;0,00;10,00;0,00;0,00;12,00;0,00;0,00;0,00;12,00;0,00
2020-04-12;12,00;26,00;0,00;21,00;0,00;17,33;0,00;0,00;0,00;0,00;15,00;0,00;27,00;0,00;0,00;33,60;12,00;0,00;0,00;0,00;12,00
2020-04-19;0,00;24,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;5,00;7,00;4,00;14,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;0,00;39,00;0,00;0,00;0,00;17,00;0,00;16,00;0,00;0,00;7,00;6,00;0,00;0,00;0,00;0,00;7,00;9,00;0,00;0,00;8,00
2020-05-03;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;13,00;0,00;0,00;6,00;7,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;0,00;23,00;39,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;7,00;0,00;17,00;18,00;17,00;0,00;0,00;0,00
2020-05-17;0,00;0,00;0,00;0,00;0,00;13,00;13,00;18,00;9,00;5,00;13,00;9,00;0,00;6,00;6,00;13,00;0,00;0,00;21,00;0,00;49,00
2020-05-24;36,00;28,00;0,00;0,00;26,00;38,57;0,00;0,00;38,57;0,00;23,14;33,43;23,14;18,00;0,00;38,25;0,00;15,00;0,00;0,00;21,00
