Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
05/01/2020;30;14;8;7;15;10;6;5;4;0;8;0;0;6;0;0;0;0;0;0;0
12/01/2020;38;24;16;10;4;11;12;5;4;6;10;6;0;0;0;0;6;0;0;0;11
19/01/2020;62;20;12;10;9;16;15;6;0;4;0;7;5;0;0;5;0;8;0;0;0
26/01/2020;34;13;14;17;4;11;6;6;0;6;0;0;5;0;0;0;0;0;6;0;0
02/02/2020;58;13;18;7;0;10;0;6;4;0;6;0;0;0;0;0;3;0;0;0;0
09/02/2020;42;9;10;20;0;13;5;3;0;0;0;9;0;0;0;0;0;0;0;0;0
16/02/2020;53;10;4;22;8;11;5;0;9;10;0;13;0;0;0;3;0;0;0;0;0
23/02/2020;43;12;10;6;11;20;8;14;8;0;0;6;4;4;0;17;0;3;9;0;0
01/03/2020;36;16;19;9;7;11;10;3;0;6;0;4;0;10;0;0;0;0;0;0;0
08/03/2020;100;6;0;0;11;3;14;7;5;3;0;0;0;0;0;0;0;0;0;0;0
15/03/2020;27;3;0;0;12;3;8;11;0;0;3;0;0;0;0;0;0;6;4;0;0
22/03/2020;10;4;8;5;0;0;4;4;4;3;0;0;0;0;3;0;0;6;0;0;0
29/03/2020;5;12;3;8;6;0;6;0;0;0;7;5;0;0;0;0;0;0;0;0;0
05/04/2020;5;6;6;0;11;9;0;7;0;5;0;0;0;0;0;4;0;0;0;0;0
12/04/2020;5;0;8;13;0;3;4;5;0;0;0;4;0;0;0;0;0;0;0;0;3
19/04/2020;6;4;4;3;7;5;5;0;0;4;0;4;0;0;0;0;0;0;7;0;0
26/04/2020;13;4;0;5;5;8;4;5;13;0;0;0;0;0;3;0;8;0;0;0;0
03/05/2020;0;8;6;3;5;7;0;11;0;0;0;0;0;0;0;0;0;0;0;0;9
10/05/2020;10;6;8;16;11;7;0;4;4;0;10;3;0;5;4;3;0;0;0;0;4
17/05/2020;18;5;5;6;9;5;9;3;0;0;0;0;0;0;0;0;3;0;0;0;0
24/05/2020;22;7;15;7;12;11;15;0;9;0;7;6;8;0;0;0;5;3;0;0;6
31/05/2020;21;11;31;10;19;18;8;9;0;13;6;0;6;0;4;0;0;0;0;0;4
07/06/2020;40;23;18;17;7;24;4;8;4;10;9;4;7;0;9;0;14;0;0;0;4
14/06/2020;60;25;39;11;13;22;11;7;11;0;10;6;6;0;0;0;3;0;0;0;0
21/06/2020;55;33;37;28;11;25;14;12;11;17;7;12;0;0;0;0;8;4;4;0;0
28/06/2020;63;27;48;33;34;32;9;17;10;18;7;6;5;0;6;3;0;0;4;0;7
05/07/2020;66;17;57;32;38;40;18;15;14;22;11;20;9;0;9;6;0;0;3;6;0
12/07/2020;61;40;59;48;33;46;12;15;15;9;7;14;7;10;0;0;0;5;0;0;9
19/07/2020;61;29;50;24;15;39;20;8;9;15;0;12;8;4;0;4;15;3;0;0;0
26/07/2020;37;28;23;33;33;30;16;15;0;14;0;7;10;0;0;5;0;7;0;8;5
02/08/2020;50;32;40;26;26;40;15;24;6;5;9;0;7;5;3;0;10;3;0;3;7
09/08/2020;51;26;39;18;11;19;11;4;0;3;0;9;8;0;12;3;0;4;3;0;0
16/08/2020;37;25;36;33;61;16;8;31;5;0;0;8;4;9;4;4;3;5;0;0;0
23/08/2020;56;32;35;20;77;27;7;3;6;6;7;8;5;0;0;7;0;0;0;0;0
30/08/2020;23;39;43;20;15;7;5;6;7;7;8;11;4;0;0;0;0;0;5;0;8
06/09/2020;28;24;96;16;14;11;4;5;6;0;0;6;6;4;0;0;7;0;0;0;6
13/09/2020;5;13;33;9;7;6;0;9;4;5;0;6;0;0;3;6;0;0;4;0;0
20/09/2020;7;7;21;5;18;6;8;0;7;0;4;0;0;0;0;0;0;0;0;0;0
27/09/2020;12;0;11;0;0;7;4;3;4;0;0;3;0;0;0;0;0;0;0;0;4
04/10/2020;23;7;4;6;3;7;0;0;6;4;0;0;10;15;0;0;11;7;0;0;5
11/10/2020;15;7;5;5;7;4;0;0;12;0;0;0;0;0;0;0;0;0;0;4;0
18/10/2020;12;0;4;14;0;3;8;0;0;0;3;0;0;4;0;8;0;7;0;5;0
25/10/2020;35;0;0;0;9;4;0;0;0;0;0;7;3;0;0;4;4;0;0;5;7
01/11/2020;11;3;13;4;0;0;0;6;8;0;0;0;0;4;4;0;5;0;0;0;0
08/11/2020;10;10;0;5;6;10;10;5;0;0;0;0;3;0;0;0;0;0;0;0;0
15/11/2020;5;0;4;7;15;6;4;5;3;0;0;0;3;0;3;7;0;0;0;0;0
22/11/2020;7;0;7;0;0;0;0;0;0;3;5;4;0;11;0;0;0;8;0;0;0
29/11/2020;9;6;8;0;7;6;0;0;4;8;0;0;6;0;0;0;0;0;4;5;0
06/12/2020;7;5;4;8;0;8;5;0;0;0;0;0;10;0;0;0;0;0;0;0;6
13/12/2020;13;13;0;0;0;7;0;16;0;0;6;3;0;0;0;0;0;4;0;0;3
20/12/2020;6;4;7;0;5;4;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
27/12/2020;12;9;3;6;0;9;3;3;0;0;0;0;0;0;3;0;0;0;0;4;0
03/01/2021;20;9;7;3;10;3;9;8;0;0;0;0;7;0;0;6;4;7;0;6;0
10/01/2021;5;12;8;8;0;11;0;0;0;0;0;8;0;4;3;0;3;0;0;0;0
17/01/2021;13;0;9;0;3;8;0;3;0;0;0;0;4;0;0;3;0;0;4;0;0
24/01/2021;11;4;0;5;7;6;10;0;0;3;0;0;3;0;3;0;0;0;0;0;0
31/01/2021;17;5;10;0;4;9;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
07/02/2021;8;11;7;13;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0
14/02/2021;22;4;0;8;0;7;0;13;0;0;0;0;6;0;4;6;7;0;4;0;3
21/02/2021;6;8;0;6;0;0;0;4;0;3;4;6;0;5;0;4;0;4;0;0;6
28/02/2021;18;4;7;7;14;0;0;4;0;5;0;0;3;0;4;5;0;0;0;0;0
07/03/2021;35;12;9;5;10;4;7;8;0;0;0;0;0;0;6;0;0;0;0;0;0
14/03/2021;24;0;0;4;4;4;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0
21/03/2021;6;4;4;8;8;0;10;6;0;3;0;6;5;0;0;5;0;4;7;0;0
28/03/2021;11;5;4;4;0;0;4;6;0;0;0;0;0;0;5;4;0;0;0;4;0
04/04/2021;5;11;23;0;0;0;0;7;8;0;0;4;0;0;0;0;0;0;3;0;0
11/04/2021;11;13;7;10;0;0;0;0;0;0;9;18;0;0;0;3;0;0;0;0;4
18/04/2021;17;13;10;0;8;0;7;10;0;4;3;0;0;0;0;0;0;11;0;6;0
25/04/2021;20;0;7;9;13;3;0;0;0;0;0;7;3;0;0;0;0;0;0;0;4
02/05/2021;19;14;3;10;10;8;5;17;8;7;0;3;0;9;3;4;0;0;0;0;0
09/05/2021;29;15;8;11;10;17;8;9;5;4;0;0;14;8;10;0;0;0;0;0;0
16/05/2021;35;13;18;10;5;19;12;8;10;0;7;3;0;9;0;0;4;15;7;5;0
23/05/2021;28;20;16;15;33;18;12;4;16;12;18;7;5;6;3;0;0;4;5;0;4
30/05/2021;28;23;27;12;17;0;9;14;8;12;6;5;0;0;0;8;4;6;3;0;0
06/06/2021;42;10;11;0;0;12;0;7;6;10;0;3;3;0;0;0;5;0;0;0;0
13/06/2021;44;25;46;12;23;20;5;0;15;0;8;7;0;0;0;0;7;0;0;0;6
20/06/2021;60;43;26;24;21;25;17;9;5;10;6;0;0;6;0;4;0;4;0;0;0
27/06/2021;54;24;29;18;20;37;9;16;13;12;9;10;0;0;0;4;0;11;0;0;0
04/07/2021;71;49;41;40;30;48;4;14;4;13;6;18;9;7;6;10;0;0;0;0;0
11/07/2021;70;25;48;30;46;39;4;14;12;20;10;8;8;7;0;4;11;11;0;0;0
18/07/2021;57;37;40;26;24;43;23;15;4;32;14;15;6;10;7;13;0;0;0;0;0
25/07/2021;74;36;44;29;39;28;14;16;4;22;0;4;7;9;0;0;0;0;0;4;11
01/08/2021;71;22;21;28;22;25;16;22;16;17;0;14;0;12;0;0;3;12;0;0;5
08/08/2021;46;27;58;21;27;20;10;15;0;17;4;7;20;0;0;5;0;0;0;7;0
15/08/2021;52;18;40;19;23;27;17;15;9;14;5;0;0;0;4;0;0;8;0;0;4
22/08/2021;60;19;30;0;29;25;10;9;6;11;0;13;10;6;0;0;5;0;0;0;0
29/08/2021;58;7;27;11;29;17;9;7;0;6;4;6;8;0;0;0;0;5;0;0;0
05/09/2021;53;23;24;11;16;14;5;7;0;0;0;16;7;0;0;0;0;7;0;0;0
12/09/2021;33;9;30;10;16;9;14;9;4;14;7;11;4;0;0;0;0;0;0;0;0
19/09/2021;37;12;15;0;0;13;0;8;4;0;0;0;7;0;0;0;0;0;0;0;0
26/09/2021;28;20;11;11;8;7;4;4;5;0;0;0;4;0;9;0;0;0;0;0;10
03/10/2021;49;6;0;0;0;6;4;12;5;0;6;6;0;4;0;6;4;0;0;0;4
10/10/2021;24;15;6;11;15;4;6;8;5;0;0;0;0;0;0;0;0;0;0;0;0
17/10/2021;21;6;14;10;6;0;6;4;0;0;0;5;0;7;0;0;0;0;0;0;0
24/10/2021;15;9;12;8;0;11;0;0;5;0;6;0;4;0;0;0;0;4;5;0;4
31/10/2021;19;5;9;10;11;13;0;0;7;0;0;0;4;0;0;0;0;0;0;0;0
07/11/2021;30;9;0;0;0;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0
14/11/2021;18;8;6;9;0;0;0;4;0;0;0;6;0;0;0;3;0;0;0;5;10
21/11/2021;10;10;4;0;5;5;7;0;3;0;0;0;0;0;0;9;0;4;0;0;0
28/11/2021;24;0;12;0;0;4;4;0;0;0;7;0;0;0;0;0;0;7;0;0;0
05/12/2021;8;0;13;6;0;3;0;12;0;0;7;8;7;0;0;0;0;0;0;0;0
12/12/2021;21;8;0;9;11;0;0;0;4;0;0;0;0;0;0;0;0;0;0;5;0
19/12/2021;16;10;0;25;0;0;0;0;10;7;0;0;0;0;0;0;0;0;0;0;0
26/12/2021;49;12;13;17;6;25;6;0;0;7;6;0;4;0;0;0;5;0;0;0;0
02/01/2022;38;6;17;0;6;16;0;9;10;0;0;0;0;0;0;0;0;0;0;0;0
09/01/2022;30;14;17;0;24;8;0;8;0;12;0;15;0;4;0;0;0;0;0;4;0
16/01/2022;33;16;6;16;9;10;4;6;0;4;0;4;5;0;0;0;0;6;0;0;0
23/01/2022;36;7;11;6;11;13;7;8;0;4;9;9;0;0;0;0;6;0;0;0;0
