Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-05;55,00;68,75;59,58;64,17;64,17;68,10;30,12;49,76;85,12;43,00;27,00;26,00;41,00;0,00;25,00;15,00;29,00;0,00;22,00;0,00;24,00;0,00;0,00;10,00;0,00;0,00;0,00;12,00
2020-01-12;83,00;20,75;69,17;59,94;83,00;55,33;59,29;76,41;25,03;0,00;22,00;23,00;31,00;11,00;12,00;24,00;31,00;10,00;23,00;15,00;9,00;0,00;0,00;18,00;0,00;19,00;17,00;0,00
2020-01-19;45,00;76,50;69,75;54,00;67,50;74,12;33,09;96,62;43,68;52,00;29,00;26,00;32,00;0,00;0,00;48,00;32,00;11,00;0,00;16,00;9,00;14,00;14,00;0,00;10,00;0,00;0,00;0,00
2020-01-26;49,00;95,77;133,64;82,41;62,36;112,18;61,89;82,53;67,05;25,00;42,00;0,00;45,00;40,00;15,00;21,00;22,00;18,00;15,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;65,00;99,82;102,14;83,57;34,82;62,40;45,50;36,40;50,70;68,00;21,00;0,00;20,00;0,00;32,00;13,00;18,00;0,00;0,00;13,00;0,00;11,00;0,00;15,00;0,00;0,00;0,00;0,00
2020-02-09;49,00;51,33;51,33;35,00;67,67;45,03;23,84;0,00;45,03;34,00;12,00;23,00;23,00;13,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;23,00;0,00;16,00;0,00
2020-02-16;40,00;77,65;82,35;61,18;103,53;66,67;54,67;56,00;21,33;59,00;11,00;33,00;10,00;19,00;25,00;28,00;34,00;21,00;37,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;79,00;76,68;69,71;69,71;65,06;80,30;80,30;44,03;73,82;60,00;23,00;0,00;23,00;13,00;46,00;43,00;32,00;32,00;0,00;13,00;35,00;20,00;17,00;17,00;0,00;0,00;0,00;0,00
2020-03-01;42,00;72,33;114,33;95,67;107,33;95,81;66,94;44,63;63,00;15,00;0,00;19,00;37,00;0,00;24,00;26,00;18,00;14,00;27,00;18,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00
2020-03-08;41,00;154,89;120,72;107,06;75,17;132,26;54,23;38,35;83,32;20,00;17,00;13,00;0,00;34,00;0,00;15,00;0,00;0,00;42,00;16,00;14,00;11,00;9,00;0,00;0,00;0,00;27,00;0,00
