Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;31,00;124,00;105,92;90,42;20,67;15,00;16,00;12,00;12,00
2020-01-12;23,00;158,13;115,00;80,50;0,00;0,00;10,00;0,00;0,00
2020-01-19;23,00;132,25;69,00;132,25;0,00;11,00;11,00;19,00;0,00
2020-01-26;18,00;133,71;87,43;77,14;0,00;0,00;0,00;22,00;0,00
2020-02-02;57,00;146,57;57,00;78,71;0,00;0,00;0,00;23,00;0,00
2020-02-09;0,00;62,00;35,00;38,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;44,00;121,65;80,24;137,18;0,00;15,00;0,00;0,00;18,00
2020-02-23;20,00;111,43;37,14;125,71;0,00;0,00;20,00;0,00;0,00
2020-03-01;77,00;132,76;84,97;63,72;0,00;0,00;0,00;10,00;35,00
2020-03-08;12,00;153,00;51,00;153,00;0,00;0,00;10,00;21,00;0,00
2020-03-15;12,00;69,00;24,00;126,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;17,00;70,83;22,67;82,17;0,00;0,00;18,00;0,00;0,00
2020-03-29;25,00;30,56;61,11;75,00;8,33;16,00;18,00;21,00;0,00
2020-04-05;44,00;68,75;24,75;90,75;0,00;0,00;27,00;10,00;0,00
2020-04-12;30,00;51,82;49,09;120,00;0,00;0,00;8,00;0,00;23,00
2020-04-19;23,00;43,44;20,44;94,56;7,67;0,00;20,00;0,00;0,00
2020-04-26;18,00;33,43;10,29;61,71;0,00;0,00;17,00;0,00;0,00
2020-05-03;0,00;14,00;0,00;23,00;0,00;0,00;38,00;0,00;15,00
2020-05-10;40,00;21,33;26,67;90,67;16,00;46,00;14,00;0,00;0,00
2020-05-17;18,00;15,43;23,14;48,86;12,86;16,00;0,00;0,00;0,00
2020-05-24;27,00;54,00;16,20;70,20;0,00;0,00;26,00;17,00;0,00
2020-05-31;20,00;68,57;37,14;74,29;0,00;0,00;23,00;0,00;12,00
2020-06-07;62,00;37,74;32,35;40,43;0,00;0,00;14,00;0,00;0,00
2020-06-14;20,00;94,29;40,00;68,57;0,00;10,00;36,00;9,00;16,00
2020-06-21;18,00;33,43;30,86;79,71;0,00;0,00;16,00;12,00;0,00
2020-06-28;47,00;47,00;27,65;66,35;0,00;0,00;8,00;0,00;17,00
2020-07-05;12,00;79,20;74,40;67,20;0,00;0,00;20,00;12,00;11,00
2020-07-12;18,00;108,00;43,71;59,14;0,00;15,00;0,00;0,00;0,00
2020-07-19;32,00;64,00;32,00;82,67;0,00;0,00;17,00;0,00;12,00
2020-07-26;25,00;94,44;0,00;77,78;0,00;0,00;27,00;25,00;0,00
2020-08-02;10,00;125,00;35,00;80,00;7,50;0,00;0,00;0,00;0,00
2020-08-09;43,00;56,44;59,13;59,13;0,00;34,00;24,00;0,00;0,00
2020-08-16;0,00;43,00;8,00;43,00;0,00;0,00;16,00;0,00;0,00
2020-08-23;16,00;77,33;48,00;106,67;37,33;17,00;14,00;0,00;0,00
2020-08-30;16,00;32,00;32,00;98,67;0,00;0,00;0,00;0,00;0,00
2020-09-06;14,00;78,40;47,60;75,60;0,00;0,00;15,00;13,00;0,00
2020-09-13;0,00;25,00;7,00;23,00;5,00;0,00;14,00;0,00;0,00
2020-09-20;14,00;44,80;70,00;70,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;17,00;31,17;11,33;79,33;19,83;0,00;0,00;0,00;16,00
2020-10-04;32,00;29,33;21,33;96,00;0,00;0,00;0,00;8,00;12,00
2020-10-11;23,00;25,56;15,33;140,56;0,00;0,00;14,00;0,00;0,00
2020-10-18;24,00;21,33;45,33;106,67;0,00;0,00;18,00;0,00;22,00
2020-10-25;13,00;10,40;0,00;156,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;24,00;53,33;18,67;64,00;0,00;0,00;0,00;16,00;30,00
2020-11-08;16,00;58,67;42,67;66,67;0,00;0,00;12,00;0,00;27,00
2020-11-15;14,00;61,60;0,00;95,20;11,20;0,00;9,00;11,00;0,00
2020-11-22;21,00;52,50;31,50;107,63;0,00;18,00;19,00;0,00;0,00
2020-11-29;22,00;82,50;33,00;99,00;0,00;0,00;24,00;22,00;0,00
2020-12-06;24,00;125,33;74,67;128,00;0,00;0,00;0,00;12,00;0,00
2020-12-13;24,00;181,33;106,67;101,33;0,00;0,00;39,00;10,00;0,00
2020-12-20;24,00;170,67;96,00;80,00;0,00;0,00;43,00;27,00;9,00
2020-12-27;36,00;185,14;41,14;97,71;15,43;12,00;53,00;0,00;0,00
2021-01-03;0,00;99,00;37,00;41,00;0,00;13,00;19,00;16,00;13,00
2021-01-10;0,00;100,00;33,00;58,00;0,00;9,00;17,00;0,00;14,00
2021-01-17;53,00;169,60;39,75;164,30;0,00;0,00;0,00;19,00;0,00
2021-01-24;19,00;54,29;24,43;122,14;0,00;0,00;0,00;20,00;0,00
2021-01-31;37,00;145,36;31,71;100,43;10,57;0,00;16,00;9,00;0,00
2021-02-07;38,00;103,14;21,71;95,00;0,00;14,00;0,00;11,00;9,00
2021-02-14;31,00;90,42;23,25;90,42;0,00;9,00;0,00;0,00;24,00
2021-02-21;30,00;57,27;60,00;95,45;0,00;0,00;35,00;36,00;0,00
2021-02-28;11,00;44,00;55,00;77,00;0,00;0,00;13,00;0,00;24,00
2021-03-07;33,00;66,00;38,50;93,50;0,00;0,00;10,00;0,00;0,00
2021-03-14;27,00;40,50;16,20;113,40;0,00;0,00;0,00;0,00;0,00
2021-03-21;22,00;63,25;41,25;96,25;0,00;0,00;0,00;18,00;0,00
2021-03-28;31,00;43,92;74,92;85,25;0,00;0,00;0,00;0,00;0,00
2021-04-04;27,00;40,50;32,40;37,80;0,00;0,00;19,00;0,00;19,00
2021-04-11;27,00;67,50;56,70;116,10;0,00;0,00;0,00;10,00;13,00
2021-04-18;10,00;77,50;32,50;60,00;15,00;0,00;15,00;16,00;0,00
2021-04-25;16,00;26,67;37,33;69,33;21,33;0,00;0,00;0,00;0,00
2021-05-02;41,00;71,07;38,27;82,00;8,20;12,00;0,00;0,00;0,00
2021-05-09;0,00;24,00;14,00;31,00;0,00;0,00;22,00;0,00;10,00
2021-05-16;31,00;107,09;59,18;53,55;39,45;0,00;11,00;18,00;0,00
2021-05-23;32,00;56,00;34,67;74,67;0,00;14,00;0,00;20,00;0,00
2021-05-30;43,00;69,88;43,00;77,94;13,44;0,00;22,00;0,00;0,00
2021-06-06;32,00;96,00;56,00;82,67;0,00;0,00;0,00;12,00;0,00
2021-06-13;0,00;32,00;20,00;35,00;7,00;25,00;0,00;11,00;0,00
2021-06-20;27,00;89,10;51,30;72,90;0,00;31,00;36,00;19,00;0,00
2021-06-27;27,00;105,30;54,00;81,00;0,00;0,00;13,00;15,00;0,00
2021-07-04;23,00;125,22;58,78;86,89;0,00;0,00;21,00;9,00;0,00
2021-07-11;21,00;78,75;34,13;78,75;0,00;0,00;0,00;22,00;11,00
2021-07-18;34,00;102,00;49,69;86,31;23,54;11,00;11,00;17,00;0,00
2021-07-25;55,00;57,62;34,05;86,43;0,00;41,00;24,00;0,00;0,00
2021-08-01;15,00;80,00;22,50;67,50;0,00;0,00;56,00;0,00;0,00
2021-08-08;23,00;84,33;76,67;115,00;0,00;0,00;25,00;0,00;34,00
2021-08-15;17,00;87,83;28,33;76,50;0,00;15,00;0,00;23,00;0,00
2021-08-22;30,00;57,27;24,55;103,64;0,00;10,00;0,00;33,00;0,00
2021-08-29;58,00;58,00;42,18;92,27;0,00;0,00;22,00;0,00;0,00
2021-09-05;0,00;18,00;8,00;25,00;0,00;0,00;45,00;0,00;10,00
2021-09-12;18,00;46,29;46,29;84,86;0,00;0,00;19,00;19,00;0,00
2021-09-19;42,00;70,88;10,50;60,38;0,00;0,00;10,00;21,00;0,00
2021-09-26;33,00;52,25;22,00;79,75;0,00;0,00;0,00;0,00;30,00
2021-10-03;0,00;21,00;7,00;49,00;0,00;11,00;29,00;24,00;16,00
2021-10-10;11,00;30,25;55,00;99,00;0,00;0,00;0,00;0,00;22,00
2021-10-17;15,00;55,00;52,50;100,00;15,00;0,00;13,00;0,00;12,00
2021-10-24;11,00;79,75;35,75;134,75;0,00;0,00;37,00;10,00;0,00
2021-10-31;82,00;121,68;47,61;140,19;10,58;21,00;12,00;0,00;0,00
2021-11-07;0,00;45,00;15,00;41,00;0,00;0,00;33,00;16,00;0,00
2021-11-14;27,00;75,60;27,00;126,90;0,00;0,00;10,00;0,00;0,00
2021-11-21;35,00;150,77;18,85;86,15;10,77;0,00;12,00;0,00;9,00
2021-11-28;0,00;29,00;14,00;30,00;8,00;0,00;26,00;0,00;0,00
2021-12-05;25,00;63,89;38,89;105,56;0,00;0,00;25,00;0,00;0,00
2021-12-12;15,00;105,00;37,50;92,50;0,00;0,00;0,00;0,00;0,00
2021-12-19;29,00;145,00;44,82;126,55;0,00;0,00;13,00;21,00;26,00
2021-12-26;32,00;117,33;64,00;138,67;0,00;0,00;16,00;25,00;17,00
2022-01-02;13,00;124,80;96,20;143,00;23,40;25,00;19,00;0,00;0,00
2022-01-09;65,00;105,63;102,92;108,33;13,54;0,00;0,00;11,00;0,00
2022-01-16;25,00;105,56;63,89;152,78;0,00;0,00;30,00;0,00;0,00
2022-01-23;39,00;86,36;83,57;122,57;0,00;12,00;0,00;0,00;0,00
2022-01-30;0,00;45,00;19,00;78,00;0,00;0,00;0,00;0,00;0,00
2022-02-06;37,00;55,50;60,79;118,93;13,21;31,00;0,00;0,00;0,00
2022-02-13;27,00;129,60;59,40;113,40;0,00;10,00;0,00;20,00;0,00
2022-02-20;11,00;93,50;52,25;148,50;0,00;63,00;13,00;42,00;0,00
2022-02-27;0,00;47,00;21,00;45,00;3,00;0,00;0,00;0,00;0,00
2022-03-06;10,00;112,50;50,00;80,00;0,00;12,00;0,00;0,00;0,00
2022-03-13;0,00;42,00;26,00;40,00;4,00;25,00;10,00;0,00;13,00
2022-03-20;35,00;140,00;70,00;121,15;0,00;8,00;0,00;11,00;0,00
2022-03-27;8,00;146,67;45,33;144,00;0,00;12,00;8,00;24,00;10,00
2022-04-03;16,00;117,33;82,67;189,33;0,00;11,00;0,00;0,00;17,00
2022-04-10;43,00;147,81;37,63;126,31;26,88;10,00;30,00;0,00;22,00
2022-04-17;22,00;104,50;60,50;129,25;0,00;0,00;37,00;13,00;18,00
2022-04-24;21,00;133,88;39,38;157,50;0,00;17,00;32,00;14,00;0,00
2022-05-01;34,00;83,69;36,62;102,00;0,00;0,00;14,00;0,00;0,00
2022-05-08;30,00;65,45;35,45;103,64;0,00;0,00;0,00;9,00;0,00
2022-05-15;43,00;91,38;29,56;112,88;0,00;0,00;0,00;0,00;0,00
