Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
05/01/2020;30;324;78;18;24;32;28;15;11;0;11;0;4
12/01/2020;38;342;86,86;27,14;27,14;30;21;20;13;11;7;9;3
19/01/2020;62;355,09;95,82;28,18;22,55;51;15;21;0;18;0;5;9
26/01/2020;34;357;85;22,67;34;33;18;18;9;13;0;15;6
02/02/2020;58;342,2;92,8;23,2;29;37;15;17;14;10;7;10;6
09/02/2020;42;360;90;30;24;29;22;22;5;5;12;9;7
16/02/2020;53;388,67;100,11;23,56;35,33;52;34;14;12;20;6;11;0
23/02/2020;43;349,38;64,5;26,88;37,63;46;18;13;10;8;7;0;4
01/03/2020;36;318;60;24;6;31;12;8;7;23;0;13;7
08/03/2020;100;338,89;50;27,78;22,22;14;17;0;14;9;4;0;3
15/03/2020;27;189;21,6;10,8;10,8;17;18;9;16;15;8;0;4
22/03/2020;10;105;10;5;5;17;0;0;0;0;0;0;7
29/03/2020;5;100;10;10;5;8;6;4;0;5;0;6;0
05/04/2020;5;95;5;10;0;18;5;0;5;0;0;0;0
12/04/2020;5;95;15;5;5;8;6;3;4;0;3;3;6
19/04/2020;6;90;6;0;6;0;5;5;4;0;3;6;0
26/04/2020;13;117;13;6,5;6,5;3;0;0;0;0;0;0;0
03/05/2020;0;15;2;1;1;18;5;0;0;5;4;4;0
10/05/2020;10;70;10;15;10;0;4;0;3;7;10;4;0
17/05/2020;18;96;6;0;12;24;0;0;0;11;13;0;9
24/05/2020;22;88;5,5;11;11;21;7;9;18;6;0;0;3
31/05/2020;21;110,25;31,5;10,5;15,75;29;16;7;14;5;8;9;0
07/06/2020;40;154,29;45,71;11,43;34,29;34;22;4;0;15;11;15;0
14/06/2020;60;169,09;54,55;16,36;32,73;50;36;10;6;17;5;20;15
21/06/2020;55;170,5;60,5;22;27,5;47;24;11;14;9;7;17;7
28/06/2020;63;263,45;68,73;17,18;51,55;61;21;21;15;30;16;18;6
05/07/2020;66;291,5;93,5;33;49,5;61;36;17;3;12;15;17;11
12/07/2020;61;332,73;66,55;27,73;49,91;78;28;11;19;14;45;19;11
19/07/2020;61;260,64;77,64;27,73;22,18;86;27;10;0;20;22;11;6
26/07/2020;37;206,14;63,43;21,14;26,43;41;18;10;13;12;23;10;19
02/08/2020;50;172,22;61,11;16,67;27,78;55;16;20;12;18;19;17;8
09/08/2020;51;204;56,67;22,67;17;69;22;15;3;21;0;10;9
16/08/2020;37;190,29;58,14;26,43;10,57;46;29;12;15;9;10;6;8
23/08/2020;56;201,6;67,2;22,4;22,4;29;21;19;11;10;0;12;8
30/08/2020;23;161;51,75;23;11,5;31;16;11;11;7;7;6;0
06/09/2020;28;128,8;50,4;16,8;22,4;14;19;12;8;0;4;4;0
13/09/2020;5;125;30;10;20;30;21;6;0;4;8;8;11
20/09/2020;7;189;42;14;7;12;6;4;10;7;0;0;0
27/09/2020;12;144;36;12;18;25;11;4;5;9;0;7;0
04/10/2020;23;189,75;17,25;17,25;11,5;12;11;10;3;13;0;4;8
11/10/2020;15;115;15;10;5;11;0;6;0;7;7;0;0
18/10/2020;12;114;30;18;6;10;5;0;4;15;6;6;0
25/10/2020;35;116,67;17,5;5,83;5,83;13;7;3;0;4;8;4;0
01/11/2020;11;88;11;11;5,5;12;0;6;0;0;0;4;0
08/11/2020;10;85;15;5;10;6;7;8;0;0;3;0;0
15/11/2020;5;90;5;5;0;15;7;4;0;7;0;3;0
22/11/2020;7;147;42;7;0;13;14;7;0;3;0;9;6
29/11/2020;9;112,5;22,5;4,5;4,5;9;4;0;0;4;0;7;7
06/12/2020;7;126;35;7;7;20;0;4;7;0;0;0;0
13/12/2020;13;136,5;45,5;13;13;11;9;13;6;0;0;3;0
20/12/2020;6;162;36;6;18;13;10;0;12;0;6;0;6
27/12/2020;12;132;30;0;12;6;4;6;0;11;0;0;0
03/01/2021;20;90;25;10;0;11;5;8;6;5;0;0;0
10/01/2021;5;105;20;5;5;11;4;10;0;13;0;9;0
17/01/2021;13;130;26;6,5;13;7;5;8;12;0;4;4;0
24/01/2021;11;88;33;5,5;11;7;3;7;6;3;0;5;0
31/01/2021;17;119;11,33;11,33;11,33;17;3;12;9;4;4;4;0
07/02/2021;8;152;24;8;16;15;6;4;11;8;0;8;5
14/02/2021;22;93,5;27,5;11;11;21;17;0;6;6;0;8;0
21/02/2021;6;120;24;0;12;11;12;12;7;9;0;13;0
28/02/2021;18;114;30;12;6;18;7;6;0;12;0;0;0
07/03/2021;35;169,17;23,33;11,67;5,83;16;5;0;4;11;0;0;0
14/03/2021;24;120;18;6;12;14;4;4;15;0;9;3;0
21/03/2021;6;90;30;12;6;6;12;5;7;4;0;7;0
28/03/2021;11;77;22;11;5,5;18;11;11;5;0;6;4;0
04/04/2021;5;85;15;5;10;12;10;0;0;4;0;0;0
11/04/2021;11;82,5;11;11;11;12;0;0;0;11;6;5;0
18/04/2021;17;113,33;34;5,67;22,67;16;13;5;3;7;12;4;10
25/04/2021;20;105;20;10;10;18;13;10;0;0;4;8;4
02/05/2021;19;158,33;25,33;12,67;25,33;24;33;6;3;13;6;0;0
09/05/2021;29;150,8;40,6;11,6;23,2;25;15;0;14;7;0;4;6
16/05/2021;35;169,17;46,67;17,5;23,33;36;13;7;10;14;8;13;0
23/05/2021;28;168;39,2;16,8;28;45;20;14;8;17;0;12;10
30/05/2021;28;184,8;39,2;28;5,6;43;27;10;9;10;7;9;6
06/06/2021;42;192;42;24;18;73;19;11;24;12;8;27;0
13/06/2021;44;198;55;16,5;22;92;28;16;11;9;3;12;10
20/06/2021;60;240;78;30;42;82;15;8;15;11;6;11;10
27/06/2021;54;222;66;18;30;86;22;27;7;8;4;14;9
04/07/2021;71;325,42;94,67;35,5;47,33;91;30;13;21;24;5;28;22
11/07/2021;70;280;93,33;17,5;35;57;37;18;19;18;6;30;24
18/07/2021;57;330,6;74,1;22,8;28,5;67;29;16;16;27;9;26;4
25/07/2021;74;313,08;85,38;28,46;34,15;83;31;21;23;29;13;36;15
01/08/2021;71;325,42;76,92;29,58;35,5;61;21;16;12;21;9;22;0
08/08/2021;46;425,5;63,25;11,5;46;55;8;13;7;24;13;15;12
15/08/2021;52;335,11;69,33;34,67;28,89;61;28;19;18;16;11;17;0
22/08/2021;60;305,45;70,91;21,82;27,27;45;28;23;0;18;12;19;0
29/08/2021;58;324,8;69,6;17,4;23,2;37;24;14;5;10;6;11;0
05/09/2021;53;365,11;70,67;29,44;23,56;38;24;18;11;16;11;7;7
12/09/2021;33;379,5;66;38,5;44;35;23;17;27;11;5;0;5
19/09/2021;37;437,83;80,17;30,83;18,5;32;23;6;5;9;12;4;7
26/09/2021;28;397,6;84;11,2;22,4;31;8;8;12;6;7;4;0
03/10/2021;49;379,75;67,38;30,63;24,5;28;34;21;7;0;5;0;0
10/10/2021;24;420;66;30;30;29;15;28;12;7;0;4;0
17/10/2021;21;362,25;84;42;21;30;10;6;0;24;0;0;9
24/10/2021;15;415;65;35;20;58;26;24;7;0;19;9;4
31/10/2021;19;582,67;101,33;38;25,33;28;30;5;6;3;7;0;4
07/11/2021;30;462;84;24;24;12;11;5;13;7;5;8;0
14/11/2021;18;336;72;18;18;33;3;16;7;3;21;4;0
21/11/2021;10;255;40;25;20;16;10;5;0;4;7;0;0
28/11/2021;24;300;48;30;18;19;8;8;13;0;6;3;5
05/12/2021;8;416;88;48;32;22;10;0;4;10;6;0;7
12/12/2021;21;346,5;57,75;21;10,5;30;14;0;0;0;7;9;0
19/12/2021;16;368;48;21,33;16;19;13;22;12;0;0;9;0
26/12/2021;49;517,22;98;32,67;21,78;29;15;12;7;0;0;8;13
02/01/2022;38;390,86;92,29;16,29;21,71;39;21;6;14;11;12;9;0
09/01/2022;30;336;72;12;24;26;16;0;6;12;12;13;0
16/01/2022;33;341;66;27,5;33;39;14;6;11;11;0;8;8
23/01/2022;36;396;84;18;18;49;10;10;10;10;6;9;0
30/01/2022;33;357,5;88;22;22;29;14;0;10;17;0;7;4
06/02/2022;55;434,5;71,5;22;27,5;36;25;10;17;6;6;10;8
13/02/2022;43;360,13;86;21,5;37,63;46;26;12;11;15;12;6;4
20/02/2022;36;444;84;30;30;52;23;5;32;8;0;5;0
27/02/2022;50;416,67;94,44;11,11;27,78;36;26;9;7;11;13;9;0
06/03/2022;42;450;90;18;24;41;22;8;16;0;3;9;0
13/03/2022;55;390,5;93,5;22;27,5;55;19;5;4;15;7;3;11
20/03/2022;54;388,8;81;27;32,4;46;19;0;19;9;9;0;6
27/03/2022;44;462;99;16,5;44;62;23;11;22;18;6;14;11
03/04/2022;66;528;104,5;38,5;49,5;57;23;14;20;13;8;15;11
