Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-01-05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;13,00;18,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00
2020-01-12;0,00;15,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;36,00;23,00;0,00;0,00;0,00;26,00;30,00;0,00;0,00;0,00;0,00
2020-01-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;0,00;17,00;14,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;0,00;30,00;20,00;0,00;0,00;40,00;0,00;0,00;38,00;0,00;10,00;38,00;16,00;0,00;34,00;28,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;0,00;17,00;14,00;17,00;0,00;0,00;0,00;67,00;17,00;13,00;34,00;20,00;0,00;15,00;0,00;22,00;0,00;36,00;0,00;0,00;0,00
2020-02-09;31,00;0,00;0,00;16,12;0,00;65,00;0,00;17,00;22,00;27,35;63,82;31,00;0,00;0,00;0,00;20,31;24,59;18,00;0,00;0,00;0,00
2020-02-16;0,00;12,00;0,00;0,00;0,00;49,00;23,00;0,00;23,00;0,00;33,00;17,00;20,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;0,00;0,00;37,00;16,00;0,00;30,00;0,00;0,00;0,00;0,00;13,00;14,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;14,00;0,00;0,00;0,00;0,00;14,00;0,00;46,00;0,00;19,25;17,50;14,00;0,00;0,00;0,00;0,00;23,00;0,00;60,00;0,00;0,00
2020-03-08;29,00;0,00;0,00;26,58;0,00;14,00;0,00;44,00;0,00;0,00;21,75;0,00;19,94;0,00;33,30;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;27,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;10,00;8,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00
2020-03-29;23,00;19,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,50;0,00;15,68;0,00;19,00;0,00;13,00;33,00
2020-04-05;0,00;0,00;0,00;24,00;0,00;0,00;17,00;0,00;27,00;0,00;35,00;9,00;10,00;0,00;13,00;0,00;0,00;22,00;25,00;0,00;0,00
2020-04-12;16,00;17,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,44;21,33;0,00;0,00;0,00;21,33;0,00;0,00;0,00;0,00;13,00
2020-04-19;14,00;0,00;0,00;12,73;0,00;30,00;0,00;0,00;0,00;0,00;14,00;12,25;12,25;12,92;0,00;0,00;0,00;14,00;0,00;0,00;17,00
2020-04-26;0,00;0,00;0,00;0,00;0,00;31,00;25,00;0,00;0,00;0,00;21,00;0,00;15,00;0,00;0,00;54,00;0,00;30,00;0,00;0,00;18,00
2020-05-03;0,00;11,00;0,00;14,00;22,00;0,00;18,00;18,00;0,00;0,00;8,00;8,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;50,00;8,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;0,00;0,00;0,00;20,00;0,00;0,00;14,00;0,00;17,00;0,00;11,00;15,00;0,00;0,00;0,00;18,00;42,00;0,00;0,00;15,00;56,00
