Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2020-01-05;17,00;3,00;0,00;6,00;5,00;7,00;0,00;2,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00
2020-01-12;17,00;0,00;2,00;3,00;8,00;2,00;0,00;7,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2020-01-19;27,00;8,00;0,00;7,00;7,00;0,00;3,00;6,00;0,00;0,00;6,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-01-26;21,00;10,00;5,00;12,00;11,00;3,00;0,00;2,00;0,00;3,00;0,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;29,00;5,00;3,00;4,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;2,00;0,00;4,00;0,00;3,00;4,00;0,00;6,00
2020-02-09;35,00;4,00;4,00;0,00;3,00;3,00;9,00;5,00;0,00;4,00;0,00;4,00;3,00;3,00;2,00;0,00;0,00;0,00;0,00;3,00;7,00
2020-02-16;27,00;3,00;3,00;3,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;23,00;6,00;0,00;0,00;7,00;0,00;5,00;0,00;11,00;0,00;0,00;2,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;26,00;9,00;0,00;0,00;2,00;4,00;0,00;0,00;2,00;0,00;5,00;6,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00
2020-03-08;14,00;5,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2020-03-15;7,00;3,00;0,00;0,00;10,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;9,00;0,00;0,00
2020-03-22;8,00;0,00;0,00;2,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;5,00;0,00;0,00;2,00;0,00;0,00
2020-03-29;0,00;2,00;4,00;0,00;4,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00
2020-04-05;2,00;9,00;0,00;5,00;2,00;0,00;0,00;0,00;0,00;2,00;3,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;4,00;4,00;0,00;6,00;0,00;2,00;4,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-04-19;5,00;0,00;0,00;3,00;5,00;0,00;8,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;4,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;0,00;3,00;10,00;7,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2020-05-10;11,00;3,00;4,00;2,00;3,00;5,00;4,00;2,00;0,00;3,00;0,00;2,00;3,00;0,00;0,00;0,00;2,00;0,00;3,00;0,00;0,00
2020-05-17;6,00;11,00;5,00;0,00;4,00;0,00;4,00;5,00;0,00;0,00;0,00;4,00;4,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;16,00;3,00;0,00;0,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;2,00
2020-05-31;25,00;10,00;0,00;9,00;5,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
