Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-05;61,00;0,00;0,00;3,00;0,00;7,00;7,00;18,00;13,00;16,00;9,00;15,00;18,00;0,00;8,00;0,00;0,00;0,00;4,07;5,08;21,35;4,00;4,00;0,00;0,00;0,00;3,00;0,00
2020-01-12;50,00;0,00;0,00;0,00;7,00;10,00;0,00;23,00;0,00;9,00;15,00;9,00;24,00;0,00;5,00;0,00;9,00;0,00;7,29;5,21;16,67;0,00;0,00;0,00;0,00;0,00;0,00;5,00
2020-01-19;44,00;4,00;3,00;0,00;9,00;4,00;0,00;22,00;11,00;18,00;11,00;0,00;17,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;12,28;0,00;0,00;4,00;0,00;3,00;0,00;7,00
2020-01-26;60,00;0,00;0,00;4,00;5,00;9,00;6,00;13,00;0,00;12,00;6,00;11,00;12,00;0,00;10,00;0,00;11,00;0,00;0,00;0,00;16,55;0,00;5,00;0,00;0,00;0,00;0,00;5,00
2020-02-02;68,00;8,00;5,00;3,00;7,00;0,00;0,00;17,00;0,00;8,00;30,00;14,00;4,00;0,00;0,00;0,00;12,00;0,00;8,12;0,00;6,09;0,00;4,00;0,00;6,00;0,00;0,00;0,00
2020-02-09;83,00;0,00;8,00;5,00;5,00;4,00;3,00;31,00;0,00;21,00;11,00;13,00;19,00;0,00;16,00;0,00;19,00;0,00;4,10;11,27;19,47;0,00;18,00;6,00;0,00;0,00;0,00;0,00
2020-02-16;57,00;8,00;6,00;5,00;4,00;0,00;0,00;12,00;0,00;10,00;3,00;6,00;11,00;0,00;0,00;0,00;3,00;0,00;5,09;0,00;16,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;39,00;8,00;10,00;0,00;0,00;3,00;0,00;12,00;0,00;3,00;12,00;8,00;18,00;0,00;8,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;48,00;0,00;4,00;7,00;0,00;5,00;0,00;10,00;11,00;8,00;0,00;8,00;9,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;10,21;0,00;0,00;0,00;5,00;0,00;0,00;0,00
2020-03-08;36,00;3,00;3,00;0,00;6,00;9,00;7,00;13,00;0,00;7,00;6,00;6,00;13,00;15,00;0,00;0,00;0,00;0,00;8,23;9,26;12,34;0,00;0,00;0,00;0,00;8,00;0,00;3,00
2020-03-15;17,00;0,00;0,00;4,00;0,00;6,00;5,00;0,00;0,00;5,00;3,00;4,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;8,50;0,00;9,00;6,00;0,00;0,00;0,00;9,00;5,00
2020-03-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;10,00;3,00;4,00;0,00
2020-03-29;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;4,00;0,00;4,00;5,00;4,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;12,00;0,00;3,00;0,00;0,00;0,00;8,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;14,00;6,00;8,00;0,00;0,00;0,00;0,00
2020-04-19;10,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2020-04-26;12,00;3,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;5,00;0,00;0,00
2020-05-03;9,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;4,00;3,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-05-10;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00
2020-05-17;12,00;0,00;4,00;6,00;0,00;0,00;0,00;0,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;3,00;0,00;0,00
2020-05-24;19,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;6,00;0,00;4,00;0,00;0,00;0,00;4,22;0,00;0,00;5,00;0,00;0,00;0,00;6,00;5,00;0,00
2020-05-31;27,00;0,00;0,00;0,00;0,00;4,00;0,00;3,00;0,00;4,00;0,00;0,00;3,00;0,00;0,00;0,00;5,00;0,00;0,00;6,00;7,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00
2020-06-07;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;5,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2020-06-14;29,00;0,00;0,00;3,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;3,11;0,00;9,32;6,21;0,00;0,00;0,00;7,00;0,00;0,00;0,00
2020-06-21;27,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;10,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;3,00;10,00;7,00;0,00;0,00;0,00
2020-06-28;54,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;6,11;3,06;0,00;3,06;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2020-07-05;51,00;0,00;8,00;0,00;0,00;13,00;6,00;0,00;4,00;11,00;17,00;10,00;0,00;0,00;4,00;0,00;7,00;0,00;3,06;0,00;6,12;0,00;15,00;0,00;0,00;0,00;4,00;0,00
2020-07-12;60,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;6,00;4,00;0,00;0,00;0,00;0,00;7,00;0,00;4,07;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;7,00
