Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;70,00;92,00;32,00;148,00;0,00;19,00;50,00;31,00;0,00
2020-01-12;71,00;73,03;52,74;105,49;34,49;16,00;33,00;71,00;0,00
2020-01-19;67,00;79,18;87,30;125,88;0,00;0,00;0,00;13,00;21,00
2020-01-26;43,00;75,76;59,38;114,67;0,00;0,00;32,00;28,00;0,00
2020-02-02;100,00;59,18;81,63;100,00;0,00;0,00;0,00;0,00;25,00
2020-02-09;66,00;117,56;66,00;26,81;0,00;0,00;22,00;0,00;0,00
2020-02-16;48,00;70,00;30,00;96,00;18,00;32,00;31,00;89,00;20,00
2020-02-23;47,00;53,13;28,61;38,83;0,00;0,00;0,00;0,00;0,00
2020-03-01;35,00;47,35;28,82;90,59;0,00;0,00;14,00;14,00;26,00
2020-03-08;54,00;72,00;20,00;72,00;0,00;0,00;0,00;25,00;0,00
2020-03-15;43,00;47,10;16,38;45,05;0,00;0,00;14,00;0,00;0,00
2020-03-22;25,00;42,31;53,85;38,46;0,00;24,00;0,00;0,00;0,00
2020-03-29;37,00;34,94;37,00;88,39;0,00;18,00;0,00;0,00;0,00
2020-04-05;61,00;18,30;0,00;93,53;20,33;0,00;43,00;0,00;44,00
2020-04-12;27,00;51,92;0,00;95,54;0,00;18,00;26,00;0,00;14,00
2020-04-19;36,00;74,00;0,00;74,00;16,00;0,00;16,00;0,00;0,00
2020-04-26;26,00;46,00;30,00;80,00;14,00;0,00;16,00;0,00;14,00
2020-05-03;32,00;12,00;18,00;138,00;0,00;0,00;36,00;0,00;0,00
2020-05-10;16,00;0,00;16,00;74,00;0,00;19,00;33,00;0,00;18,00
2020-05-17;46,00;54,00;0,00;14,00;0,00;0,00;38,00;0,00;0,00
2020-05-24;18,00;42,00;46,00;46,00;0,00;0,00;0,00;28,00;0,00
2020-05-31;0,00;10,00;9,00;48,00;0,00;0,00;13,00;33,00;0,00
2020-06-07;58,00;34,00;0,00;76,00;0,00;0,00;32,00;0,00;0,00
2020-06-14;38,00;36,00;36,00;86,00;0,00;0,00;0,00;57,00;44,00
2020-06-21;44,00;41,90;20,95;79,62;0,00;0,00;0,00;0,00;28,00
2020-06-28;45,00;24,55;32,73;67,50;0,00;22,00;0,00;25,00;0,00
2020-07-05;47,00;18,39;42,91;83,78;34,74;0,00;19,00;0,00;0,00
2020-07-12;53,00;46,88;18,35;73,38;0,00;0,00;14,00;28,00;0,00
2020-07-19;76,00;67,78;0,00;86,27;0,00;0,00;0,00;0,00;0,00
2020-07-26;42,00;0,00;26,00;40,00;0,00;46,00;16,00;0,00;28,00
2020-08-02;42,00;40,00;40,00;64,00;16,00;0,00;13,00;14,00;33,00
2020-08-09;30,00;34,00;40,00;72,00;0,00;0,00;0,00;0,00;0,00
2020-08-16;64,00;39,23;18,58;152,77;12,39;0,00;0,00;0,00;25,00
2020-08-23;21,00;50,40;58,80;60,90;0,00;0,00;0,00;0,00;14,00
2020-08-30;52,00;52,00;27,04;52,00;0,00;0,00;28,00;15,00;0,00
2020-09-06;29,00;49,71;12,43;109,79;0,00;64,00;0,00;16,00;0,00
