Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2020-01-05;17,00;141,67;5,67;31,17;25,50;26,00;11,00;4,00;0,00;4,00;7,00;3,00;0,00
2020-01-12;17,00;159,80;6,80;27,20;23,80;12,00;5,00;0,00;5,00;6,00;0,00;8,00;10,00
2020-01-19;32,00;137,60;3,20;25,60;28,80;9,00;0,00;8,00;4,00;5,00;3,00;4,00;7,00
2020-01-26;21,00;126,00;0,00;24,00;24,00;7,00;8,00;10,00;0,00;3,00;0,00;7,00;7,00
2020-02-02;29,00;128,89;6,44;29,00;22,56;16,00;10,00;5,00;6,00;0,00;8,00;0,00;4,00
2020-02-09;35,00;152,73;3,18;22,27;28,64;8,00;11,00;3,00;0,00;0,00;4,00;0,00;5,00
2020-02-16;27,00;144,00;9,00;24,00;21,00;14,00;16,00;8,00;0,00;0,00;0,00;3,00;7,00
2020-02-23;18,00;150,00;6,00;30,00;27,00;13,00;12,00;0,00;8,00;0,00;6,00;4,00;0,00
2020-03-01;25,00;125,00;3,13;28,13;18,75;16,00;8,00;5,00;6,00;2,00;5,00;0,00;5,00
2020-03-08;14,00;92,40;5,60;14,00;19,60;6,00;5,00;0,00;3,00;4,00;0,00;3,00;0,00
2020-03-15;7,00;94,50;0,00;10,50;14,00;10,00;6,00;0,00;0,00;4,00;0,00;4,00;0,00
2020-03-22;8,00;64,00;0,00;12,00;4,00;5,00;3,00;0,00;3,00;4,00;3,00;3,00;0,00
2020-03-29;0,00;12,00;1,00;0,00;1,00;3,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;2,00;26,00;0,00;4,00;2,00;6,00;5,00;2,00;3,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;16,00;0,00;1,00;2,00;4,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00
2020-04-19;5,00;27,50;0,00;5,00;5,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;4,00;48,00;4,00;8,00;0,00;10,00;5,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-05-03;0,00;13,00;0,00;1,00;1,00;5,00;5,00;6,00;3,00;2,00;3,00;0,00;0,00
2020-05-10;11,00;44,00;0,00;3,67;11,00;5,00;5,00;4,00;2,00;0,00;0,00;0,00;0,00
2020-05-17;6,00;33,00;0,00;15,00;6,00;6,00;5,00;3,00;3,00;3,00;0,00;2,00;0,00
2020-05-24;16,00;44,80;0,00;19,20;6,40;10,00;5,00;0,00;0,00;0,00;0,00;2,00;3,00
2020-05-31;25,00;46,88;0,00;9,38;15,63;10,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00
2020-06-07;22,00;59,71;0,00;18,86;18,86;20,00;10,00;0,00;0,00;6,00;3,00;0,00;4,00
2020-06-14;31,00;86,80;0,00;21,70;18,60;15,00;15,00;0,00;2,00;3,00;5,00;4,00;4,00
2020-06-21;45,00;63,00;0,00;12,00;18,00;22,00;0,00;3,00;0,00;9,00;7,00;5,00;0,00
2020-06-28;44,00;75,43;3,14;18,86;22,00;16,00;14,00;0,00;0,00;9,00;7,00;0,00;3,00
2020-07-05;80,00;86,15;3,08;27,69;24,62;25,00;10,00;5,00;0,00;16,00;3,00;6,00;4,00
2020-07-12;89,00;76,72;6,14;27,62;27,62;34,00;3,00;0,00;0,00;14,00;23,00;7,00;0,00
2020-07-19;100,00;84,85;3,03;24,24;33,33;36,00;10,00;0,00;7,00;13,00;14,00;3,00;5,00
2020-07-26;74,00;83,25;0,00;21,58;30,83;32,00;13,00;13,00;0,00;9,00;9,00;8,00;8,00
2020-08-02;71,00;83,35;0,00;21,61;24,70;27,00;7,00;0,00;5,00;14,00;0,00;4,00;6,00
2020-08-09;53,00;71,71;3,12;12,47;28,06;18,00;12,00;3,00;6,00;11,00;5,00;4,00;0,00
2020-08-16;34,00;77,27;0,00;15,45;24,73;11,00;11,00;5,00;6,00;4,00;4,00;0,00;0,00
2020-08-23;28,00;71,56;0,00;12,44;15,56;9,00;9,00;3,00;0,00;6,00;0,00;0,00;0,00
2020-08-30;25,00;62,50;6,25;21,88;18,75;8,00;7,00;0,00;0,00;0,00;0,00;9,00;0,00
2020-09-06;14,00;53,20;0,00;14,00;14,00;7,00;12,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;9,00;60,00;0,00;18,00;18,00;19,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-09-20;14,00;47,60;0,00;25,20;14,00;7,00;5,00;0,00;2,00;6,00;0,00;5,00;0,00
2020-09-27;9,00;51,00;0,00;21,00;15,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;11,00;46,75;2,75;22,00;19,25;3,00;5,00;0,00;2,00;3,00;0,00;3,00;0,00
2020-10-11;6,00;39,00;3,00;24,00;18,00;7,00;0,00;4,00;0,00;2,00;0,00;0,00;4,00
2020-10-18;4,00;52,00;0,00;20,00;20,00;4,00;9,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-10-25;26,00;48,75;0,00;6,50;9,75;5,00;0,00;0,00;6,00;0,00;0,00;5,00;0,00
2020-11-01;7,00;42,00;3,50;7,00;3,50;8,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00
2020-11-08;5,00;50,00;0,00;10,00;15,00;3,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00
2020-11-15;11,00;30,25;0,00;0,00;5,50;5,00;0,00;0,00;0,00;2,00;0,00;0,00;4,00
2020-11-22;5,00;32,50;0,00;5,00;5,00;3,00;0,00;0,00;0,00;0,00;4,00;3,00;0,00
2020-11-29;3,00;42,00;0,00;3,00;6,00;0,00;0,00;2,00;0,00;2,00;0,00;2,00;0,00
2020-12-06;0,00;17,00;0,00;3,00;4,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-12-13;4,00;44,00;0,00;12,00;12,00;8,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-12-20;12,00;54,00;3,00;6,00;18,00;0,00;2,00;0,00;4,00;4,00;0,00;0,00;0,00
2020-12-27;8,00;60,00;0,00;16,00;12,00;5,00;3,00;4,00;9,00;4,00;0,00;0,00;4,00
2021-01-03;0,00;13,00;0,00;3,00;5,00;13,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-01-10;7,00;45,50;3,50;3,50;7,00;7,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00
2021-01-17;6,00;30,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-01-24;9,00;39,00;6,00;3,00;9,00;8,00;0,00;6,00;9,00;2,00;10,00;0,00;2,00
2021-01-31;8,00;40,00;0,00;2,67;10,67;2,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00
2021-02-07;5,00;45,00;0,00;0,00;7,50;14,00;4,00;0,00;0,00;5,00;0,00;0,00;3,00
2021-02-14;11,00;55,00;0,00;3,67;11,00;3,00;0,00;4,00;0,00;0,00;2,00;0,00;0,00
2021-02-21;5,00;40,00;2,50;10,00;10,00;0,00;4,00;0,00;0,00;3,00;4,00;7,00;0,00
2021-02-28;12,00;30,00;3,00;9,00;6,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-03-07;10,00;66,67;0,00;10,00;16,67;5,00;4,00;0,00;0,00;6,00;4,00;0,00;0,00
2021-03-14;13,00;42,25;0,00;6,50;3,25;3,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00
2021-03-21;12,00;33,00;3,00;6,00;9,00;2,00;8,00;0,00;6,00;6,00;0,00;0,00;3,00
2021-03-28;4,00;40,00;4,00;20,00;12,00;4,00;3,00;0,00;0,00;3,00;2,00;0,00;2,00
2021-04-04;11,00;44,00;0,00;7,33;11,00;3,00;0,00;4,00;4,00;2,00;2,00;0,00;0,00
