Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-01-05;0,00;16,00;0,00;0,00;0,00;35,00;0,00;0,00;0,00;9,00;31,00;56,00;0,00;0,00;0,00;44,00;21,00;0,00;43,00;0,00;0,00
2020-01-12;20,00;15,29;0,00;28,24;0,00;0,00;0,00;0,00;0,00;12,50;150,00;165,00;40,00;0,00;0,00;160,00;17,14;0,00;52,50;0,00;38,75
2020-01-19;0,00;65,00;0,00;26,00;0,00;29,00;0,00;0,00;0,00;0,00;40,00;49,00;0,00;0,00;0,00;42,00;0,00;0,00;56,00;0,00;27,00
2020-01-26;14,00;52,50;42,00;0,00;0,00;14,00;16,00;0,00;0,00;58,80;128,80;190,40;0,00;0,00;0,00;224,00;19,60;39,45;67,45;0,00;26,73
2020-02-02;53,00;66,53;27,06;0,00;0,00;21,00;0,00;0,00;0,00;0,00;90,86;123,67;15,14;0,00;0,00;103,35;18,55;24,65;59,16;0,00;32,05
2020-02-09;0,00;39,00;49,00;0,00;0,00;22,00;14,00;0,00;0,00;0,00;22,00;59,00;0,00;0,00;0,00;17,00;0,00;0,00;46,00;19,00;0,00
2020-02-16;0,00;42,00;14,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;44,00;52,00;0,00;0,00;0,00;50,00;5,00;20,00;59,00;0,00;14,00
2020-02-23;0,00;49,00;0,00;0,00;12,00;18,00;0,00;0,00;0,00;0,00;35,00;34,00;0,00;0,00;0,00;25,00;0,00;0,00;47,00;0,00;0,00
2020-03-01;44,00;30,11;22,00;0,00;20,84;0,00;0,00;0,00;0,00;25,88;121,65;152,71;0,00;0,00;0,00;69,88;0,00;0,00;37,71;15,09;40,23
2020-03-08;19,00;0,00;0,00;15,65;0,00;28,00;0,00;15,00;23,00;0,00;271,43;154,71;0,00;0,00;0,00;92,29;0,00;14,25;35,63;35,63;16,63
2020-03-15;0,00;11,00;27,00;0,00;11,00;0,00;0,00;19,00;0,00;0,00;30,00;45,00;5,00;0,00;9,00;0,00;0,00;0,00;25,00;18,00;0,00
2020-03-22;0,00;0,00;14,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;21,00;0,00;29,00;0,00;44,00
2020-03-29;13,00;30,33;15,17;0,00;0,00;16,00;0,00;0,00;0,00;0,00;23,40;26,00;0,00;0,00;0,00;15,60;0,00;0,00;0,00;20,09;0,00
2020-04-05;0,00;43,00;19,00;20,00;0,00;16,00;0,00;0,00;0,00;5,00;21,00;16,00;0,00;0,00;10,00;18,00;0,00;28,00;0,00;0,00;0,00
2020-04-12;0,00;29,00;0,00;0,00;0,00;20,00;0,00;0,00;27,00;6,00;7,00;10,00;0,00;0,00;0,00;19,00;0,00;0,00;16,00;0,00;0,00
2020-04-19;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;8,00;12,00;0,00;0,00;17,00;10,00;0,00;0,00;38,00;0,00;48,00
