Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
05/01/2020;10;2;1;2;1;1;0,5;2;0;0;0;0,5;1;0;0,5;0;0;0;0;0;0
12/01/2020;12;3;1;1;1;0;2;2;0;0;0;1;1;0;0;0;0,5;0,5;1;1;1
19/01/2020;11;2;1;1;1;1;1;2;0;0;1;2;1;1;0;0;1;0;0,5;0;1
26/01/2020;12;3;1;1;1;1;1;1;0;0;0;1;0;0;0,5;0;1;1;0;0;0
02/02/2020;11;1;1;1;1;0,5;2;2;0;0;0;0;0,5;1;0;0;0,5;2;0;0;0
09/02/2020;10;2;1;1;1;1;1;1;0;0;0;0,5;1;0;0;0,5;0,5;0;0;0;0
16/02/2020;12;2;0,5;1;1;1;2;2;0;1;1;0;1;0;0;0;0,5;1;0;0;1
23/02/2020;10;1;1;1;1;1;1;1;0,5;0;0,5;0;0,5;0;0,5;1;0;0;0;0;0
01/03/2020;11;1;0,5;2;1;1;1;1;0,5;0;1;1;0;0,5;0;0,5;0;0;0;0;0
08/03/2020;8;1;0;2;0;0;1;1;0,5;0,5;0;0,5;0,5;0;0;0;0;0,5;0;0;0
15/03/2020;5;1;1;1;1;0,5;1;0;0;0;0;0;0,5;0;1;0;0;0;0;0,5;0
22/03/2020;2;1;1;0,5;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
29/03/2020;3;1;1;0;1;0;0;0;1;0,5;0;0;0;0;0;0;0;0,5;0;0;0
05/04/2020;3;1;0;1;0;0;1;1;0;0;0;0;0,5;0;0;0;0;0;0;0;0
12/04/2020;3;1;0;1;1;1;0;0;0;0;0;0;1;0;0,5;0;0;0;0;0;0
19/04/2020;2;1;1;1;1;0;0,5;1;0;0;0,5;0,5;0;0;0;0;0,5;0;0;0;0
26/04/2020;3;1;1;1;0,5;0;1;1;0;0;0;0;0;0;0;0;0;0,5;0;0,5;0
