Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
05/01/2020;38;38;20,73;13,82;20,73;0;0;8;10;0;34;13;16;0;9;0;0;0;0;0;7,86;0;0;0;0;0;0;0
12/01/2020;33;26,4;0;0;9,9;6;9;10;15;12;8;10;0;10;7;18;8;0;0;6,6;0;0;11;0;0;20;12;0
19/01/2020;43;33,08;0;9,92;6,62;12;12;9;15;0;24;0;0;0;20;0;11;13,44;0;6,72;0;0;0;6;0;10;0;10
26/01/2020;40;26,67;20;23,33;6,67;6;7;0;8;0;14;9;0;12;6;0;0;0;0;0;0;0;6;0;0;0;13;0
02/02/2020;75;17,05;13,64;6,82;10,23;11;20;0;0;0;11;0;0;0;8;0;11;0;10,71;12,05;0;14;0;9;16;0;0;0
09/02/2020;62;13,78;17,22;17,22;6,89;8;12;11;9;0;23;0;0;0;24;0;0;16,17;0;6,74;0;0;0;12;0;0;0;0
16/02/2020;52;20,8;10,4;10,4;10,4;0;50;8;6;7;0;20;0;0;11;9;0;0;0;0;0;8;0;7;0;0;0;0
23/02/2020;19;22,17;9,5;19;6,33;9;9;17;16;17;11;0;11;0;0;0;0;0;0;0;0;0;0;6;0;0;0;12
01/03/2020;0;12;4;4;5;0;24;0;0;0;15;6;0;0;7;0;9;0;9;0;0;0;0;28;0;0;9;0
08/03/2020;24;41,14;20,57;24;27,43;16;12;0;0;0;8;0;13;0;6;0;0;12;24;0;0;0;0;0;21;0;5;0
15/03/2020;0;4;4;0;3;8;0;6;19;0;23;5;0;0;0;0;0;0;5;4;10;0;13;13;0;0;0;10
22/03/2020;11;0;11;0;11;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;6,88;0;0;6;0;0;0;0
29/03/2020;0;0;3;0;2;0;0;0;0;0;0;0;0;0;10;0;0;7;0;0;0;6;0;0;0;0;0;0
05/04/2020;11;0;0;0;0;0;6;0;8;0;0;0;5;6;9;8;0;0;0;0;0;0;9;0;0;0;0;0
12/04/2020;7;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
19/04/2020;0;0;3;0;0;0;0;0;6;0;10;0;0;0;0;0;6;15;0;0;0;0;0;0;0;0;0;0
26/04/2020;18;0;7,2;0;10,8;0;0;0;0;0;0;6;6;10;0;6;0;9;0;0;0;5;0;0;0;0;0;0
03/05/2020;7;10,5;0;0;0;14;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0
10/05/2020;15;0;11,25;15;0;0;9;0;7;0;0;8;0;10;9;0;5;0;0;0;0;0;0;0;0;0;9;11
17/05/2020;0;0;3;0;4;0;0;0;6;0;10;29;13;0;0;20;0;5;0;0;0;0;0;0;0;0;0;0
24/05/2020;12;0;0;9;0;0;7;0;11;0;0;0;0;0;0;0;0;0;6,67;0;0;0;0;0;0;16;0;0
31/05/2020;6;6;0;0;0;10;0;0;0;0;0;8;0;0;0;0;0;0;0;0;4,8;11;0;0;0;0;0;0
07/06/2020;40;0;0;26,67;0;10;10;0;11;0;20;0;0;0;0;0;0;0;0;5,33;5,33;0;6;5;0;0;20;0
14/06/2020;17;0;10,2;0;0;0;6;0;0;0;0;0;0;0;14;10;0;0;0;0;0;0;0;0;0;17;0;0
21/06/2020;33;0;0;9,9;9,9;0;0;0;10;0;0;0;10;0;0;0;0;0;6,6;13,2;0;0;0;0;0;0;0;0
28/06/2020;36;0;9,82;0;6,55;8;0;0;0;0;0;0;0;5;0;0;0;0;9,33;0;0;0;0;0;0;6;0;21
05/07/2020;24;10,29;17,14;0;0;0;0;0;8;0;6;8;0;0;0;0;0;0;0;0;0;0;8;0;0;8;11;0
12/07/2020;17;10,2;23,8;0;0;17;0;0;0;11;8;0;0;0;0;0;8;6,54;6,54;0;0;0;0;0;0;0;0;0
19/07/2020;51;0;23,8;0;13,6;0;0;0;0;9;6;0;0;0;0;0;0;12,08;0;0;0;0;0;0;0;0;20;0
26/07/2020;31;0;0;0;6,89;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;51;0;7;0;6;0;0
02/08/2020;48;0;20,57;0;6,86;9;0;0;0;0;11;21;15;0;0;0;0;0;0;8;0;36;6;0;0;0;9;6
09/08/2020;36;6,55;13,09;0;0;0;0;11;0;0;9;14;11;0;8;0;0;0;12;0;0;0;0;0;0;0;12;0
16/08/2020;43;0;0;33,08;6,62;9;0;12;8;0;13;0;13;0;0;0;0;0;0;10,75;8,06;6;11;0;0;0;0;0
23/08/2020;47;10,07;16,79;13,43;0;0;0;0;0;0;11;6;0;8;0;0;0;0;20,14;0;0;14;0;0;0;15;0;7
