Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;23,00;33,00;26,00;59,00;0,00;3,00;0,00;7,00;2,00
2020-01-12;23,00;32,00;23,00;59,00;0,00;3,00;0,00;4,00;6,00
2020-01-19;14,00;35,00;28,00;79,00;3,00;0,00;3,00;2,00;4,00
2020-01-26;10,00;37,00;16,00;45,00;0,00;0,00;16,00;3,00;2,00
2020-02-02;18,00;27,00;15,00;43,00;2,00;3,00;11,00;4,00;2,00
2020-02-09;20,00;24,00;10,00;47,00;0,00;2,00;2,00;0,00;0,00
2020-02-16;18,00;28,00;15,00;54,00;4,00;0,00;0,00;3,00;3,00
2020-02-23;12,00;46,00;12,00;43,00;0,00;0,00;6,00;5,00;2,00
2020-03-01;19,00;29,00;12,00;42,00;0,00;0,00;12,00;2,00;2,00
2020-03-08;11,00;25,00;12,00;47,00;0,00;4,00;2,00;0,00;3,00
2020-03-15;12,00;32,00;14,00;21,00;0,00;0,00;9,00;4,00;3,00
2020-03-22;10,00;11,00;8,00;25,00;0,00;2,00;6,00;0,00;0,00
2020-03-29;14,00;16,00;8,00;22,00;3,00;3,00;0,00;12,00;4,00
2020-04-05;21,00;11,00;0,00;26,00;0,00;0,00;4,00;5,00;0,00
2020-04-12;14,00;3,00;5,00;35,00;0,00;2,00;4,00;0,00;2,00
2020-04-19;10,00;11,00;6,00;19,00;3,00;3,00;7,00;3,00;3,00
2020-04-26;9,00;13,00;3,00;12,00;0,00;3,00;7,00;6,00;0,00
2020-05-03;10,00;7,00;8,00;29,00;0,00;3,00;10,00;2,00;6,00
2020-05-10;8,00;8,00;7,00;37,00;0,00;0,00;8,00;3,00;5,00
2020-05-17;22,00;12,00;6,00;26,00;0,00;0,00;4,00;3,00;10,00
2020-05-24;11,00;14,00;4,00;25,00;3,00;0,00;5,00;0,00;3,00
2020-05-31;15,00;14,00;7,00;36,00;3,00;2,00;3,00;2,00;0,00
2020-06-07;19,00;14,00;2,00;28,00;0,00;0,00;3,00;4,00;4,00
2020-06-14;100,00;10,00;6,00;33,00;0,00;0,00;4,00;2,00;0,00
2020-06-21;16,00;8,00;9,00;27,00;0,00;0,00;5,00;0,00;3,00
2020-06-28;13,00;15,00;4,00;28,00;6,00;2,00;7,00;5,00;0,00
2020-07-05;22,00;14,00;4,00;34,00;2,00;0,00;6,00;2,00;3,00
2020-07-12;14,00;10,00;2,00;33,00;0,00;0,00;0,00;3,00;6,00
2020-07-19;15,00;9,00;4,00;22,00;3,00;3,00;3,00;3,00;3,00
2020-07-26;10,00;7,00;6,00;28,00;0,00;5,00;4,00;6,00;0,00
2020-08-02;14,00;6,00;4,00;26,00;4,00;6,00;4,00;2,00;2,00
2020-08-09;10,00;5,00;6,00;37,00;0,00;4,00;3,00;3,00;2,00
2020-08-16;15,00;16,00;7,00;36,00;0,00;5,00;0,00;2,00;0,00
2020-08-23;10,00;17,00;2,00;39,00;3,00;0,00;0,00;0,00;2,00
2020-08-30;12,00;19,00;6,00;37,00;4,00;0,00;0,00;0,00;2,00
2020-09-06;33,00;17,00;7,00;50,00;0,00;5,00;4,00;5,00;5,00
2020-09-13;8,00;15,00;8,00;37,00;0,00;0,00;2,00;2,00;3,00
2020-09-20;8,00;16,00;0,00;30,00;6,00;10,00;11,00;2,00;7,00
2020-09-27;11,00;14,00;5,00;39,00;0,00;0,00;0,00;3,00;3,00
2020-10-04;12,00;10,00;5,00;24,00;0,00;7,00;0,00;4,00;6,00
2020-10-11;14,00;10,00;4,00;36,00;0,00;6,00;0,00;3,00;0,00
2020-10-18;10,00;13,00;2,00;19,00;0,00;0,00;0,00;4,00;6,00
2020-10-25;8,00;9,00;5,00;14,00;0,00;0,00;0,00;0,00;3,00
2020-11-01;10,00;10,00;5,00;12,00;0,00;6,00;0,00;0,00;2,00
2020-11-08;13,00;5,00;0,00;24,00;0,00;0,00;5,00;3,00;0,00
2020-11-15;16,00;6,00;5,00;16,00;2,00;6,00;2,00;3,00;4,00
2020-11-22;12,00;9,00;10,00;16,00;0,00;0,00;2,00;0,00;5,00
2020-11-29;6,00;5,00;10,00;20,00;3,00;0,00;3,00;0,00;0,00
2020-12-06;8,00;11,00;7,00;19,00;0,00;2,00;5,00;0,00;3,00
2020-12-13;8,00;18,00;5,00;49,00;0,00;0,00;5,00;13,00;3,00
2020-12-20;12,00;25,00;9,00;48,00;0,00;4,00;3,00;7,00;0,00
2020-12-27;20,00;18,00;20,00;42,00;0,00;8,00;2,00;0,00;0,00
2021-01-03;11,00;9,00;12,00;40,00;0,00;5,00;7,00;2,00;0,00
2021-01-10;23,00;19,00;9,00;29,00;2,00;12,00;5,00;0,00;0,00
2021-01-17;9,00;13,00;7,00;35,00;5,00;2,00;7,00;0,00;2,00
2021-01-24;10,00;14,00;8,00;35,00;0,00;3,00;2,00;3,00;3,00
2021-01-31;14,00;19,00;8,00;35,00;0,00;5,00;4,00;4,00;2,00
2021-02-07;14,00;22,00;5,00;52,00;0,00;2,00;0,00;0,00;0,00
2021-02-14;9,00;17,00;7,00;24,00;0,00;4,00;4,00;2,00;8,00
2021-02-21;16,00;12,00;8,00;13,00;0,00;0,00;4,00;2,00;0,00
2021-02-28;16,00;11,00;7,00;30,00;4,00;2,00;4,00;2,00;5,00
2021-03-07;14,00;10,00;10,00;22,00;0,00;0,00;6,00;2,00;3,00
2021-03-14;8,00;11,00;5,00;28,00;0,00;2,00;4,00;3,00;2,00
2021-03-21;11,00;7,00;5,00;23,00;3,00;0,00;0,00;3,00;0,00
2021-03-28;9,00;7,00;0,00;29,00;5,00;2,00;0,00;5,00;0,00
2021-04-04;17,00;12,00;7,00;18,00;0,00;2,00;3,00;7,00;0,00
2021-04-11;17,00;14,00;6,00;21,00;0,00;2,00;14,00;0,00;3,00
2021-04-18;12,00;3,00;9,00;21,00;0,00;0,00;3,00;5,00;10,00
2021-04-25;6,00;10,00;5,00;19,00;0,00;2,00;2,00;3,00;2,00
2021-05-02;12,00;0,00;7,00;21,00;2,00;0,00;0,00;3,00;2,00
2021-05-09;9,00;10,00;8,00;22,00;0,00;0,00;0,00;4,00;0,00
2021-05-16;10,00;11,00;6,00;19,00;2,00;0,00;0,00;0,00;0,00
2021-05-23;13,00;10,00;13,00;26,00;4,00;0,00;0,00;2,00;4,00
2021-05-30;14,00;11,00;9,00;33,00;4,00;0,00;0,00;0,00;3,00
2021-06-06;20,00;17,00;8,00;28,00;0,00;2,00;5,00;4,00;3,00
2021-06-13;19,00;12,00;11,00;27,00;0,00;3,00;9,00;0,00;0,00
2021-06-20;17,00;7,00;12,00;30,00;4,00;3,00;30,00;0,00;4,00
2021-06-27;16,00;18,00;8,00;31,00;7,00;3,00;3,00;6,00;0,00
2021-07-04;25,00;15,00;10,00;31,00;0,00;2,00;10,00;3,00;3,00
