Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-01-05;21,00;47,60;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;100,80;42,00;0,00;0,00;0,00;78,75;0,00;0,00;0,00;0,00;0,00
2020-01-12;59,00;19,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,29;118,00;80,07;33,71;48,27;0,00;69,73;0,00;16,09;14,75;0,00;0,00
2020-01-19;40,00;59,26;0,00;16,30;0,00;31,00;0,00;0,00;0,00;0,00;128,00;96,00;20,00;0,00;0,00;112,00;32,00;0,00;0,00;0,00;0,00
2020-01-26;55,00;43,11;0,00;16,35;0,00;0,00;0,00;0,00;0,00;0,00;84,62;67,69;0,00;18,33;0,00;86,43;0,00;0,00;0,00;0,00;0,00
2020-02-02;51,00;115,11;0,00;0,00;0,00;0,00;0,00;0,00;14,00;17,00;51,00;80,75;0,00;0,00;0,00;153,00;0,00;0,00;16,11;17,45;0,00
2020-02-09;83,00;74,11;0,00;0,00;0,00;21,00;28,00;35,00;0,00;24,90;70,55;120,35;20,75;0,00;24,10;187,42;0,00;14,97;0,00;0,00;0,00
2020-02-16;28,00;73,68;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;64,00;72,00;0,00;25,45;0,00;112,00;0,00;0,00;0,00;14,67;0,00
2020-02-23;0,00;55,00;0,00;0,00;13,00;15,00;0,00;0,00;0,00;0,00;17,00;16,00;0,00;0,00;0,00;52,00;7,00;0,00;0,00;23,00;19,00
2020-03-01;41,00;70,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,80;28,70;106,60;0,00;0,00;60,13;43,73;0,00;0,00;0,00;43,73;50,57
2020-03-08;32,00;16,76;0,00;0,00;16,76;0,00;0,00;23,00;37,00;44,00;16,00;40,00;0,00;0,00;0,00;37,33;0,00;23,65;0,00;0,00;0,00
2020-03-15;0,00;0,00;26,00;13,00;0,00;0,00;0,00;0,00;0,00;19,00;9,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;16,00;49,00
2020-03-22;18,00;19,50;28,50;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;31,50;22,50;0,00;18,00;30,86;28,29;18,00;13,85;0,00;0,00
2020-03-29;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;15,00;0,00;16,50;0,00;27,00;16,00;0,00;0,00;0,00;18,75;22,50;0,00;0,00;0,00;0,00;57,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;16,00;0,00;0,00;29,09;0,00;0,00;0,00;0,00;0,00;20,00;16,00;0,00;12,00;26,67;0,00;29,33;0,00;0,00;0,00;26,67;0,00
2020-04-19;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;12,00;22,00;25,00
