Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
05/01/2020;24;16;7;19;13;43,2;4,8;3,2;19,2;7,38;57,23;62,77;14,77;9;6;55,5;1,5;9,88;8,47;22,59;16,94
12/01/2020;30;19;7;26;14;45;11,67;6,67;25;5,29;56,47;61,76;15,88;7,5;9;57;3;9;7,5;22,5;9
19/01/2020;30;23;10;26;10;41,67;8,33;3,33;20;7,5;63,75;58,13;15;6;10,5;61,5;4,5;7,5;9;25,5;24
26/01/2020;36;27;8;27;15;47,45;9,82;1,64;16,36;11,37;72;73,89;18,95;9,39;4,7;67,3;4,7;10,5;12;27;18
02/02/2020;31;28;9;27;13;44,05;8,16;3,26;22,84;7,29;65,65;71,12;16,41;8,86;7,38;67,9;5,9;8,86;8,86;26,57;13,29
09/02/2020;37;28;8;28;14;41,83;11,26;3,22;24,13;5,55;74;86,95;14,8;4,63;3,08;72,46;3,08;10,36;13,32;31,08;16,28
16/02/2020;46;37;7;32;16;47,64;13,14;4,93;27,93;9,2;71,76;84,64;18,4;6,13;6,13;90,47;6,13;7,42;11,87;28,19;17,81
23/02/2020;40;32;7;30;16;56,67;10;5;25;7,27;70,91;81,82;16,36;7,69;4,62;58,46;6,15;8,89;10,37;23,7;19,26
01/03/2020;42;28;10;26;13;45,23;8,08;4,85;16,15;3,65;65,74;69,39;27,39;6;3;54;1,5;10,5;10,5;24;16,5
08/03/2020;35;23;9;23;10;36,59;4,77;4,77;15,91;3,68;44,21;66,32;29,47;10,65;1,52;65,43;3,04;8,75;8,75;20,42;13,13
15/03/2020;23;9;4;13;6;18,07;1,64;1,64;6,57;1,77;19,46;30,08;14,15;6,13;1,53;35,27;1,53;4,31;1,44;7,19;10,06
22/03/2020;20;9;5;11;4;23,33;1,67;1,67;6,67;3,64;18,18;23,64;12,73;1,54;3,08;32,31;1,54;7,69;3,08;12,31;9,23
29/03/2020;24;17;4;9;6;29,14;6,86;3,43;8,57;3,69;20,31;24;11,08;0;3;40,5;3;6;3;16,5;7,5
05/04/2020;21;15;6;11;4;14,54;1,62;0;4,85;1,75;19,25;22,75;8,75;7,5;1,5;28,5;1,5;4,2;4,2;7;8,4
12/04/2020;20;13;3;13;4;28,33;0;0;10;1,82;18,18;23,64;9,09;4,62;3,08;33,85;3,08;5,71;2,86;10;7,14
19/04/2020;22;15;5;14;5;32,15;1,69;1,69;10,15;7,33;18,33;25,67;9,17;4,71;1,57;36,14;3,14;7,33;7,33;10,27;7,33
26/04/2020;29;15;4;18;5;37,06;3,22;3,22;8,06;3,63;25,38;30,81;7,25;7,63;3,05;38,16;4,58;5,8;4,35;13,05;15,95
03/05/2020;26;14;0;13;11;32,5;1,63;9,75;9,75;1,86;22,29;37,14;11,14;7,65;0;41,29;3,06;10,11;2,89;13;10,11
10/05/2020;29;23;10;21;10;47,76;5,12;5,12;11,94;7,25;29;45,31;16,31;7,63;3,05;51,89;4,58;12,21;6,11;19,84;18,32
