Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
05/01/2020;51;23;7;26;6;19;7;19;1;5;3;5;3;4;1;1;2;1;0,5;1;1
12/01/2020;52;24;8;24;6;20;7;20;1;4;5;4;3;4;1;1;2;1;0,5;0,5;1
19/01/2020;48;23;7;25;7;18;7;21;1;6;3;5;3;3;1;1;2;2;0,5;1;1
26/01/2020;48;25;9;26;7;19;8;21;2;4;4;4;3;4;1;1;1;2;0,5;1;1
02/02/2020;49;26;8;25;7;20;8;18;2;5;4;4;3;5;1;1;2;2;0,5;1;1
09/02/2020;53;30;10;29;7;20;7;22;2;5;5;5;4;4;2;2;2;2;0,5;1;1
16/02/2020;54;30;12;34;9;22;10;21;1;6;5;4;3;6;1;2;3;3;0,5;1;1
23/02/2020;50;28;10;29;8;20;8;21;1;5;3;5;2;6;1;1;2;3;0,5;1;1
01/03/2020;46;24;9;25;9;19;8;20;1;4;3;4;3;5;1;3;2;2;0,5;0,5;1
08/03/2020;64;22;9;25;6;17;7;18;1;4;3;4;3;4;1;1;1;2;0,5;1;1
15/03/2020;33;13;10;16;4;12;3;15;1;2;1;2;2;2;0,5;0,5;0,5;1;0,5;0,5;1
22/03/2020;15;11;6;11;5;10;2;12;0,5;2;1;2;2;2;0;1;1;0,5;0,5;0,5;1
29/03/2020;14;10;5;11;8;11;2;13;1;2;1;2;2;1;0,5;1;1;0,5;0,5;0,5;0,5
05/04/2020;14;12;5;13;6;10;3;11;0;2;1;2;2;2;0,5;0,5;1;0,5;0,5;0,5;0,5
12/04/2020;14;11;6;11;5;11;3;13;0,5;2;1;2;2;1;0,5;1;1;1;0,5;0,5;1
19/04/2020;13;12;5;13;5;12;3;13;1;2;1;3;3;2;0,5;1;1;0,5;0,5;0;1
26/04/2020;14;13;4;11;4;12;3;14;1;2;1;2;2;2;0,5;1;1;0,5;0,5;0,5;0,5
03/05/2020;16;14;6;14;4;13;3;15;0,5;3;1;2;4;3;0,5;1;1;0,5;0,5;0,5;0,5
