Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
05/01/2020;45;25;29;23;27;22;14;15;13;26;14;7;17;1;12;15;11;6;11;8;10;15;7;18;9;3;6;6
12/01/2020;44;26;37;23;24;22;16;16;11;30;16;7;16;1;11;15;14;8;12;8;13;12;8;23;13;3;8;7
19/01/2020;49;21;37;26;27;25;14;16;13;31;16;7;18;1;13;18;13;6;13;7;11;10;8;49;19;2;11;12
26/01/2020;53;25;41;30;33;30;17;18;12;28;18;10;18;2;15;16;13;9;11;7;11;14;9;27;15;3;10;8
02/02/2020;55;26;38;31;31;29;22;19;14;29;16;12;19;3;13;17;12;8;13;14;16;14;9;28;13;2;10;8
09/02/2020;67;26;38;30;30;30;21;20;15;26;16;10;24;3;16;19;16;7;12;12;14;14;9;29;17;1;10;11
16/02/2020;57;27;40;33;31;30;20;19;16;34;18;11;22;2;16;22;16;6;15;9;14;15;7;27;15;2;9;13
23/02/2020;57;30;38;31;31;28;23;18;13;31;17;12;20;2;13;20;16;7;15;12;13;16;9;28;22;2;12;11
01/03/2020;47;26;39;26;28;25;20;15;12;25;13;9;16;1;10;16;11;7;14;10;11;14;7;20;15;3;13;11
08/03/2020;42;27;34;25;30;32;21;18;13;24;14;7;15;1;11;15;14;6;12;10;8;11;7;15;8;2;6;7
15/03/2020;16;8;10;8;12;9;6;6;4;5;5;3;3;0;4;4;3;2;3;5;3;4;1;3;1;0;0,5;0,5
22/03/2020;11;3;3;2;3;2;2;0,5;0;1;2;0,5;2;0;1;1;1;0;1;1;1;1;0;4;1;0;0;1
29/03/2020;10;2;4;2;4;2;1;1;1;2;2;1;2;0;1;1;2;1;2;0;1;1;0;4;1;0,5;1;1
05/04/2020;9;2;3;2;2;2;1;1;1;2;8;1;2;1;5;1;1;0,5;0,5;1;1;0;0;2;1;0;0,5;0
12/04/2020;11;1;9;3;4;3;1;1;1;0;2;1;2;0;2;2;3;1;1;1;1;1;0,5;2;0,5;0;0;0
19/04/2020;11;2;3;2;3;2;2;2;1;2;3;1;1;0;1;1;1;1;1;1;2;1;1;3;1;0;0;0
26/04/2020;15;3;4;2;4;3;1;2;1;2;17;1;2;0;10;1;3;1;3;1;2;2;1;2;1;0;0;1
03/05/2020;13;2;9;3;3;1;2;1;2;2;4;1;2;0;2;2;3;1;1;1;1;2;0;3;0,5;0,5;1;0
10/05/2020;17;2;4;4;4;4;1;1;1;3;3;1;2;0;1;2;3;0;1;0,5;1;1;1;5;1;0;0,5;1
17/05/2020;20;1;5;3;5;3;1;3;1;5;4;1;3;1;1;2;2;2;2;1;2;2;1;5;2;0;0;1
24/05/2020;19;2;6;4;5;4;1;1;2;3;3;2;4;0;1;2;4;1;2;1;2;1;1;6;2;0,5;0;2
31/05/2020;25;3;7;5;8;4;2;3;2;6;4;2;3;0,5;3;4;6;1;2;2;3;2;2;7;3;0;0,5;1
07/06/2020;28;2;5;6;9;5;3;4;2;8;6;2;4;0;1;3;6;2;2;2;3;3;2;8;2;0,5;1;1
14/06/2020;30;2;4;6;13;5;3;3;3;10;6;4;5;0;2;3;5;2;2;2;4;1;2;8;3;0;1;0
21/06/2020;39;2;8;7;11;5;3;3;2;8;7;3;5;0;2;4;7;2;1;2;5;3;2;10;2;1;0,5;0
28/06/2020;62;3;7;8;13;6;5;4;1;11;7;4;5;2;2;5;8;2;3;2;5;4;3;10;3;0;1;0
05/07/2020;60;4;11;9;18;9;5;6;3;15;11;3;6;1;4;8;11;4;3;2;6;5;3;11;5;1;1;1
12/07/2020;63;4;12;12;22;10;6;6;3;17;13;8;7;0;5;9;10;5;4;3;6;6;3;16;5;1;2;2
19/07/2020;64;5;13;12;22;10;6;7;3;18;14;5;8;0;4;7;11;5;5;5;7;5;4;16;7;2;1;1
26/07/2020;69;6;17;17;23;12;8;7;4;22;13;8;12;0;5;8;14;5;8;5;10;6;5;20;9;1;2;1
02/08/2020;100;7;18;17;27;16;9;8;4;25;19;7;13;0;6;11;16;6;9;5;12;11;6;23;10;2;3;2
09/08/2020;93;6;20;17;27;14;9;10;6;23;18;6;14;1;6;10;16;4;8;6;12;8;6;21;8;3;2;1
