Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
05/01/2020;48;300;32;48;72;62,51;44,65;29,02;43,53;24;35;6;8
12/01/2020;48;304;32;48;72;54,55;41,45;27,27;37,09;23;38;7;8
19/01/2020;45;319,09;36,82;49,09;77,73;53,78;41,71;28,54;41,71;26;37;6;8
26/01/2020;45;315;40,91;53,18;73,64;58,17;38,41;26,34;36,22;23;33;6;8
02/02/2020;46;302,83;30,67;53,67;84,33;58,34;42,63;31,41;48,24;24;36;6;8
09/02/2020;49;330,75;36,75;57,17;77,58;62,36;44,55;27,84;41,2;28;36;8;8
16/02/2020;50;326,92;34,62;50;88,46;64,13;42,39;30,43;40,22;29;38;8;10
23/02/2020;47;317,25;31,33;54,83;78,33;57,07;42,52;26,86;39,17;30;32;7;7
01/03/2020;43;273,64;27,36;46,91;62,55;48,51;37,49;29,77;29,77;23;29;7;7
08/03/2020;60;276;24;40;56;44,44;31,11;27,78;30;21;26;7;7
15/03/2020;30;146,25;11,25;22,5;26,25;22,22;14,44;15,56;18,89;11;13;3;5
22/03/2020;14;70;7;14;14;14;8,62;11,85;9,69;6;8;2;3
29/03/2020;13;95,33;8,67;17,33;17,33;14,08;8,67;11,92;8,67;7;7;2;3
05/04/2020;13;78;8,67;17,33;13;15,17;9,75;13;7,58;6;7;2;3
12/04/2020;13;78;8,67;17,33;17,33;15,36;9,45;14,18;8,27;8;7;3;4
19/04/2020;12;68;8;16;12;15,27;8,73;14,18;8,73;7;8;2;3
26/04/2020;13;91;8,67;17,33;17,33;16,25;9,75;14,08;9,75;7;8;3;4
03/05/2020;15;78,75;7,5;18,75;18,75;17,14;10,71;12,86;9,64;9;8;3;5
10/05/2020;20;100;12;28;24;26,67;14,44;20;12,22;12;11;4;6
17/05/2020;21;126;16,8;29,4;29,4;30,95;16,58;21;16,58;14;13;4;7
24/05/2020;26;126,29;14,86;29,71;29,71;33,58;19,5;20,58;17,33;14;14;5;6
31/05/2020;33;169,13;20,63;37,13;45,38;45,1;25,3;24,2;23,1;20;18;7;8
07/06/2020;37;180,89;20,56;41,11;49,33;50,45;31,39;24,67;25,79;22;20;7;6
14/06/2020;43;199,36;23,45;39,09;50,82;57,33;30,87;27,56;28,67;25;25;8;12
21/06/2020;45;229,09;28,64;45;57,27;63,66;35,12;31,83;30,73;28;24;9;9
28/06/2020;51;231,46;27,46;51;66,69;74,28;39,91;32,15;33,26;33;27;10;8
05/07/2020;59;243,87;31,47;47,2;66,87;96,85;46,75;32,28;38,96;40;29;11;9
12/07/2020;62;248;31;42,63;65,88;84,14;45,39;33,21;35,43;40;100;12;11
19/07/2020;61;236,38;26,69;45,75;64,81;79,85;44,36;32,16;34,38;40;55;12;10
26/07/2020;62;244,13;27,13;46,5;65,88;81,93;44,29;29,89;35,43;41;41;12;10
02/08/2020;75;256,58;27,63;47,37;71,05;97,06;50,74;34,19;38,6;50;29;14;11
09/08/2020;76;276;28;48;72;98,03;52,87;34,14;37,45;52;31;14;9
16/08/2020;66;236,82;27,18;46,59;62,12;88,37;48,1;31,32;35,8;44;30;12;10
23/08/2020;61;219,6;28,47;52,87;61;59,89;38,82;31,05;31,05;37;28;9;9
30/08/2020;48;212;28;52;56;51,35;39,07;30,14;29,02;29;24;8;9
06/09/2020;41;217,3;28,7;45,1;65,6;44,32;45,43;26,59;26,59;27;23;7;8
