Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2020-01-05;12,00;32,00;28,00;22,00;150,00;28,00;26,00;21,00;8,00
2020-01-12;11,00;34,83;23,83;22,00;139,33;31,00;28,00;21,00;8,00
2020-01-19;10,00;38,00;24,00;22,00;156,00;28,00;27,00;20,00;8,00
2020-01-26;9,00;34,20;21,60;19,80;138,60;25,00;25,00;17,00;7,00
2020-02-02;10,00;36,00;22,00;22,00;158,00;22,00;24,00;18,00;7,00
2020-02-09;11,00;33,00;23,83;20,17;150,33;25,00;28,00;20,00;7,00
2020-02-16;11,00;36,67;23,83;22,00;155,83;25,00;27,00;19,00;7,00
2020-02-23;9,00;34,20;25,20;18,00;145,80;21,00;27,00;18,00;8,00
2020-03-01;9,00;28,80;19,80;16,20;126,00;17,00;24,00;17,00;7,00
2020-03-08;8,00;36,00;18,00;16,00;138,00;11,00;20,00;14,00;9,00
2020-03-15;5,00;16,67;13,33;8,33;65,00;10,00;9,00;9,00;6,00
2020-03-22;4,00;12,00;8,00;6,00;40,00;8,00;7,00;6,00;4,00
2020-03-29;3,00;9,00;4,50;4,50;33,00;8,00;8,00;6,00;3,00
2020-04-05;3,00;9,00;6,00;4,50;27,00;7,00;6,00;5,00;4,00
2020-04-12;3,00;9,00;6,00;4,50;27,00;7,00;7,00;6,00;3,00
2020-04-19;3,00;15,00;9,00;9,00;51,00;7,00;5,00;4,00;3,00
2020-04-26;3,00;15,00;9,00;9,00;63,00;7,00;6,00;5,00;2,00
2020-05-03;3,00;6,00;6,00;4,50;31,50;7,00;6,00;5,00;3,00
2020-05-10;3,00;6,00;4,50;4,50;37,50;7,00;7,00;6,00;3,00
2020-05-17;3,00;7,50;4,50;3,00;45,00;7,00;6,00;6,00;3,00
2020-05-24;3,00;7,50;6,00;4,50;52,50;8,00;9,00;5,00;3,00
2020-05-31;4,00;12,00;8,00;6,00;82,00;8,00;9,00;5,00;3,00
2020-06-07;4,00;16,00;10,00;6,00;88,00;8,00;10,00;5,00;3,00
2020-06-14;5,00;15,00;13,33;5,00;85,00;9,00;12,00;7,00;3,00
2020-06-21;5,00;22,50;15,00;10,00;145,00;9,00;15,00;7,00;3,00
2020-06-28;6,00;28,00;14,00;8,00;118,00;9,00;17,00;7,00;3,00
2020-07-05;7,00;28,00;14,00;7,00;108,50;9,00;23,00;9,00;3,00
2020-07-12;8,00;36,00;14,00;8,00;128,00;10,00;26,00;9,00;3,00
2020-07-19;7,00;24,50;14,00;7,00;106,75;9,00;26,00;10,00;4,00
2020-07-26;6,00;24,00;16,00;10,00;126,00;10,00;24,00;9,00;4,00
2020-08-02;7,00;15,75;12,25;7,00;113,75;10,00;21,00;8,00;4,00
2020-08-09;7,00;19,25;10,50;8,75;120,75;11,00;24,00;8,00;3,00
2020-08-16;6,00;22,00;14,00;12,00;122,00;10,00;14,00;7,00;3,00
2020-08-23;6,00;22,00;12,00;10,00;108,00;11,00;12,00;6,00;3,00
2020-08-30;4,00;16,00;12,00;10,00;106,00;10,00;10,00;7,00;3,00
2020-09-06;4,00;14,00;10,00;10,00;106,00;9,00;11,00;6,00;3,00
2020-09-13;4,00;14,00;12,00;8,00;114,00;9,00;10,00;6,00;3,00
2020-09-20;4,00;16,00;10,00;10,00;100,00;15,00;12,00;6,00;3,00
2020-09-27;4,00;14,00;10,00;8,00;88,00;11,00;10,00;5,00;3,00
2020-10-04;3,00;15,00;6,00;7,50;73,50;11,00;9,00;6,00;4,00
2020-10-11;4,00;14,00;8,00;10,00;90,00;10,00;8,00;6,00;3,00
2020-10-18;3,00;18,00;9,00;9,00;135,00;7,00;9,00;6,00;3,00
2020-10-25;3,00;9,00;6,00;4,50;51,00;11,00;7,00;5,00;3,00
2020-11-01;2,00;10,00;6,00;8,00;42,00;30,00;6,00;4,00;2,00
2020-11-08;2,00;10,00;6,00;6,00;46,00;10,00;6,00;5,00;3,00
2020-11-15;3,00;15,00;9,00;9,00;69,00;7,00;6,00;5,00;3,00
2020-11-22;3,00;18,00;12,00;9,00;78,00;7,00;6,00;5,00;3,00
2020-11-29;2,00;14,00;8,00;6,00;58,00;8,00;7,00;5,00;3,00
2020-12-06;4,00;10,00;10,00;6,00;64,00;10,00;6,00;6,00;3,00
2020-12-13;2,00;12,00;6,00;6,00;70,00;6,00;6,00;5,00;3,00
2020-12-20;3,00;12,00;7,50;4,50;66,00;8,00;6,00;6,00;3,00
2020-12-27;3,00;10,50;6,00;4,50;58,50;9,00;6,00;6,00;3,00
2021-01-03;3,00;15,00;12,00;9,00;105,00;10,00;7,00;5,00;3,00
2021-01-10;3,00;9,00;6,00;4,50;52,50;8,00;8,00;5,00;3,00
2021-01-17;3,00;9,00;4,50;4,50;51,00;9,00;7,00;4,00;3,00
2021-01-24;3,00;15,00;12,00;9,00;87,00;8,00;6,00;4,00;3,00
2021-01-31;3,00;9,00;4,50;4,50;45,00;8,00;6,00;4,00;3,00
2021-02-07;3,00;9,00;7,50;4,50;52,50;7,00;7,00;4,00;3,00
2021-02-14;3,00;15,00;12,00;15,00;126,00;8,00;7,00;4,00;4,00
2021-02-21;3,00;18,00;12,00;9,00;111,00;6,00;7,00;5,00;3,00
2021-02-28;3,00;9,00;4,50;4,50;52,50;6,00;7,00;4,00;3,00
2021-03-07;3,00;13,50;9,00;7,50;66,00;8,00;7,00;5,00;4,00
2021-03-14;3,00;9,00;6,00;4,50;52,50;7,00;8,00;5,00;3,00
2021-03-21;2,00;8,00;6,00;6,00;58,00;7,00;6,00;4,00;3,00
2021-03-28;2,00;8,00;6,00;6,00;62,00;7,00;6,00;3,00;4,00
2021-04-04;3,00;7,50;4,50;4,50;58,50;7,00;7,00;2,00;4,00
2021-04-11;3,00;6,00;6,00;4,50;43,50;7,00;7,00;3,00;4,00
2021-04-18;3,00;18,00;9,00;9,00;105,00;7,00;7,00;3,00;4,00
2021-04-25;3,00;9,00;6,00;6,00;52,50;8,00;6,00;3,00;4,00
2021-05-02;3,00;10,50;6,00;6,00;64,50;8,00;8,00;3,00;4,00
2021-05-09;3,00;12,00;6,00;6,00;66,00;8,00;8,00;3,00;4,00
