Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
05/01/2020;46;73;16;11;6;13,53;116,35;12,18;27,06
12/01/2020;47;77;16;11;4;14,77;118,17;10,74;25,51
19/01/2020;44;73;21;10;5;13,33;110,67;10,67;22,67
26/01/2020;43;71;14;10;4;13,44;94,06;9,41;21,5
02/02/2020;44;67;16;10;4;11;103,13;11;20,63
09/02/2020;47;70;11;9;5;12,09;89,97;9,4;21,49
16/02/2020;46;68;14;10;5;12,18;93,35;10,82;21,65
23/02/2020;41;53;17;10;5;13,23;80,68;9,26;22,48
01/03/2020;37;56;13;9;5;10,57;76,64;9,25;19,82
08/03/2020;41;56;9;11;7;7,94;93,9;10,58;51,58
15/03/2020;24;30;8;6;4;4;45,33;9,33;24
22/03/2020;13;17;5;4;3;2,6;26;6,5;11,7
29/03/2020;12;15;3;3;2;2,67;20;6,67;10,67
05/04/2020;11;17;4;4;2;2,75;20,63;5,5;11
12/04/2020;11;12;6;4;1;4,13;20,63;5,5;11
19/04/2020;12;13;3;3;2;4;18,67;5,33;10,67
26/04/2020;11;15;4;4;2;4,13;19,25;4,13;11
03/05/2020;12;13;1;5;2;4;21,33;4;12
10/05/2020;13;15;5;4;1;3,9;24,7;5,2;13
17/05/2020;15;19;8;5;2;5,45;27,27;5,45;16,36
24/05/2020;16;21;7;5;2;5,33;28;5,33;16
31/05/2020;22;32;7;7;2;8,25;34,38;5,5;12,38
07/06/2020;23;30;8;8;2;6,76;35,18;5,41;14,88
14/06/2020;28;33;7;8;2;9,33;41,33;5,33;14,67
21/06/2020;26;39;8;8;3;9,1;41,6;5,2;14,3
28/06/2020;30;50;7;9;3;9,55;50,45;6,82;13,64
05/07/2020;31;40;8;9;3;10,78;43,13;6,74;13,48
12/07/2020;29;35;7;9;3;9,67;53,86;6,9;12,43
19/07/2020;28;25;6;8;3;8;45,33;6,67;12
26/07/2020;23;23;6;8;3;8,12;36,53;6,76;13,53
02/08/2020;29;22;4;7;4;9,67;34,52;6,9;12,43
09/08/2020;26;30;7;7;4;7,8;31,2;5,2;11,7
16/08/2020;22;26;9;6;3;6,88;31,63;5,5;12,38
23/08/2020;21;26;7;6;3;6,56;27,56;5,25;11,81
30/08/2020;21;28;4;6;2;7,88;28,88;6,56;11,81
06/09/2020;19;24;7;5;3;6,79;33,93;5,43;13,57
13/09/2020;19;19;7;6;3;5,43;31,21;6,79;13,57
20/09/2020;17;24;5;6;2;5,23;26,15;5,23;13,08
27/09/2020;18;22;6;6;2;5,14;24,43;6,43;11,57
04/10/2020;19;22;8;6;2;5,43;28,5;6,79;13,57
11/10/2020;22;19;6;5;2;5,5;26,13;6,88;15,13
18/10/2020;21;24;5;5;2;5,6;23,8;7;15,4
25/10/2020;16;24;6;5;2;4;24;4;13,33
01/11/2020;13;17;5;4;2;3,9;26;5,2;10,4
08/11/2020;15;22;8;5;3;4,09;30;6,82;15
15/11/2020;18;28;7;5;3;4,15;27,69;6,92;15,23
22/11/2020;20;23;3;4;2;4;25,33;6,67;14,67
29/11/2020;22;26;9;5;2;5,5;30,25;5,5;13,75
06/12/2020;25;26;9;5;3;5,26;25;5,26;13,16
13/12/2020;28;28;9;6;2;5,33;26,67;5,33;13,33
20/12/2020;23;20;7;6;2;4,06;20,29;5,41;14,88
27/12/2020;26;24;4;5;2;6,84;24,63;5,47;16,42
03/01/2021;30;26;7;5;1;5,45;28,64;5,45;15
