Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;12,00;23,00;9,00;9,00;6,00;4,80;72,00;7,20;7,20
2020-01-12;15,00;21,00;14,00;8,00;7,00;4,29;72,86;8,57;6,43
2020-01-19;15,00;23,00;10,00;8,00;9,00;6,43;72,86;6,43;6,43
2020-01-26;15,00;19,00;12,00;8,00;8,00;4,29;57,86;6,43;6,43
2020-02-02;13,00;19,00;10,00;7,00;7,00;6,50;54,17;6,50;6,50
2020-02-09;14,00;16,00;10,00;7,00;9,00;4,67;58,33;7,00;7,00
2020-02-16;17,00;19,00;12,00;7,00;11,00;6,38;55,25;6,38;6,38
2020-02-23;15,00;14,00;11,00;5,00;11,00;4,29;42,86;6,43;6,43
2020-03-01;13,00;17,00;7,00;6,00;9,00;4,33;41,17;4,33;6,50
2020-03-08;11,00;13,00;9,00;5,00;7,00;2,20;37,40;4,40;8,80
2020-03-15;4,00;8,00;8,00;4,00;2,00;2,00;26,00;2,00;6,00
2020-03-22;4,00;7,00;6,00;4,00;2,00;1,00;40,00;2,00;4,00
2020-03-29;5,00;8,00;11,00;3,00;2,00;1,25;42,50;2,50;5,00
2020-04-05;6,00;8,00;11,00;4,00;2,00;2,00;26,00;2,00;4,00
2020-04-12;7,00;12,00;12,00;4,00;3,00;2,33;37,33;2,33;4,67
2020-04-19;7,00;13,00;15,00;4,00;2,00;2,33;56,00;2,33;7,00
2020-04-26;6,00;15,00;20,00;5,00;3,00;2,00;64,00;2,00;8,00
2020-05-03;5,00;12,00;17,00;9,00;4,00;2,50;117,50;2,50;12,50
2020-05-10;10,00;13,00;21,00;11,00;5,00;2,50;115,00;5,00;15,00
2020-05-17;13,00;20,00;25,00;13,00;9,00;6,50;119,17;4,33;17,33
2020-05-24;18,00;28,00;27,00;14,00;15,00;11,25;117,00;4,50;20,25
2020-05-31;30,00;46,00;33,00;15,00;16,00;13,85;136,15;4,62;20,77
2020-06-07;30,00;58,00;38,00;17,00;18,00;15,00;130,71;6,43;25,71
2020-06-14;33,00;62,00;38,00;16,00;25,00;17,60;158,40;6,60;26,40
2020-06-21;41,00;67,00;45,00;17,00;33,00;27,33;173,11;13,67;27,33
2020-06-28;45,00;74,00;47,00;19,00;41,00;25,71;171,43;12,86;25,71
2020-07-05;51,00;83,00;60,00;21,00;43,00;26,61;219,52;17,74;24,39
2020-07-12;51,00;91,00;59,00;21,00;39,00;28,83;219,52;19,96;24,39
2020-07-19;51,00;86,00;61,00;18,00;40,00;26,61;219,52;22,17;22,17
2020-07-26;53,00;74,00;54,00;21,00;48,00;28,71;218,63;24,29;22,08
2020-08-02;59,00;100,00;44,00;21,00;52,00;31,77;208,77;22,69;20,42
2020-08-09;54,00;73,00;37,00;19,00;45,00;33,75;171,00;20,25;20,25
2020-08-16;41,00;59,00;29,00;18,00;40,00;25,89;120,84;15,11;17,26
2020-08-23;27,00;40,00;24,00;15,00;26,00;18,00;101,25;13,50;15,75
2020-08-30;20,00;37,00;28,00;14,00;21,00;13,33;91,11;11,11;17,78
2020-09-06;17,00;37,00;28,00;13,00;16,00;10,63;85,00;8,50;12,75
2020-09-13;13,00;30,00;24,00;12,00;10,00;8,67;69,33;8,67;13,00
2020-09-20;7,00;18,00;16,00;9,00;9,00;4,67;51,33;7,00;11,67
2020-09-27;5,00;12,00;17,00;7,00;7,00;2,50;37,50;5,00;12,50
2020-10-04;6,00;9,00;12,00;6,00;9,00;2,00;28,00;4,00;10,00
2020-10-11;5,00;10,00;9,00;5,00;6,00;2,50;40,00;5,00;10,00
2020-10-18;5,00;13,00;3,00;3,00;3,00;1,25;32,50;5,00;10,00
2020-10-25;3,00;12,00;3,00;3,00;4,00;1,50;33,00;3,00;9,00
2020-11-01;2,00;10,00;5,00;2,00;2,00;1,00;18,00;2,00;4,00
2020-11-08;2,00;8,00;3,00;2,00;3,00;1,00;20,00;2,00;4,00
2020-11-15;3,00;7,00;3,00;3,00;3,00;1,50;36,00;3,00;6,00
2020-11-22;3,00;10,00;4,00;2,00;2,00;1,50;30,00;3,00;6,00
2020-11-29;2,00;8,00;3,00;2,00;2,00;1,00;18,00;2,00;4,00
2020-12-06;2,00;6,00;5,00;2,00;3,00;2,00;18,00;2,00;4,00
2020-12-13;3,00;4,00;3,00;2,00;2,00;1,50;27,00;3,00;6,00
2020-12-20;4,00;9,00;4,00;2,00;3,00;1,00;22,00;2,00;4,00
2020-12-27;5,00;13,00;6,00;4,00;4,00;2,50;50,00;2,50;7,50
2021-01-03;7,00;12,00;7,00;3,00;2,00;2,33;44,33;2,33;7,00
2021-01-10;7,00;12,00;3,00;3,00;2,00;2,33;42,00;2,33;7,00
2021-01-17;7,00;10,00;5,00;3,00;3,00;2,33;39,67;2,33;7,00
2021-01-24;6,00;12,00;9,00;3,00;2,00;2,00;34,00;2,00;6,00
2021-01-31;9,00;12,00;8,00;4,00;3,00;2,25;38,25;2,25;6,75
2021-02-07;8,00;16,00;5,00;3,00;4,00;2,00;24,00;4,00;6,00
2021-02-14;11,00;24,00;8,00;4,00;5,00;2,20;50,60;4,40;6,60
2021-02-21;12,00;21,00;13,00;3,00;5,00;2,40;67,20;7,20;9,60
2021-02-28;12,00;20,00;12,00;4,00;7,00;4,80;62,40;4,80;9,60
2021-03-07;12,00;25,00;7,00;5,00;9,00;2,00;54,00;4,00;10,00
2021-03-14;13,00;24,00;15,00;4,00;11,00;2,17;56,33;4,33;10,83
2021-03-21;13,00;22,00;15,00;4,00;14,00;2,17;78,00;6,50;10,83
2021-03-28;10,00;27,00;26,00;3,00;20,00;2,00;66,00;4,00;10,00
2021-04-04;10,00;29,00;17,00;4,00;10,00;4,00;68,00;6,00;12,00
2021-04-11;12,00;31,00;29,00;4,00;10,00;6,00;76,00;6,00;12,00
2021-04-18;16,00;32,00;28,00;4,00;10,00;6,86;93,71;9,14;13,71
2021-04-25;22,00;34,00;27,00;6,00;12,00;8,80;105,60;8,80;13,20
2021-05-02;28,00;35,00;30,00;8,00;14,00;8,62;112,00;8,62;12,92
2021-05-09;30,00;46,00;32,00;13,00;16,00;10,71;124,29;8,57;12,86
2021-05-16;29,00;36,00;29,00;16,00;22,00;13,38;100,38;8,92;15,62
