Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;25,00;41,00;28,00;12,00;7,00;91,67;37,50;50,00;16,67
2020-01-12;25,00;46,00;29,00;13,00;8,00;104,17;45,83;50,00;16,67
2020-01-19;26,00;44,00;26,00;12,00;7,00;89,14;37,14;44,57;14,86
2020-01-26;28,00;41,00;25,00;10,00;7,00;100,00;36,00;48,00;16,00
2020-02-02;34,00;46,00;29,00;11,00;6,00;90,67;30,22;49,11;15,11
2020-02-09;30,00;43,00;25,00;11,00;7,00;101,25;30,00;48,75;15,00
2020-02-16;33,00;46,00;25,00;12,00;6,00;107,25;41,25;49,50;16,50
2020-02-23;26,00;47,00;21,00;9,00;7,00;60,67;30,33;52,00;13,00
2020-03-01;25,00;33,00;17,00;8,00;6,00;62,50;25,00;45,83;12,50
2020-03-08;19,00;26,00;13,00;6,00;4,00;19,00;19,00;38,00;11,40
2020-03-15;8,00;17,00;8,00;3,00;2,00;16,00;12,00;24,00;8,00
2020-03-22;8,00;11,00;5,00;3,00;2,00;16,00;8,00;20,00;8,00
2020-03-29;10,00;12,00;6,00;3,00;1,00;13,33;6,67;13,33;6,67
2020-04-05;9,00;11,00;5,00;2,00;2,00;13,50;9,00;22,50;9,00
2020-04-12;10,00;14,00;5,00;2,00;2,00;13,33;13,33;16,67;6,67
2020-04-19;11,00;13,00;9,00;2,00;2,00;18,33;14,67;14,67;7,33
2020-04-26;11,00;16,00;14,00;2,00;2,00;18,33;22,00;14,67;7,33
2020-05-03;13,00;11,00;17,00;3,00;2,00;26,00;30,33;21,67;8,67
2020-05-10;18,00;16,00;18,00;3,00;1,00;31,50;45,00;22,50;13,50
2020-05-17;25,00;23,00;27,00;5,00;2,00;50,00;45,83;20,83;12,50
2020-05-24;28,00;28,00;31,00;5,00;3,00;64,00;44,00;20,00;12,00
2020-05-31;36,00;45,00;30,00;7,00;4,00;100,00;52,00;24,00;12,00
2020-06-07;41,00;58,00;32,00;8,00;4,00;123,00;57,40;28,70;16,40
2020-06-14;43,00;79,00;25,00;8,00;4,00;144,64;58,64;31,27;15,64
2020-06-21;46,00;75,00;38,00;8,00;5,00;196,55;71,09;46,00;16,73
2020-06-28;53,00;87,00;35,00;10,00;5,00;216,08;73,38;48,92;16,31
2020-07-05;59,00;96,00;38,00;10,00;6,00;232,07;74,73;51,13;15,73
2020-07-12;55,00;100,00;47,00;11,00;7,00;255,36;82,50;58,93;15,71
2020-07-19;56,00;84,00;49,00;12,00;5,00;276,00;80,00;72,00;16,00
2020-07-26;62,00;71,00;42,00;11,00;7,00;310,00;82,67;78,53;16,53
2020-08-02;72,00;87,00;40,00;10,00;6,00;344,00;76,00;80,00;20,00
2020-08-09;64,00;70,00;30,00;10,00;5,00;392,00;48,00;68,00;16,00
2020-08-16;57,00;76,00;34,00;9,00;4,00;342,00;57,00;73,29;16,29
2020-08-23;41,00;60,00;30,00;9,00;4,00;196,80;57,40;73,80;16,40
2020-08-30;37,00;64,00;34,00;9,00;4,00;172,67;57,56;61,67;16,44
2020-09-06;37,00;65,00;31,00;9,00;4,00;139,78;78,11;57,56;16,44
2020-09-13;32,00;52,00;25,00;8,00;3,00;116,00;60,00;56,00;16,00
2020-09-20;27,00;35,00;27,00;7,00;3,00;88,71;38,57;42,43;15,43
2020-09-27;20,00;32,00;18,00;7,00;3,00;80,00;32,00;40,00;16,00
2020-10-04;21,00;29,00;18,00;6,00;4,00;79,80;37,80;37,80;16,80
2020-10-11;21,00;26,00;13,00;4,00;3,00;63,00;29,40;37,80;16,80
2020-10-18;21,00;25,00;12,00;3,00;2,00;42,00;21,00;33,60;16,80
2020-10-25;13,00;19,00;11,00;3,00;3,00;39,00;21,67;26,00;13,00
2020-11-01;8,00;21,00;8,00;2,00;2,00;28,00;16,00;20,00;12,00
2020-11-08;9,00;27,00;10,00;2,00;2,00;31,50;22,50;27,00;13,50
2020-11-15;9,00;18,00;7,00;3,00;2,00;27,00;18,00;22,50;13,50
2020-11-22;10,00;23,00;7,00;2,00;2,00;35,00;20,00;25,00;15,00
2020-11-29;11,00;17,00;12,00;2,00;2,00;25,67;11,00;14,67;11,00
2020-12-06;12,00;19,00;8,00;2,00;2,00;32,00;16,00;20,00;12,00
