Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;62,00;19,00;52,00;81,00;3,00;74,98;2,88;20,19;15,86
2020-01-12;46,00;17,00;50,00;74,00;2,00;77,63;2,88;20,13;17,25
2020-01-19;44,00;17,00;52,00;68,00;3,00;77,73;2,93;19,07;19,07
2020-01-26;48,00;17,00;46,00;63,00;3,00;85,82;2,91;24,73;24,73
2020-02-02;41,00;13,00;47,00;59,00;5,00;59,38;5,66;31,10;29,69
2020-02-09;40,00;15,00;36,00;57,00;3,00;52,86;5,71;28,57;31,43
2020-02-16;39,00;19,00;46,00;49,00;3,00;53,44;2,89;28,89;26,00
2020-02-23;36,00;15,00;35,00;47,00;2,00;47,52;4,32;30,24;24,48
2020-03-01;28,00;11,00;45,00;56,00;3,00;40,60;4,20;30,80;36,40
2020-03-08;34,00;11,00;41,00;100,00;6,00;22,67;4,25;38,25;53,83
2020-03-15;15,00;6,00;21,00;39,00;3,00;21,00;3,00;27,00;21,00
2020-03-22;16,00;2,00;18,00;22,00;1,00;17,45;1,45;16,00;20,36
2020-03-29;14,00;9,00;11,00;27,00;1,00;15,40;5,60;15,40;28,00
2020-04-05;11,00;6,00;19,00;24,00;1,00;15,13;2,75;11,00;12,38
2020-04-12;13,00;5,00;19,00;26,00;1,00;17,33;2,89;11,56;8,67
2020-04-19;17,00;6,00;13,00;24,00;1,00;18,42;1,42;9,92;7,08
2020-04-26;10,00;6,00;17,00;28,00;0,50;14,29;1,43;8,57;7,14
2020-05-03;10,00;2,00;13,00;26,00;1,00;14,29;1,43;10,00;7,14
2020-05-10;11,00;5,00;10,00;26,00;1,00;18,86;1,57;9,43;7,86
2020-05-17;15,00;6,00;12,00;31,00;1,00;16,50;3,00;10,50;7,50
2020-05-24;13,00;11,00;15,00;31,00;1,00;20,22;2,89;10,11;5,78
2020-05-31;19,00;5,00;22,00;30,00;0,50;21,92;2,92;11,69;5,85
2020-06-07;18,00;7,00;17,00;33,00;1,00;23,54;1,38;11,08;6,92
2020-06-14;40,00;9,00;21,00;32,00;0,50;27,14;1,43;14,29;7,14
2020-06-21;39,00;12,00;25,00;29,00;1,00;28,89;1,44;14,44;5,78
2020-06-28;22,00;8,00;17,00;33,00;1,00;30,25;1,38;15,13;5,50
2020-07-05;26,00;10,00;27,00;37,00;0,50;28,89;2,89;15,89;5,78
