Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;72,00;13,00;17,00;29,00;46,00;15,00;41,00;47,00;1,00
2019-01-13;73,00;16,00;17,00;29,00;48,00;19,00;38,00;40,00;1,00
2019-01-20;53,00;13,00;15,00;26,00;40,00;17,00;33,00;35,00;1,00
2019-01-27;46,00;10,00;13,00;24,00;30,00;13,00;27,00;30,00;1,00
2019-02-03;46,00;12,00;12,00;25,00;31,00;10,00;25,00;33,00;1,00
2019-02-10;49,00;13,00;11,00;31,00;36,00;10,00;27,00;32,00;1,00
2019-02-17;48,00;10,00;12,00;31,00;38,00;10,00;27,00;32,00;1,00
2019-02-24;47,00;17,00;11,00;29,00;35,00;11,00;24,00;28,00;1,00
2019-03-03;63,00;15,00;12,00;31,00;37,00;11,00;35,00;33,00;1,00
2019-03-10;49,00;14,00;13,00;29,00;36,00;16,00;35,00;31,00;1,00
2019-03-17;64,00;9,00;14,00;32,00;48,00;18,00;36,00;64,00;1,00
2019-03-24;61,00;16,00;15,00;34,00;48,00;16,00;34,00;41,00;2,00
2019-03-31;67,00;15,00;14,00;27,00;45,00;14,00;40,00;28,00;1,00
2019-04-07;64,00;20,00;16,00;27,00;52,00;15,00;31,00;32,00;1,00
2019-04-14;52,00;24,00;17,00;28,00;53,00;14,00;36,00;27,00;1,00
2019-04-21;52,00;22,00;17,00;27,00;53,00;17,00;37,00;26,00;1,00
2019-04-28;55,00;17,00;18,00;22,00;48,00;14,00;36,00;26,00;1,00
2019-05-05;50,00;17,00;20,00;25,00;39,00;12,00;27,00;26,00;2,00
2019-05-12;47,00;15,00;19,00;26,00;38,00;13,00;27,00;27,00;1,00
2019-05-19;48,00;15,00;20,00;27,00;38,00;12,00;34,00;29,00;1,00
2019-05-26;49,00;18,00;17,00;25,00;48,00;11,00;32,00;33,00;1,00
2019-06-02;55,00;12,00;16,00;28,00;40,00;11,00;29,00;28,00;1,00
2019-06-09;58,00;12,00;19,00;27,00;44,00;14,00;32,00;30,00;1,00
2019-06-16;53,00;14,00;17,00;28,00;43,00;15,00;28,00;31,00;1,00
2019-06-23;48,00;13,00;14,00;24,00;44,00;13,00;24,00;29,00;1,00
2019-06-30;64,00;11,00;15,00;27,00;48,00;13,00;26,00;29,00;1,00
2019-07-07;68,00;15,00;19,00;26,00;48,00;13,00;45,00;30,00;1,00
2019-07-14;75,00;18,00;18,00;29,00;63,00;14,00;40,00;31,00;1,00
2019-07-21;61,00;14,00;16,00;29,00;53,00;14,00;37,00;31,00;1,00
2019-07-28;74,00;18,00;20,00;29,00;56,00;17,00;38,00;35,00;1,00
2019-08-04;74,00;12,00;17,00;30,00;62,00;17,00;43,00;36,00;1,00
2019-08-11;67,00;16,00;16,00;29,00;63,00;17,00;35,00;33,00;1,00
2019-08-18;68,00;16,00;15,00;31,00;59,00;17,00;35,00;34,00;1,00
2019-08-25;58,00;13,00;15,00;33,00;51,00;17,00;26,00;33,00;1,00
2019-09-01;68,00;19,00;17,00;27,00;48,00;16,00;33,00;33,00;1,00
2019-09-08;75,00;21,00;16,00;26,00;52,00;14,00;50,00;38,00;1,00
2019-09-15;77,00;19,00;17,00;24,00;51,00;15,00;41,00;39,00;1,00
2019-09-22;96,00;25,00;21,00;29,00;57,00;14,00;44,00;39,00;1,00
2019-09-29;82,00;19,00;21,00;25,00;55,00;16,00;39,00;37,00;1,00
2019-10-06;68,00;18,00;17,00;25,00;60,00;14,00;45,00;32,00;1,00
2019-10-13;64,00;21,00;16,00;23,00;57,00;19,00;40,00;32,00;1,00
2019-10-20;65,00;19,00;14,00;19,00;67,00;19,00;34,00;34,00;1,00
2019-10-27;69,00;18,00;14,00;22,00;64,00;20,00;30,00;28,00;1,00
