Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;29,00;39,00;59,00;44,00;55,00;45,24;34,80;67,28;33,64
2020-01-12;33,00;40,00;60,00;45,00;57,00;50,68;40,07;74,25;36,54
2020-01-19;31,00;41,00;59,00;43,00;54,00;50,08;39,35;66,77;36,96
2020-01-26;31,00;40,00;59,00;40,00;57,00;46,50;35,77;59,62;32,19
2020-02-02;33,00;37,00;56,00;38,00;61,00;44,79;33,00;63,64;34,18
2020-02-09;33,00;38,00;51,00;37,00;63,00;48,32;35,36;64,82;35,36
2020-02-16;33,00;38,00;58,00;39,00;63,00;45,96;35,36;62,46;35,36
2020-02-23;28,00;33,00;45,00;33,00;57,00;30,33;28,00;59,50;33,83
2020-03-01;24,00;30,00;41,00;31,00;55,00;30,00;26,40;52,80;33,60
2020-03-08;21,00;23,00;35,00;25,00;36,00;11,67;25,67;45,50;32,67
2020-03-15;8,00;12,00;18,00;15,00;19,00;10,29;12,57;33,14;24,00
2020-03-22;7,00;9,00;14,00;10,00;12,00;9,33;10,50;22,17;17,50
2020-03-29;7,00;8,00;12,00;8,00;10,00;8,17;8,17;18,67;15,17
2020-04-05;7,00;9,00;13,00;10,00;12,00;9,33;7,00;22,17;15,17
2020-04-12;6,00;9,00;17,00;10,00;12,00;9,60;8,40;20,40;15,60
2020-04-19;6,00;8,00;17,00;9,00;11,00;9,60;8,40;20,40;15,60
2020-04-26;6,00;8,00;20,00;9,00;10,00;10,80;12,00;20,40;15,60
2020-05-03;7,00;8,00;22,00;14,00;12,00;10,50;11,67;22,17;18,67
2020-05-10;7,00;8,00;28,00;16,00;14,00;12,83;15,17;24,50;21,00
2020-05-17;9,00;11,00;35,00;19,00;17,00;19,13;18,00;23,63;24,75
2020-05-24;12,00;12,00;39,00;21,00;24,00;26,40;19,20;24,00;25,20
2020-05-31;17,00;18,00;41,00;25,00;25,00;37,64;21,86;26,71;25,50
2020-06-07;19,00;21,00;54,00;27,00;30,00;48,69;23,75;28,50;30,88
2020-06-14;23,00;26,00;50,00;27,00;36,00;55,20;25,30;31,05;31,05
2020-06-21;24,00;28,00;51,00;29,00;43,00;67,43;27,43;35,43;29,71
2020-06-28;28,00;31,00;51,00;33,00;55,00;84,00;33,83;36,17;29,17
2020-07-05;34,00;34,00;60,00;36,00;55,00;87,93;35,17;43,38;29,31
2020-07-12;31,00;33,00;68,00;37,00;57,00;94,19;42,92;48,88;29,81
2020-07-19;30,00;29,00;74,00;38,00;58,00;97,20;42,00;54,00;32,40
2020-07-26;33,00;25,00;71,00;36,00;66,00;103,71;40,07;54,21;31,82
2020-08-02;39,00;29,00;65,00;40,00;75,00;107,55;34,27;54,36;31,91
2020-08-09;39,00;27,00;56,00;36,00;71,00;112,41;26,38;53,91;30,97
2020-08-16;32,00;27,00;61,00;34,00;69,00;93,63;28,44;54,52;28,44
2020-08-23;26,00;25,00;46,00;34,00;57,00;70,91;27,18;59,09;28,36
2020-08-30;24,00;25,00;53,00;34,00;49,00;58,80;26,40;54,00;30,00
2020-09-06;24,00;26,00;55,00;35,00;44,00;51,60;31,20;50,40;27,60
2020-09-13;22,00;22,00;49,00;32,00;34,00;40,53;24,32;46,32;25,47
2020-09-20;19,00;20,00;50,00;29,00;33,00;32,06;22,56;42,75;23,75
2020-09-27;18,00;19,00;51,00;27,00;32,00;28,80;19,20;44,40;28,80
2020-10-04;18,00;18,00;47,00;24,00;35,00;27,60;18,00;43,20;30,00
2020-10-11;19,00;14,00;40,00;20,00;28,00;21,38;20,19;41,56;29,69
2020-10-18;19,00;13,00;31,00;16,00;22,00;16,63;17,81;38,00;28,50
2020-10-25;11,00;11,00;23,00;13,00;18,00;12,10;13,20;30,80;22,00
2020-11-01;7,00;10,00;21,00;7,00;14,00;9,33;14,00;25,67;19,83
2020-11-08;8,00;12,00;23,00;8,00;17,00;8,00;14,86;28,57;24,00
2020-11-15;8,00;12,00;25,00;8,00;16,00;9,14;16,00;24,00;22,86
2020-11-22;9,00;11,00;23,00;8,00;15,00;10,13;16,88;23,63;22,50
2020-11-29;9,00;13,00;26,00;7,00;18,00;10,13;16,88;24,75;20,25
2020-12-06;11,00;12,00;24,00;7,00;17,00;12,22;19,56;28,11;23,22
2020-12-13;12,00;11,00;24,00;7,00;18,00;12,00;13,20;27,60;22,80
2020-12-20;13,00;12,00;30,00;9,00;16,00;10,64;11,82;23,64;24,82
2020-12-27;14,00;14,00;35,00;10,00;21,00;12,83;14,00;23,33;28,00
2021-01-03;14,00;13,00;31,00;11,00;16,00;12,83;12,83;23,33;24,50
2021-01-10;13,00;13,00;28,00;9,00;16,00;11,82;11,82;20,09;26,00
2021-01-17;12,00;13,00;28,00;9,00;15,00;14,40;12,00;22,80;26,40
2021-01-24;10,00;12,00;32,00;10,00;14,00;16,67;11,11;17,78;24,44
2021-01-31;12,00;15,00;36,00;10,00;15,00;18,55;12,00;16,36;22,91
2021-02-07;16,00;15,00;39,00;10,00;18,00;23,38;14,77;23,38;33,23
2021-02-14;16,00;16,00;43,00;11,00;20,00;20,57;18,29;24,00;36,57
2021-02-21;14,00;14,00;41,00;10,00;22,00;16,33;16,33;25,67;30,33
2021-02-28;14,00;14,00;36,00;11,00;23,00;15,17;15,17;23,33;30,33
2021-03-07;14,00;14,00;36,00;12,00;25,00;12,83;16,33;24,50;35,00
2021-03-14;13,00;13,00;41,00;11,00;26,00;13,00;16,55;27,18;37,82
2021-03-21;14,00;12,00;40,00;8,00;30,00;15,17;16,33;25,67;43,17
2021-03-28;10,00;11,00;39,00;8,00;29,00;14,44;14,44;20,00;42,22
2021-04-04;10,00;14,00;43,00;9,00;22,00;21,11;15,56;20,00;45,56
2021-04-11;10,00;16,00;41,00;9,00;26,00;22,22;15,56;22,22;43,33
2021-04-18;12,00;16,00;41,00;10,00;28,00;25,20;20,40;26,40;45,60
2021-04-25;16,00;17,00;43,00;11,00;31,00;33,23;22,15;27,08;43,08
2021-05-02;19,00;19,00;45,00;16,00;36,00;38,00;22,56;30,88;45,13
2021-05-09;22,00;23,00;43,00;22,00;44,00;44,00;23,16;32,42;46,32
2021-05-16;23,00;24,00;52,00;26,00;52,00;48,30;24,15;36,80;44,85
2021-05-23;24,00;27,00;52,00;32,00;58,00;58,80;28,80;39,60;45,60
2021-05-30;25,00;27,00;56,00;34,00;62,00;65,91;26,14;39,77;39,77
2021-06-06;28,00;28,00;55,00;38,00;69,00;68,83;28,00;40,83;44,33
2021-06-13;28,00;29,00;55,00;34,00;70,00;84,00;26,83;38,50;46,67
2021-06-20;30,00;32,00;60,00;37,00;77,00;92,40;31,20;43,20;45,60
2021-06-27;30,00;34,00;56,00;38,00;80,00;91,15;31,15;41,54;46,15
2021-07-04;32,00;38,00;72,00;43,00;82,00;97,19;33,19;43,85;45,04
2021-07-11;33,00;38,00;63,00;40,00;86,00;90,75;34,18;44,79;48,32
2021-07-18;32,00;36,00;76,00;41,00;85,00;93,63;39,11;47,41;46,22
2021-07-25;34,00;39,00;69,00;44,00;84,00;93,79;46,90;50,41;42,21
2021-08-01;41,00;40,00;68,00;45,00;94,00;101,91;46,86;52,71;41,00
2021-08-08;43,00;41,00;67,00;45,00;100,00;116,22;46,49;52,30;39,51
2021-08-15;37,00;38,00;62,00;43,00;89,00;112,19;44,16;53,71;39,39
2021-08-22;33,00;35,00;59,00;42,00;83,00;82,50;37,71;50,68;36,54
2021-08-29;30,00;34,00;57,00;38,00;71,00;72,00;36,00;48,00;39,60
2021-09-05;29,00;33,00;56,00;40,00;68,00;61,63;32,63;47,13;37,46
2021-09-12;28,00;30,00;53,00;39,00;54,00;46,67;31,50;47,83;35,00
2021-09-19;27,00;30,00;48,00;40,00;52,00;42,26;29,35;46,96;34,04
2021-09-26;27,00;27,00;57,00;35,00;53,00;38,74;27,00;43,43;35,22
2021-10-03;26,00;28,00;56,00;38,00;56,00;37,82;27,18;48,45;35,45
2021-10-10;29,00;30,00;53,00;38,00;52,00;41,08;31,42;44,71;37,46
2021-10-17;28,00;27,00;55,00;35,00;47,00;37,33;29,17;40,83;32,67
2021-10-24;29,00;28,00;51,00;29,00;44,00;39,44;24,36;39,44;32,48
2021-10-31;26,00;31,00;44,00;29,00;43,00;37,82;23,64;35,45;30,73
2021-11-07;24,00;27,00;42,00;25,00;41,00;33,14;21,71;35,43;27,43
2021-11-14;23,00;21,00;37,00;21,00;43,00;33,35;19,55;33,35;28,75
2021-11-21;20,00;19,00;32,00;17,00;37,00;29,41;17,65;32,94;31,76
2021-11-28;20,00;17,00;30,00;16,00;40,00;30,59;16,47;29,41;27,06
