Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;38,00;23,00;18,00;17,00;34,00;7,00;19,00;33,00;6,00
2020-01-12;35,00;42,00;33,00;21,00;36,00;6,00;24,00;33,00;6,00
2020-01-19;43,00;34,00;26,00;23,00;33,00;11,00;17,00;32,00;7,00
2020-01-26;37,00;25,00;26,00;16,00;35,00;7,00;23,00;29,00;5,00
2020-02-02;42,00;25,00;24,00;21,00;36,00;8,00;23,00;26,00;6,00
2020-02-09;45,00;17,00;33,00;13,00;42,00;10,00;17,00;23,00;6,00
2020-02-16;47,00;19,00;28,00;12,00;38,00;6,00;22,00;26,00;7,00
2020-02-23;38,00;22,00;19,00;11,00;39,00;6,00;18,00;21,00;6,00
2020-03-01;28,00;9,00;28,00;9,00;31,00;5,00;12,00;20,00;5,00
2020-03-08;24,00;7,00;22,00;8,00;21,00;2,00;8,00;12,00;6,00
2020-03-15;9,00;4,00;0,00;3,00;4,00;1,00;5,00;14,00;5,00
2020-03-22;7,00;0,00;9,00;3,00;5,00;2,00;3,00;10,00;4,00
2020-03-29;6,00;0,00;4,00;2,00;7,00;1,00;0,00;7,00;4,00
2020-04-05;7,00;7,00;0,00;3,00;11,00;6,00;2,00;8,00;5,00
2020-04-12;4,00;0,00;0,00;4,00;9,00;3,00;0,00;9,00;4,00
2020-04-19;6,00;0,00;19,00;3,00;7,00;1,00;12,00;9,00;4,00
2020-04-26;6,00;0,00;7,00;4,00;8,00;2,00;6,00;10,00;4,00
2020-05-03;10,00;6,00;6,00;5,00;9,00;2,00;2,00;11,00;4,00
2020-05-10;10,00;0,00;15,00;4,00;14,00;3,00;5,00;11,00;5,00
2020-05-17;8,00;0,00;0,00;7,00;16,00;4,00;10,00;11,00;6,00
2020-05-24;11,00;9,00;10,00;9,00;23,00;6,00;7,00;10,00;5,00
2020-05-31;24,00;8,00;15,00;10,00;25,00;4,00;9,00;15,00;8,00
2020-06-07;28,00;0,00;15,00;12,00;37,00;10,00;8,00;30,00;20,00
2020-06-14;36,00;24,00;21,00;11,00;37,00;15,00;13,00;21,00;13,00
