Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;63,00;48,68;97,36;17,18;14,32;27,00;36,00;31,00;15,00
2020-01-12;63,00;47,25;81,61;14,32;11,45;23,00;36,00;27,00;14,00
2020-01-19;69,00;48,88;77,63;12,94;15,81;20,00;33,00;24,00;13,00
2020-01-26;63,00;41,52;75,89;12,89;15,75;18,00;28,00;23,00;11,00
2020-02-02;66,00;37,30;86,09;12,91;12,91;20,00;33,00;22,00;11,00
2020-02-09;70,00;35,00;103,54;11,67;10,21;18,00;37,00;22,00;12,00
2020-02-16;68,00;41,96;96,94;11,57;10,13;18,00;34,00;21,00;13,00
2020-02-23;58,00;48,10;77,80;12,73;8,49;16,00;33,00;24,00;9,00
2020-03-01;44,00;42,53;49,87;8,80;5,87;17,00;33,00;19,00;8,00
2020-03-08;65,00;88,11;96,78;13,00;5,78;9,00;48,00;30,00;8,00
2020-03-15;21,00;16,80;14,00;2,80;1,40;2,00;9,00;10,00;6,00
2020-03-22;4,00;4,00;2,67;1,33;1,33;2,00;4,00;3,00;2,00
2020-03-29;4,00;4,00;2,67;0,67;1,33;1,00;2,00;4,00;2,00
2020-04-05;3,00;4,50;6,00;1,50;1,50;2,00;1,00;4,00;2,00
2020-04-12;3,00;3,00;4,50;0,75;1,50;1,00;2,00;4,00;2,00
2020-04-19;3,00;1,50;3,00;0,75;1,50;1,00;3,00;3,00;2,00
2020-04-26;4,00;4,00;4,00;1,00;2,00;2,00;1,00;3,00;1,00
2020-05-03;3,00;1,50;6,00;1,50;1,50;1,00;2,00;4,00;2,00
2020-05-10;3,00;3,00;4,50;1,50;0,75;1,00;1,00;3,00;2,00
2020-05-17;4,00;2,67;4,00;0,67;1,33;2,00;1,00;3,00;2,00
2020-05-24;3,00;3,00;6,00;0,75;0,75;2,00;3,00;3,00;2,00
2020-05-31;4,00;2,67;6,67;1,33;0,67;2,00;2,00;3,00;2,00
2020-06-07;5,00;3,33;6,67;1,67;0,83;2,00;4,00;4,00;2,00
2020-06-14;4,00;4,00;2,67;1,33;1,33;3,00;4,00;4,00;2,00
2020-06-21;4,00;5,33;2,67;0,67;1,33;2,00;2,00;4,00;2,00
2020-06-28;5,00;6,67;5,00;1,67;1,67;3,00;4,00;4,00;2,00
2020-07-05;7,00;4,20;5,60;1,40;0,70;2,00;4,00;4,00;2,00
2020-07-12;6,00;4,50;9,00;1,50;1,50;3,00;3,00;4,00;2,00
2020-07-19;6,00;6,00;9,00;1,50;1,50;3,00;3,00;5,00;3,00
2020-07-26;7,00;2,80;8,40;1,40;1,40;3,00;4,00;4,00;3,00
2020-08-02;8,00;4,00;8,00;1,33;1,33;4,00;4,00;4,00;3,00
2020-08-09;10,00;7,14;5,71;1,43;2,86;5,00;4,00;4,00;3,00
2020-08-16;11,00;9,63;8,25;1,38;2,75;4,00;5,00;5,00;3,00
2020-08-23;11,00;9,43;9,43;1,57;1,57;5,00;7,00;5,00;3,00
2020-08-30;11,00;11,00;11,00;2,75;1,38;4,00;8,00;5,00;3,00
2020-09-06;11,00;8,25;8,25;2,75;2,75;4,00;7,00;5,00;4,00
2020-09-13;11,00;8,25;8,25;1,38;1,38;3,00;7,00;5,00;4,00
2020-09-20;14,00;11,20;9,80;2,80;1,40;4,00;8,00;4,00;4,00
2020-09-27;16,00;11,64;14,55;2,91;2,91;4,00;7,00;5,00;4,00
2020-10-04;16,00;13,09;17,45;2,91;1,45;5,00;8,00;5,00;4,00
2020-10-11;16,00;8,73;23,27;2,91;2,91;3,00;7,00;5,00;5,00
2020-10-18;17,00;5,67;15,58;2,83;2,83;4,00;6,00;5,00;5,00
2020-10-25;11,00;5,50;19,25;2,75;2,75;5,00;5,00;5,00;5,00
2020-11-01;9,00;7,50;19,50;1,50;3,00;2,00;5,00;4,00;5,00
2020-11-08;12,00;10,50;21,00;3,00;3,00;3,00;5,00;5,00;7,00
2020-11-15;15,00;10,50;24,00;3,00;3,00;4,00;5,00;7,00;7,00
2020-11-22;44,00;23,47;45,47;4,40;5,87;7,00;11,00;9,00;8,00
2020-11-29;30,00;25,71;61,43;5,71;5,71;8,00;12,00;9,00;9,00
2020-12-06;30,00;20,00;60,00;4,29;10,00;9,00;12,00;8,00;10,00
2020-12-13;28,00;15,40;70,00;2,80;7,00;6,00;9,00;7,00;13,00
2020-12-20;34,00;14,17;103,42;5,67;8,50;8,00;12,00;7,00;15,00
2020-12-27;62,00;23,07;144,19;7,21;11,53;13,00;14,00;10,00;19,00
2021-01-03;75,00;31,73;102,40;5,77;11,54;12,00;16,00;9,00;14,00
2021-01-10;44,00;26,97;90,84;4,26;9,94;12,00;10,00;8,00;14,00
2021-01-17;63,00;21,48;85,91;4,30;5,73;6,00;9,00;9,00;14,00
2021-01-24;24,00;8,47;79,06;2,82;4,24;8,00;6,00;7,00;13,00
2021-01-31;33,00;7,17;66,00;2,87;4,30;14,00;8,00;7,00;13,00
2021-02-07;45,00;14,52;97,26;4,35;4,35;22,00;13,00;6,00;13,00
2021-02-14;48,00;12,71;105,88;4,24;4,24;18,00;12,00;7,00;13,00
2021-02-21;30,00;8,57;78,57;2,86;4,29;7,00;5,00;6,00;11,00
2021-02-28;20,00;5,71;38,57;2,86;4,29;4,00;6,00;5,00;8,00
2021-03-07;13,00;7,22;37,56;2,89;4,33;2,00;7,00;5,00;7,00
2021-03-14;12,00;5,33;45,33;2,67;4,00;2,00;5,00;5,00;6,00
2021-03-21;9,00;6,00;46,50;1,50;4,50;2,00;3,00;4,00;6,00
2021-03-28;5,00;1,25;27,50;1,25;2,50;2,00;3,00;3,00;4,00
2021-04-04;3,00;4,50;40,50;1,50;1,50;2,00;5,00;4,00;4,00
2021-04-11;3,00;4,50;22,50;1,50;1,50;2,00;3,00;3,00;3,00
2021-04-18;3,00;4,50;9,00;1,50;0,75;2,00;2,00;3,00;3,00
2021-04-25;3,00;0,75;6,00;0,75;1,50;2,00;4,00;2,00;3,00
2021-05-02;4,00;1,33;6,67;0,67;1,33;2,00;4,00;2,00;3,00
2021-05-09;4,00;2,67;4,00;1,33;1,33;1,00;2,00;3,00;3,00
2021-05-16;4,00;4,00;4,00;1,33;1,33;3,00;2,00;2,00;3,00
2021-05-23;4,00;4,00;5,33;1,33;1,33;3,00;3,00;3,00;3,00
2021-05-30;2,00;0,00;3,00;1,00;1,00;2,00;2,00;2,00;3,00
2021-06-06;4,00;2,67;5,33;1,33;1,33;2,00;3,00;2,00;3,00
2021-06-13;3,00;3,00;4,50;0,75;1,50;1,00;3,00;2,00;3,00
2021-06-20;3,00;3,00;4,50;0,75;1,50;2,00;4,00;2,00;2,00
2021-06-27;4,00;2,67;5,33;0,67;1,33;2,00;4,00;2,00;3,00
2021-07-04;4,00;4,00;5,33;1,33;1,33;2,00;3,00;3,00;3,00
2021-07-11;5,00;3,33;5,00;1,67;1,67;3,00;5,00;3,00;3,00
2021-07-18;5,00;3,33;6,67;0,83;1,67;3,00;3,00;3,00;3,00
2021-07-25;5,00;6,67;8,33;1,67;1,67;3,00;4,00;2,00;3,00
2021-08-01;7,00;5,60;4,20;1,40;1,40;3,00;5,00;4,00;3,00
2021-08-08;8,00;9,33;8,00;1,33;1,33;4,00;5,00;4,00;3,00
