Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;48,00;32,00;23,00;30,00;9,00;21,94;60,34;130,29;65,83
2020-01-12;49,00;33,00;29,00;28,00;9,00;24,50;51,72;136,11;65,33
2020-01-19;47,00;29,00;26,00;28,00;8,00;22,12;51,15;118,88;64,97
2020-01-26;48,00;32,00;24,00;24,00;7,00;17,83;42,51;102,86;49,37
2020-02-02;43,00;31,00;30,00;20,00;7,00;19,42;40,23;98,48;51,32
2020-02-09;47,00;39,00;23,00;19,00;7,00;19,35;41,47;88,47;49,76
2020-02-16;43,00;39,00;29,00;21,00;9,00;16,65;44,39;98,48;58,26
2020-02-23;36,00;19,00;19,00;17,00;7,00;9,69;29,08;77,54;48,46
2020-03-01;22,00;21,00;11,00;15,00;6,00;9,63;22,00;61,88;38,50
2020-03-08;20,00;17,00;9,00;11,00;3,00;4,29;20,00;51,43;40,00
2020-03-15;6,00;3,00;2,00;6,00;2,00;3,00;6,00;30,00;24,00
2020-03-22;8,00;5,00;9,00;5,00;2,00;2,67;5,33;21,33;17,33
2020-03-29;8,00;9,00;3,00;4,00;3,00;2,67;5,33;20,00;16,00
2020-04-05;8,00;5,00;4,00;6,00;2,00;2,67;4,00;28,00;17,33
2020-04-12;7,00;3,00;10,00;6,00;0,50;2,80;5,60;30,80;19,60
2020-04-19;7,00;7,00;3,00;6,00;1,00;2,80;5,60;25,20;19,60
2020-04-26;6,00;7,00;5,00;5,00;1,00;4,50;6,00;28,50;19,50
2020-05-03;6,00;6,00;5,00;6,00;1,00;2,40;6,00;25,20;18,00
2020-05-10;6,00;6,00;8,00;7,00;1,00;2,40;8,40;21,60;18,00
2020-05-17;9,00;7,00;8,00;10,00;2,00;5,14;10,29;29,57;20,57
2020-05-24;10,00;8,00;9,00;9,00;3,00;7,14;14,29;35,71;22,86
2020-05-31;20,00;10,00;17,00;11,00;3,00;12,86;21,43;38,57;22,86
2020-06-07;18,00;11,00;15,00;12,00;3,00;12,46;16,62;36,00;26,31
2020-06-14;22,00;14,00;14,00;11,00;3,00;15,13;17,88;37,13;30,25
2020-06-21;21,00;13,00;19,00;13,00;4,00;19,60;23,80;50,40;30,80
2020-06-28;26,00;15,00;13,00;16,00;4,00;26,00;27,37;46,53;23,26
2020-07-05;27,00;22,00;21,00;15,00;4,00;24,30;28,35;48,60;24,30
2020-07-12;22,00;13,00;17,00;14,00;5,00;24,75;33,00;55,00;26,13
2020-07-19;21,00;10,00;20,00;15,00;5,00;25,20;29,40;60,20;28,00
2020-07-26;23,00;8,00;19,00;13,00;6,00;24,35;27,06;41,94;25,71
2020-08-02;24,00;12,00;17,00;14,00;7,00;28,24;26,82;43,76;26,82
2020-08-09;24,00;13,00;15,00;11,00;7,00;24,00;18,67;49,33;26,67
2020-08-16;23,00;11,00;14,00;11,00;8,00;16,24;21,65;43,29;27,06
2020-08-23;20,00;13,00;7,00;10,00;5,00;12,00;18,67;46,67;24,00
2020-08-30;19,00;11,00;9,00;11,00;6,00;6,79;20,36;43,43;25,79
2020-09-06;18,00;13,00;15,00;11,00;4,00;6,92;24,92;38,77;27,69
2020-09-13;15,00;9,00;12,00;10,00;2,00;4,09;12,27;38,18;27,27
2020-09-20;13,00;10,00;15,00;9,00;3,00;4,33;13,00;37,56;28,89
2020-09-27;12,00;11,00;16,00;8,00;2,00;2,67;10,67;34,67;29,33
2020-10-04;12,00;3,00;10,00;8,00;3,00;2,67;9,33;34,67;28,00
2020-10-11;13,00;5,00;6,00;6,00;2,00;1,44;11,56;31,78;30,33
2020-10-18;13,00;5,00;6,00;5,00;2,00;2,89;8,67;39,00;33,22
2020-10-25;6,00;3,00;0,00;5,00;2,00;1,20;7,20;27,60;22,80
2020-11-01;6,00;5,00;7,00;4,00;1,00;1,50;10,50;25,50;25,50
2020-11-08;8,00;7,00;9,00;3,00;0,50;1,33;10,67;30,67;29,33
2020-11-15;9,00;5,00;3,00;4,00;3,00;1,50;12,00;31,50;31,50
2020-11-22;13,00;8,00;5,00;4,00;1,00;2,89;11,56;33,22;28,89
2020-11-29;12,00;10,00;5,00;4,00;2,00;4,00;10,67;28,00;28,00
2020-12-06;12,00;9,00;4,00;3,00;0,00;1,33;10,67;29,33;30,67
2020-12-13;14,00;10,00;5,00;5,00;1,00;2,80;8,40;26,60;29,40
2020-12-20;13,00;10,00;3,00;5,00;3,00;2,60;5,20;24,70;33,80
2020-12-27;23,00;10,00;2,00;8,00;1,00;6,76;10,82;36,53;35,18
2021-01-03;24,00;9,00;17,00;7,00;2,00;5,33;12,00;29,33;41,33
2021-01-10;19,00;10,00;12,00;7,00;2,00;2,71;10,86;28,50;42,07
2021-01-17;16,00;5,00;10,00;6,00;1,00;4,36;7,27;32,00;43,64
2021-01-24;12,00;8,00;9,00;6,00;1,00;4,50;7,50;22,50;42,00
2021-01-31;12,00;7,00;14,00;5,00;1,00;5,33;9,33;20,00;37,33
2021-02-07;12,00;4,00;9,00;6,00;2,00;2,67;8,00;21,33;37,33
2021-02-14;16,00;8,00;19,00;6,00;4,00;2,91;13,09;26,18;52,36
2021-02-21;15,00;7,00;7,00;6,00;2,00;5,45;10,91;35,45;50,45
2021-02-28;15,00;9,00;10,00;7,00;2,00;4,09;12,27;30,00;53,18
2021-03-07;16,00;7,00;14,00;7,00;2,00;4,00;12,00;30,67;56,00
2021-03-14;16,00;7,00;13,00;8,00;4,00;4,00;10,67;29,33;58,67
2021-03-21;16,00;8,00;11,00;6,00;4,00;5,33;9,33;25,33;57,33
2021-03-28;11,00;8,00;9,00;4,00;3,00;8,25;8,25;20,63;53,63
2021-04-04;17,00;9,00;14,00;8,00;1,00;11,33;12,75;21,25;69,42
2021-04-11;16,00;13,00;12,00;6,00;4,00;10,67;10,67;18,67;60,00
2021-04-18;19,00;12,00;13,00;6,00;5,00;9,50;12,21;21,71;57,00
2021-04-25;20,00;11,00;13,00;9,00;4,00;13,33;13,33;20,00;56,00
2021-05-02;27,00;16,00;14,00;11,00;4,00;14,21;17,05;27,00;58,26
2021-05-09;32,00;22,00;19,00;16,00;7,00;17,33;24,00;24,00;53,33
2021-05-16;32,00;29,00;19,00;17,00;7,00;18,09;32,00;22,26;55,65
2021-05-23;35,00;32,00;24,00;23,00;7,00;23,80;36,40;23,80;56,00
2021-05-30;35,00;39,00;26,00;26,00;7,00;28,00;40,60;28,00;56,00
2021-06-06;39,00;36,00;27,00;25,00;10,00;26,46;41,79;22,29;62,68
2021-06-13;39,00;36,00;28,00;31,00;12,00;29,25;41,79;20,89;61,29
2021-06-20;57,00;29,00;28,00;31,00;10,00;36,15;47,27;27,80;59,78
2021-06-27;39,00;38,00;23,00;26,00;12,00;29,25;41,79;27,86;58,50
2021-07-04;36,00;42,00;41,00;29,00;11,00;37,38;38,77;33,23;58,15
2021-07-11;34,00;38,00;31,00;24,00;12,00;28,33;36,83;35,42;59,50
2021-07-18;36,00;44,00;35,00;26,00;13,00;24,92;42,92;38,77;55,38
2021-07-25;37,00;46,00;27,00;26,00;11,00;23,30;53,44;39,74;52,07
2021-08-01;38,00;34,00;17,00;25,00;14,00;25,79;59,71;46,14;40,71
2021-08-08;43,00;31,00;28,00;24,00;15,00;26,35;48,55;49,94;41,61
2021-08-15;38,00;34,00;23,00;24,00;13,00;26,74;50,67;43,63;39,41
2021-08-22;33,00;36,00;16,00;23,00;11,00;20,63;39,88;45,38;35,75
2021-08-29;35,00;28,00;21,00;22,00;9,00;14,00;40,60;44,80;36,40
2021-09-05;30,00;27,00;23,00;25,00;8,00;10,91;39,55;45,00;35,45
2021-09-12;28,00;27,00;12,00;21,00;8,00;8,00;36,00;49,33;34,67
2021-09-19;31,00;26,00;26,00;21,00;7,00;5,64;35,23;49,32;35,23
2021-09-26;30,00;26,00;26,00;20,00;5,00;6,82;32,73;42,27;35,45
2021-10-03;26,00;19,00;18,00;19,00;6,00;6,84;28,74;47,89;36,95
2021-10-10;27,00;25,00;17,00;22,00;3,00;6,75;33,75;45,90;35,10
2021-10-17;27,00;23,00;15,00;18,00;5,00;7,11;31,26;45,47;38,37
2021-10-24;29,00;22,00;18,00;15,00;5,00;5,52;19,33;38,67;41,43
2021-10-31;28,00;29,00;9,00;15,00;5,00;5,33;20,00;32,00;37,33
2021-11-07;28,00;25,00;15,00;13,00;4,00;7,00;15,40;36,40;40,60
2021-11-14;24,00;14,00;6,00;11,00;5,00;7,06;16,94;33,88;35,29
2021-11-21;18,00;14,00;11,00;9,00;3,00;4,15;12,46;27,69;37,38
2021-11-28;15,00;13,00;10,00;7,00;3,00;4,09;12,27;17,73;38,18
2021-12-05;17,00;12,00;6,00;11,00;3,00;4,25;17,00;17,00;35,42
2021-12-12;16,00;15,00;8,00;12,00;3,00;7,27;20,36;18,91;39,27
2021-12-19;21,00;14,00;10,00;10,00;4,00;5,60;18,20;18,20;35,00
2021-12-26;27,00;28,00;13,00;17,00;6,00;8,10;28,35;39,15;45,90
2022-01-02;35,00;35,00;18,00;22,00;30,00;9,42;39,04;59,23;65,96
2022-01-09;36,00;27,00;15,00;23,00;32,00;9,69;42,92;80,31;66,46
2022-01-16;39,00;27,00;23,00;21,00;29,00;9,75;41,79;71,04;69,64
2022-01-23;39,00;29,00;21,00;23,00;39,00;13,45;45,72;80,69;61,86
2022-01-30;46,00;27,00;26,00;25,00;39,00;13,53;41,94;74,41;56,82
2022-02-06;47,00;30,00;29,00;25,00;45,00;14,77;41,63;71,17;60,43
2022-02-13;60,00;32,00;27,00;27,00;47,00;17,73;47,73;72,27;72,27
2022-02-20;55,00;27,00;33,00;23,00;42,00;17,88;45,38;70,13;75,63
2022-02-27;45,00;30,00;29,00;21,00;42,00;16,88;35,16;64,69;71,72
2022-03-06;45,00;39,00;23,00;21,00;39,00;16,36;40,91;72,27;69,55
2022-03-13;50,00;27,00;26,00;25,00;42,00;18,06;44,44;76,39;68,06
2022-03-20;51,00;31,00;30,00;23,00;42,00;19,30;45,49;81,32;68,92
2022-03-27;50,00;33,00;28,00;27,00;44,00;20,83;44,44;87,50;62,50
2022-04-03;46,00;38,00;31,00;29,00;50,00;25,09;43,21;80,85;58,55
2022-04-10;47,00;33,00;26,00;32,00;55,00;20,74;42,85;80,18;55,29
2022-04-17;60,00;37,00;39,00;35,00;64,00;27,27;54,55;96,82;57,27
2022-04-24;56,00;35,00;32,00;30,00;59,00;27,32;47,80;99,71;54,63
2022-05-01;48,00;36,00;35,00;31,00;67,00;28,80;49,37;106,97;53,49
2022-05-08;51,00;37,00;32,00;33,00;74,00;34,46;49,62;102,00;49,62
2022-05-15;45,00;39,00;39,00;35,00;84,00;32,73;50,45;102,27;43,64
2022-05-22;48,00;43,00;40,00;37,00;73,00;32,91;49,37;97,37;42,51
2022-05-29;44,00;39,00;38,00;37,00;80,00;37,13;44,00;88,00;48,13
2022-06-05;52,00;49,00;41,00;45,00;88,00;36,95;42,42;93,05;50,63
2022-06-12;49,00;43,00;29,00;41,00;94,00;39,47;43,56;96,64;51,72
2022-06-19;47,00;45,00;37,00;36,00;86,00;40,09;42,85;100,91;56,68
2022-06-26;46,00;46,00;30,00;35,00;100,00;37,88;40,59;97,41;50,06
2022-07-03;50,00;42,00;36,00;36,00;93,00;39,19;45,95;90,54;54,05
2022-07-10;54,00;39,00;34,00;34,00;95,00;36,00;42,92;95,54;54,00
2022-07-17;53,00;43,00;41,00;35,00;92,00;36,26;51,61;87,87;58,58
2022-07-24;61,00;44,00;39,00;36,00;96,00;36,05;55,45;94,27;54,07
2022-07-31;61,00;41,00;34,00;36,00;96,00;36,05;52,68;92,89;54,07
2022-08-07;58,00;36,00;36,00;37,00;90,00;35,90;45,57;95,29;51,10
2022-08-14;51,00;41,00;25,00;34,00;78,00;33,08;45,49;88,22;48,24
2022-08-21;48,00;32,00;23,00;33,00;73,00;27,43;42,51;83,66;46,63
2022-08-28;40,00;33,00;24,00;28,00;67,00;19,31;37,24;75,86;44,14
2022-09-04;33,00;20,00;32,00;27,00;56,00;16,50;30,25;70,13;41,25
2022-09-11;32,00;26,00;26,00;24,00;42,00;12,52;29,22;68,17;38,96
2022-09-18;32,00;20,00;28,00;27,00;41,00;8,00;22,67;65,33;32,00
2022-09-25;28,00;19,00;21,00;23,00;33,00;9,33;25,33;57,33;30,67
2022-10-02;28,00;20,00;31,00;23,00;32,00;8,40;26,60;58,80;35,00
2022-10-09;28,00;16,00;28,00;23,00;31,00;8,00;25,33;53,33;34,67
2022-10-16;29,00;20,00;20,00;23,00;29,00;8,29;24,86;51,10;35,90
2022-10-23;30,00;21,00;14,00;24,00;28,00;6,82;27,27;53,18;35,45
2022-10-30;34,00;20,00;21,00;24,00;26,00;9,52;23,12;47,60;34,00
2022-11-06;28,00;18,00;17,00;20,00;26,00;9,33;20,00;46,67;34,67
2022-11-13;28,00;18,00;16,00;20,00;28,00;8,00;20,00;41,33;32,00
2022-11-20;27,00;20,00;14,00;16,00;25,00;8,10;21,60;36,45;36,45
2022-11-27;25,00;15,00;13,00;16,00;23,00;9,21;21,05;36,84;36,84
2022-12-04;27,00;20,00;15,00;16,00;23,00;6,75;18,90;29,70;36,45
2022-12-11;28,00;17,00;14,00;16,00;20,00;9,33;22,67;34,67;36,00
2022-12-18;30,00;14,00;12,00;20,00;20,00;9,55;28,64;38,18;38,18
2022-12-25;50,00;27,00;25,00;32,00;29,00;15,28;37,50;76,39;65,28
