Train;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;46,00;14,00;23,00;3,00;3,00;1,64;101,86;88,71;6,57
2020-01-12;47,00;10,00;10,00;3,00;4,00;3,36;120,86;87,29;6,71
2020-01-19;56,00;10,00;12,00;3,00;3,00;1,65;98,82;82,35;6,59
2020-01-26;52,00;12,00;4,00;4,00;1,00;1,68;117,42;82,19;6,71
2020-02-02;59,00;19,00;19,00;2,00;2,00;1,69;124,74;75,86;5,06
2020-02-09;59,00;13,00;10,00;2,00;3,00;1,69;133,17;75,86;5,06
2020-02-16;57,00;13,00;15,00;2,00;3,00;3,35;167,65;78,79;6,71
2020-02-23;55,00;9,00;4,00;2,00;1,00;1,67;156,67;76,67;5,00
2020-03-01;45,00;10,00;15,00;3,00;1,00;1,67;100,00;73,33;5,00
2020-03-08;46,00;0,00;6,00;1,00;1,00;1,64;78,86;50,93;4,93
2020-03-15;23,00;4,00;0,00;1,00;3,00;0,82;24,64;24,64;1,64
2020-03-22;13,00;3,00;6,00;1,00;0,00;0,81;14,63;9,75;1,63
2020-03-29;9,00;0,00;0,00;0,50;0,00;0,00;14,40;7,20;1,80
2020-04-05;7,00;3,00;6,00;0,50;0,00;0,00;7,00;8,75;1,75
2020-04-12;11,00;0,00;5,00;0,00;0,00;0,00;14,67;9,17;1,83
2020-04-19;11,00;0,00;5,00;0,00;1,00;0,92;11,00;9,17;1,83
2020-04-26;10,00;2,00;0,00;0,50;1,00;0,00;11,67;8,33;1,67
2020-05-03;12,00;3,00;3,00;1,00;1,00;0,00;13,71;8,57;1,71
2020-05-10;20,00;5,00;5,00;1,00;0,00;0,83;15,00;11,67;1,67
2020-05-17;24,00;0,00;6,00;0,00;0,00;0,86;15,43;10,29;1,71
2020-05-24;37,00;3,00;0,00;0,50;0,00;0,00;21,86;15,14;1,68
2020-05-31;52,00;7,00;8,00;1,00;1,00;1,68;21,81;13,42;1,68
2020-06-07;51,00;12,00;9,00;1,00;1,00;1,70;28,90;17,00;3,40
2020-06-14;55,00;13,00;9,00;1,00;1,00;1,67;33,33;20,00;3,33
2020-06-21;63,00;21,00;5,00;0,50;1,00;1,66;43,11;24,87;3,32
2020-06-28;74,00;13,00;7,00;1,00;1,00;1,68;63,91;28,59;3,36
2020-07-05;82,00;18,00;5,00;1,00;0,00;1,67;73,63;30,12;3,35
2020-07-12;72,00;13,00;6,00;2,00;2,00;3,35;77,02;35,16;1,67
2020-07-19;71,00;20,00;17,00;2,00;1,00;0,85;86,21;40,57;3,38
2020-07-26;74,00;12,00;9,00;0,50;1,00;1,68;75,68;45,41;1,68
2020-08-02;80,00;13,00;14,00;2,00;0,00;3,33;65,00;46,67;3,33
2020-08-09;76,00;14,00;9,00;1,00;2,00;1,65;59,48;42,96;3,30
2020-08-16;63,00;9,00;2,00;1,00;2,00;1,70;42,57;45,97;1,70
2020-08-23;54,00;14,00;11,00;1,00;1,00;1,64;58,91;45,82;1,64
2020-08-30;52,00;72,00;9,00;1,00;0,00;1,68;57,03;45,29;3,35
