Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
05/01/2020;76;65;74;74;70;59,92;59,92;80,38;43,85
12/01/2020;75;66;76;71;76;66,18;61,76;77,94;44,12
19/01/2020;73;56;69;66;69;61,08;58,1;75,98;44,69
26/01/2020;70;58;64;56;73;49,58;52,5;71,46;39,38
02/02/2020;70;55;64;53;71;50,64;49,15;74,47;38,72
09/02/2020;76;53;55;46;68;51,15;45,31;81,85;39,46
16/02/2020;78;55;60;47;71;51,51;47,09;70,64;41,21
23/02/2020;67;50;58;48;64;62,63;45,15;91,76;49,52
01/03/2020;61;45;57;44;61;50,59;40,17;87,78;53,56
08/03/2020;69;67;73;72;67;26,43;57,26;146,81;83,68
15/03/2020;29;33;39;52;33;18,85;42,05;100,05;53,65
22/03/2020;22;22;25;23;23;16,13;24,93;33,73;24,93
29/03/2020;28;23;22;25;22;14,74;19,16;26,53;23,58
05/04/2020;23;22;24;25;25;15,81;15,81;28,75;20,13
12/04/2020;21;22;28;32;24;19,5;19,5;28,5;21
19/04/2020;21;23;28;30;24;18;21;28,5;22,5
26/04/2020;21;23;30;33;28;21;22,5;28,5;22,5
03/05/2020;21;24;32;32;36;21;25,5;30;25,5
10/05/2020;21;25;33;34;35;22,5;30;36;25,5
17/05/2020;24;30;36;36;38;25,5;27;42;31,5
24/05/2020;27;31;45;35;43;28,5;30;39;31,5
31/05/2020;33;47;54;39;43;37,3;38,74;38,74;28,7
07/06/2020;36;46;48;42;46;37,5;37,5;39;34,5
14/06/2020;41;42;52;37;46;43,93;35,14;46,86;36,61
21/06/2020;41;44;50;35;43;43,93;38,07;57,11;42,46
28/06/2020;44;50;57;40;47;46,93;41,07;70,4;44
05/07/2020;40;52;50;40;42;48,89;37,04;62,22;41,48
12/07/2020;41;45;51;41;44;48,32;39,54;60,04;41
19/07/2020;43;44;52;37;43;45,97;37,07;71,17;41,52
26/07/2020;42;51;46;35;44;52,5;34,5;76,5;42
02/08/2020;41;44;48;37;50;52,71;32,21;65,89;39,54
09/08/2020;44;42;44;35;46;48,4;32,27;71,87;38,13
16/08/2020;35;48;44;36;45;37,92;30,63;68,54;33,54
23/08/2020;37;46;41;36;42;32,56;31,08;65,12;34,04
30/08/2020;35;43;41;30;41;30,63;26,25;61,25;35
06/09/2020;35;38;47;31;37;30,63;26,25;56,88;33,54
13/09/2020;32;39;44;29;36;27,64;27,64;52,36;32
20/09/2020;31;34;46;30;33;25,1;26,57;54,62;32,48
27/09/2020;29;31;42;31;33;21,75;24,65;53,65;33,35
04/10/2020;32;31;45;32;34;23,27;23,27;53,82;36,36
11/10/2020;31;30;34;27;32;20,67;23,62;54,62;35,43
18/10/2020;29;28;32;23;30;18,32;19,84;54,95;36,63
25/10/2020;25;23;31;22;34;14,71;20,59;50;32,35
01/11/2020;18;23;27;16;24;13,5;18;39;30
08/11/2020;20;25;29;17;29;14,29;17,14;35,71;37,14
15/11/2020;23;23;28;16;32;15,81;15,81;35,94;43,13
22/11/2020;28;27;33;18;29;17,68;19,16;50,11;36,84
29/11/2020;27;29;33;18;34;19,5;19,5;46,5;36
06/12/2020;30;30;33;18;37;18,57;20;47,14;32,86
13/12/2020;33;30;33;20;37;18;24;60;34,5
20/12/2020;32;31;38;20;33;18,91;21,82;72,73;32
27/12/2020;36;31;32;21;33;19,5;21;48;36
03/01/2021;36;32;35;22;32;21;21;51;36
10/01/2021;35;28;31;19;29;17,5;20,42;40,83;37,92
17/01/2021;31;35;33;19;26;20,67;19,19;35,43;36,9
24/01/2021;29;29;36;21;28;17,4;17,4;37,7;36,25
31/01/2021;28;24;37;19;30;20,63;16,21;30,95;35,37
07/02/2021;28;23;37;18;30;20,63;17,68;35,37;38,32
14/02/2021;31;27;37;21;33;19,19;20,67;32,48;39,86
21/02/2021;32;29;43;21;39;21,33;21,33;48,76;42,67
28/02/2021;34;34;43;23;38;17,74;22,17;38,43;44,35
07/03/2021;37;29;47;25;38;17,76;22,2;38,48;45,88
14/03/2021;34;28;46;23;41;20,7;22,17;42,87;45,83
21/03/2021;32;28;47;23;41;21,82;23,27;49,45;45,09
28/03/2021;28;28;44;19;39;26,53;20,63;41,26;48,63
04/04/2021;27;27;46;22;37;25,58;22,74;44,05;45,47
11/04/2021;32;45;48;22;40;27,64;23,27;42,18;40,73
18/04/2021;39;45;47;23;41;30,33;24,56;50,56;49,11
25/04/2021;42;43;48;28;44;33;28,5;48;46,5
02/05/2021;45;50;58;35;50;37,5;31,5;87;48
09/05/2021;49;53;64;39;61;38,61;44,55;66,82;47,52
16/05/2021;53;61;63;44;64;45,64;41,22;70,67;48,58
23/05/2021;52;59;65;46;69;47,54;43,09;66,86;53,49
30/05/2021;58;81;75;51;70;58;46,4;84,1;47,85
06/06/2021;62;87;77;54;80;54,62;54,62;66,43;51,67
13/06/2021;62;86;69;45;79;60,52;57,57;72,33;51,67
20/06/2021;65;97;80;46;85;62,05;59,09;96,02;51,7
27/06/2021;60;94;87;48;94;60;68,78;80,49;49,76
04/07/2021;65;100;94;49;89;62,05;73,86;98,98;51,7
11/07/2021;72;93;88;48;97;60,24;91,1;108,73;51,43
18/07/2021;60;85;85;49;91;68,78;79,02;103,9;52,68
25/07/2021;64;82;73;46;89;61,02;78,88;108,65;47,63
01/08/2021;58;80;69;44;91;58;63,8;121,8;43,5
08/08/2021;56;65;65;44;88;57,47;61,89;100,21;47,16
15/08/2021;49;60;59;41;80;54,94;54,94;92,06;44,55
22/08/2021;52;58;61;41;84;46,06;50,51;138,17;44,57
29/08/2021;47;59;58;43;71;45,53;47;94;49,94
05/09/2021;43;53;61;40;72;41,52;47,45;86;43
12/09/2021;49;51;59;41;64;38,61;47,52;129,18;41,58
19/09/2021;50;51;63;43;66;35,29;45,59;94,12;38,24
26/09/2021;47;50;59;39;66;39,66;44,06;79,31;38,19
03/10/2021;45;47;63;41;68;37,74;45;95,81;37,74
10/10/2021;48;46;64;41;68;39,27;52,36;82,91;39,27
17/10/2021;50;50;57;38;61;38,24;45,59;75;38,24
24/10/2021;46;50;50;34;62;38,58;37,1;68,26;38,58
31/10/2021;50;52;50;33;67;41,18;38,24;63,24;36,76
07/11/2021;47;50;52;30;64;38,19;35,25;63,16;38,19
14/11/2021;44;45;45;29;60;38,13;38,13;63,07;36,67
21/11/2021;43;40;43;27;58;35,59;34,1;69,69;40,03
28/11/2021;43;52;57;26;63;37,07;41,52;106,76;47,45
05/12/2021;41;45;50;28;61;33,68;36,61;83,46;41
12/12/2021;44;56;54;35;64;41,07;46,93;96,8;41,07
19/12/2021;45;50;51;36;52;40,5;51;76,5;40,5
26/12/2021;51;59;57;43;59;42,26;48,09;71,4;40,8
02/01/2022;54;63;51;44;65;40,86;54;96,32;51,08
09/01/2022;54;58;54;43;68;33,57;51,08;97,78;43,78
16/01/2022;54;64;60;38;61;34,5;48;79,5;42
23/01/2022;67;71;58;39;67;39,33;55,35;88,85;43,7
30/01/2022;73;68;65;45;69;44,69;53,63;96,84;44,69
06/02/2022;80;66;64;47;72;46,55;53,82;96;46,55
13/02/2022;81;66;74;54;76;51,55;57,44;89,84;47,13
20/02/2022;79;63;70;44;73;46,21;52,17;87,94;50,68
27/02/2022;69;59;55;37;66;42,57;46,98;80,74;46,98
06/03/2022;67;59;60;38;64;42,24;48,07;83,02;48,07
13/03/2022;75;59;58;38;71;44,12;50;92,65;48,53
20/03/2022;75;58;60;36;70;45,59;47,06;83,82;45,59
27/03/2022;72;58;66;41;77;52,9;49,96;85,22;44,08
03/04/2022;75;62;71;43;81;54,41;50;88,24;44,12
10/04/2022;74;58;71;43;78;53,28;50,32;79,92;41,44
17/04/2022;79;59;77;44;82;61,44;55,59;80,46;42,43
24/04/2022;72;56;68;44;77;58,78;55,84;79,35;41,14
01/05/2022;77;59;67;44;78;68,12;54,79;82,92;42,94
08/05/2022;75;55;63;41;85;63,24;48,53;80,88;42,65
15/05/2022;70;56;61;39;79;58,09;46,17;83,4;41,7
22/05/2022;75;61;65;45;80;60,29;55,88;79,41;44,12
29/05/2022;68;59;65;47;81;70,96;50,26;76,87;44,35
05/06/2022;74;61;65;49;87;69,56;48,84;76,96;47,36
12/06/2022;72;51;61;44;84;69,06;47,02;72;45,55
19/06/2022;69;60;63;43;80;73,4;45,51;71,94;44,04
26/06/2022;72;64;63;42;91;73,47;44,08;73,47;44,08
03/07/2022;83;65;67;42;87;69,89;48,05;69,89;45,14
10/07/2022;77;68;67;43;88;69,6;50,35;74,04;44,42
17/07/2022;75;59;64;39;88;69,12;45,59;75;41,18
24/07/2022;85;61;69;42;86;68,88;49,83;77,67;41,03
31/07/2022;82;58;63;44;96;76,04;47,71;71,56;41,75
