Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
05/01/2020;28;13;13;7;15;10;9;1;1
12/01/2020;33;13;9;8;20;12;11;1;1
19/01/2020;34;15;12;7;18;13;9;1;1
26/01/2020;33;12;12;8;17;11;10;1;1
02/02/2020;35;14;8;9;18;10;11;1;1
09/02/2020;37;14;12;8;17;11;11;1;1
16/02/2020;32;13;13;8;18;11;10;1;1
23/02/2020;29;10;7;7;17;7;10;1;1
01/03/2020;24;10;9;7;17;7;10;1;1
08/03/2020;20;10;6;5;9;5;7;1;1
15/03/2020;7;5;2;2;4;3;4;1;1
22/03/2020;7;3;3;2;3;4;3;0,5;1
29/03/2020;8;5;2;3;3;3;1;0,5;0,5
05/04/2020;14;5;7;2;3;2;3;1;1
12/04/2020;9;4;4;3;3;4;3;1;1
19/04/2020;7;3;4;3;3;3;3;1;1
26/04/2020;8;5;4;3;3;3;3;1;1
03/05/2020;9;2;5;3;4;4;3;1;1
10/05/2020;12;3;8;4;4;5;4;1;1
17/05/2020;16;7;8;5;5;6;5;1;1
24/05/2020;17;4;8;5;5;9;5;1;1
31/05/2020;20;8;8;5;8;11;6;1;1
07/06/2020;20;11;6;7;9;12;7;1;1
14/06/2020;22;10;9;6;9;15;9;1;1
21/06/2020;23;11;9;6;12;17;7;1;1
28/06/2020;29;13;4;7;15;19;8;1;1
05/07/2020;28;15;7;7;13;19;9;1;1
12/07/2020;24;12;11;7;14;19;11;1;1
19/07/2020;23;12;10;6;14;16;10;1;1
26/07/2020;24;11;9;6;13;16;7;1;1
02/08/2020;28;8;8;6;15;15;8;1;1
09/08/2020;28;11;9;7;15;12;7;1;1
16/08/2020;25;11;10;7;14;14;6;1;1
23/08/2020;23;9;12;7;15;16;9;1;1
30/08/2020;24;12;10;7;13;13;7;1;1
06/09/2020;25;14;8;8;15;14;8;1;1
13/09/2020;24;15;12;7;14;13;9;1;1
20/09/2020;23;11;12;7;12;12;7;1;1
27/09/2020;21;15;11;7;13;12;5;1;1
04/10/2020;22;14;12;6;15;10;6;1;1
11/10/2020;23;10;10;5;11;10;5;1;1
18/10/2020;22;8;9;5;10;8;5;1;1
25/10/2020;29;5;9;4;15;7;4;1;1
01/11/2020;7;6;6;3;8;6;2;1;1
08/11/2020;7;4;8;4;8;5;4;1;1
15/11/2020;9;7;9;3;7;5;5;1;1
22/11/2020;11;5;6;3;8;5;3;1;1
29/11/2020;12;6;7;3;7;7;4;1;1
06/12/2020;12;7;6;3;8;5;4;1;1
13/12/2020;12;5;5;2;8;7;2;1;1
20/12/2020;11;4;6;1;6;3;2;1;1
27/12/2020;11;6;6;2;6;3;2;0,5;1
03/01/2021;15;9;7;3;8;17;4;1;1
10/01/2021;23;8;6;3;5;22;3;1;1
17/01/2021;16;9;8;3;6;7;4;1;1
24/01/2021;13;9;8;3;7;7;4;0,5;1
31/01/2021;16;9;10;6;6;10;5;1;1
07/02/2021;19;9;14;3;8;10;4;1;1
14/02/2021;22;9;10;4;9;10;5;1;1
21/02/2021;45;9;12;4;9;8;5;1;1
28/02/2021;59;11;6;4;9;7;5;0,5;1
07/03/2021;40;10;10;4;9;32;6;1;1
14/03/2021;40;9;13;4;11;12;6;1;1
21/03/2021;24;9;13;4;9;6;6;1;1
